Var1	Var2
AGPAT1	Triacylglycerol synthesis
AGTim	Alanine and aspartate metabolism
AGTix	Alanine and aspartate metabolism
AHEXASE2ly	N-glycan degradation
AHEXASEly	N-glycan degradation
AIRCr	Purine synthesis
AKGDm	Citric acid cycle
AKGMALtm	Transport, mitochondrial
AKGt4_3	Transport, extracellular
AKGtp	Transport, peroxisomal
AKR1D	Bile acid synthesis
AKR1D2	Bile acid synthesis
ALADGLNexR	Transport, extracellular
ALADGLYexR	Transport, extracellular
ALAGLNexR	Transport, extracellular
ALAGLYexR	Transport, extracellular
ALASm	Glycine, serine, alanine, and threonine metabolism
ALAt4	Transport, extracellular
ALATA_L	Glutamate metabolism
ALAtN1	Transport, extracellular
ALCD21_D	Pyruvate metabolism
ALCD21_L	Pyruvate metabolism
ALDD20x	Tryptophan metabolism
ALDD20xm	Tryptophan metabolism
ALDD21	Fatty acid oxidation
ALDD2xm	Glycolysis/gluconeogenesis
ALDD2y	Glycolysis/gluconeogenesis
ALR2	Pyruvate metabolism
ALR3	Pyruvate metabolism
AMCOXO	Tryptophan metabolism
AMETt2m	Transport, mitochondrial
AMPDA	Nucleotide interconversion
AMPtp	Transport, peroxisomal
ANDRSTRNte	Transport, extracellular
APAT2rm	Beta-Alanine metabolism
APOCF	Biotin metabolism
APOCFm	Biotin metabolism
APOC_LYS_BTNP	Biotin metabolism
APOC_LYS_BTNPm	Biotin metabolism
APRTO2	Arginine and proline metabolism
AQCOBALt	Transport, extracellular
ARAB_Lt	Transport, extracellular
ARABR	Pentose phosphate pathway
ARACHCOAtx	Transport, peroxisomal
ARACHCPT1	Fatty acid oxidation
ARACHCPT2	Fatty acid oxidation
ARACHCRNt	Fatty acid oxidation
ARACHDt2	Transport, extracellular
ARACHDtr	Transport, endoplasmic reticular
ARACHt	Transport, extracellular
ARGtm	Transport, mitochondrial
ARSA	Sphingolipid metabolism
R_group_phosphotase_3	Miscellaneous
ARTFR208	R group synthesis
ARTPLM3m	R group synthesis
ASAH1	Sphingolipid metabolism
ASCBt	Transport, extracellular
ASCBt4	Transport, extracellular
ASNNm	Alanine and aspartate metabolism
ASNt4	Transport, extracellular
ASNtm	Transport, mitochondrial
ASNtN1	Transport, extracellular
ASPCTr	Pyrimidine synthesis
ASPDt6	Transport, extracellular
ASPDxt	Transport, peroxisomal
ASPGLUm	Transport, mitochondrial
ASPt6	Transport, extracellular
ASPTAm	Alanine and aspartate metabolism
ATP1ter	Transport, endoplasmic reticular
ATP2ter	Transport, endoplasmic reticular
ATPH1e	Nucleotide interconversion
ATPH2e	Nucleotide interconversion
ATPtm	Transport, mitochondrial
ATPtn	Transport, nuclear
ATPtx	Transport, peroxisomal
B_MANNASEly	N-glycan degradation
B3GALT3g	Sphingolipid metabolism
B3GALT41g	Sphingolipid metabolism
B3GALT42g	Sphingolipid metabolism
B3GALT43g	Sphingolipid metabolism
B3GALT44g	Sphingolipid metabolism
B3GALT5g	Sphingolipid metabolism
B3GNT11g	Blood group synthesis
B3GNT310g	Blood group synthesis
B3GNT312g	Blood group synthesis
B3GNT314g	Blood group synthesis
B3GNT51g	Blood group synthesis
BAAT3x	Bile acid synthesis
BACCL	Biotin metabolism
BACCLm	Biotin metabolism
BALAtmr	Transport, mitochondrial
BAMPPALDOX	Beta-Alanine metabolism
BBHOX	Lysine metabolism
BDHm	Nucleotide salvage pathway
BETALDHxm	Glycine, serine, alanine, and threonine metabolism
BHBt	Transport, extracellular
BHBtm	Transport, mitochondrial
BHMT	Glycine, serine, alanine, and threonine metabolism
BILGLCURt	Transport, extracellular
BILGLCURtr	Transport, endoplasmic reticular
BILIRUBt2	Transport, extracellular
BILIRUBtr	Transport, endoplasmic reticular
BIOCYTtn	Transport, nuclear
BMTer_U	Phosphatidylinositol phosphate metabolism
BPNT2	Nucleotide interconversion
BTND1n	Biotin metabolism
BTNDm	Biotin metabolism
BTNPL	Biotin metabolism
BTNPLm	Biotin metabolism
