SYMBOL	ENTREZID	Ctrl_Fam.Veh.R1	Ctrl_Fam.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
DIO3	1735	0.216265	0.256241	NA	NA	NA	NA
DIO3OS	64150	0.415578	0.17894	NA	NA	NA	NA
DIP2A	23181	20.8898	26.2311	NA	NA	NA	NA
DIP2B	57609	22.5758	26.4928	NA	NA	NA	NA
DIP2C	22982	10.2367	9.81315	cerebral-cortex	glial-cells	Low	Enhanced
DIRAS1	148252	14.425	12.7876	NA	NA	NA	NA
DIRAS2	54769	2.68156	2.5344	NA	NA	NA	NA
DIRAS3	9077	4.5036	6.31615	cerebral-cortex	glial-cells	Low	Approved
DIRC3	729582	0.366676	0.13533	NA	NA	NA	NA
DIS3	22894	18.3851	14.4831	cerebral-cortex	glial-cells	Medium	Approved
DIS3L	115752	11.7224	18.3505	NA	NA	NA	NA
DIS3L2	129563	8.29043	13.7984	NA	NA	NA	NA
DISC1	27185	3.14631	3.8659	NA	NA	NA	NA
DISP1	84976	3.47459	4.42223	NA	NA	NA	NA
DISP2	85455	2.76586	3.54949	NA	NA	NA	NA
DKK1	22943	32.6177	16.3172	NA	NA	NA	NA
DKK2	27123	1.02257	0.27191	NA	NA	NA	NA
DKK3	27122	175.183	302.796	cerebral-cortex	glial-cells	Low	Approved
DKKL1	27120	3.12058	6.49017	NA	NA	NA	NA
DLC1	10395	2.85932	1.21423	NA	NA	NA	NA
DLD	1738	48.9837	49.102	cerebral-cortex	glial-cells	Medium	Supported
DLEC1	9940	0.147164	0.129797	NA	NA	NA	NA
DLEU1	10301	14.6758	12.0246	NA	NA	NA	NA
DLEU2	8847	4.05261	3.5109	NA	NA	NA	NA
DLEU2L	79469	0.606548	0.13796	NA	NA	NA	NA
DLEU7	220107	0.0655968	0.0257409	NA	NA	NA	NA
DLG1	1739	47.4982	53.7327	cerebral-cortex	glial-cells	Low	Supported
DLG2	1740	1.83109	3.53232	NA	NA	NA	NA
DLG3	1741	5.54479	9.35374	NA	NA	NA	NA
DLG3-AS1	100873930	0.224043	0.507077	NA	NA	NA	NA
DLG4	1742	27.4113	33.6787	NA	NA	NA	NA
DLG5	9231	42.2755	43.56	NA	NA	NA	NA
DLG5-AS1	100128292	2.64192	2.24195	NA	NA	NA	NA
DLGAP1	9229	8.40487	15.1777	NA	NA	NA	NA
DLGAP1-AS1	649446	8.5731	9.51623	NA	NA	NA	NA
DLGAP1-AS2	84777	8.78029	9.22457	NA	NA	NA	NA
DLGAP3	58512	0.378503	0.480688	cerebral-cortex	glial-cells	Low	Enhanced
DLGAP4	22839	39.9099	42.8968	cerebral-cortex	glial-cells	Low	Approved
DLGAP5	9787	30.5711	26.4695	NA	NA	NA	NA
DLK1	8788	86.3793	169.86	NA	NA	NA	NA
DLK2	65989	0.42454	0.292682	NA	NA	NA	NA
DLL1	28514	8.69557	15.8453	NA	NA	NA	NA
DLL3	10683	5.70198	6.92233	NA	NA	NA	NA
DLL4	54567	0.0437502	0.0310141	NA	NA	NA	NA
DLST	1743	43.0248	48.4015	cerebral-cortex	glial-cells	Low	Supported
DLX1	1745	8.25057	16.4606	cerebral-cortex	glial-cells	Low	Approved
DLX2	1746	1.64853	2.75714	NA	NA	NA	NA
DLX5	1749	1.01246	0.6979	NA	NA	NA	NA
DMAP1	55929	18.6523	28.3132	NA	NA	NA	NA
DMC1	11144	0.39301	0.370696	NA	NA	NA	NA
DMD	1756	31.9601	30.7612	NA	NA	NA	NA
DMGDH	29958	1.71151	0.145233	NA	NA	NA	NA
DMPK	1760	44.0297	59.9781	cerebral-cortex	glial-cells	Low	Enhanced
DMRT2	10655	0.697398	1.72983	NA	NA	NA	NA
DMRTA1	63951	0.862029	0.226477	NA	NA	NA	NA
DMTF1	9988	69.9344	69.3965	cerebral-cortex	glial-cells	Medium	Supported
DMTN	2039	0.549054	0.454605	NA	NA	NA	NA
DMWD	1762	21.2634	46.7491	cerebral-cortex	glial-cells	Medium	Approved
DMXL1	1657	11.1608	8.83327	cerebral-cortex	glial-cells	Low	Approved
DMXL2	23312	24.2475	19.9794	cerebral-cortex	glial-cells	Low	Approved
DNA2	1763	6.48357	8.51629	cerebral-cortex	glial-cells	Medium	Approved
DNAAF1	123872	0.342977	0.126634	NA	NA	NA	NA
DNAAF2	55172	9.53045	6.60207	cerebral-cortex	glial-cells	Low	Enhanced
DNAAF3	352909	2.34575	2.30022	NA	NA	NA	NA
DNAH1	25981	1.89737	3.31054	NA	NA	NA	NA
DNAH10	196385	0.474074	0.492039	NA	NA	NA	NA
DNAH10OS	642797	4.49143	3.78157	cerebral-cortex	glial-cells	Medium	Enhanced
DNAH11	8701	0.397161	0.469929	NA	NA	NA	NA
DNAH12	201625	0.813558	0.238037	NA	NA	NA	NA
DNAH14	127602	2.66644	1.29318	NA	NA	NA	NA
DNAH17	8632	1.28063	0.994833	NA	NA	NA	NA
DNAH2	146754	0.217352	0.0322178	NA	NA	NA	NA
DNAH5	1767	0.753598	0.668566	NA	NA	NA	NA
DNAH6	1768	0.772865	0.840686	NA	NA	NA	NA
DNAH7	56171	0.59831	0.65677	NA	NA	NA	NA
DNAH9	1770	2.46772	5.15529	NA	NA	NA	NA
DNAI1	27019	1.15793	1.57086	NA	NA	NA	NA
DNAJA1	3301	249.718	182.023	cerebral-cortex	glial-cells	Low	Approved
DNAJA1P3	644588	0.229052	0.0491723	NA	NA	NA	NA
DNAJA2	10294	42.4285	35.3219	NA	NA	NA	NA
DNAJA3	9093	18.5959	22.1851	cerebral-cortex	glial-cells	Low	Approved
DNAJA4	55466	1.05827	1.26704	NA	NA	NA	NA
DNAJB1	3337	87.3386	52.1293	cerebral-cortex	glial-cells	Medium	Enhanced
DNAJB11	51726	153.167	124.12	cerebral-cortex	glial-cells	Low	Supported
DNAJB12	54788	15.6088	18.1447	cerebral-cortex	glial-cells	Medium	Approved
DNAJB13	374407	0	0.0308877	NA	NA	NA	NA
DNAJB14	79982	11.1789	10.0066	cerebral-cortex	glial-cells	Low	Approved
DNAJB2	3300	59.0735	71.9644	cerebral-cortex	glial-cells	Medium	Approved
DNAJB4	11080	24.8503	16.0905	cerebral-cortex	glial-cells	Low	Approved
DNAJB5	25822	13.027	23.0572	cerebral-cortex	glial-cells	Medium	Approved
DNAJB6	10049	72.2423	63.8606	cerebral-cortex	glial-cells	Low	Supported
DNAJB7	150353	0.083974	0.0664066	NA	NA	NA	NA
DNAJB9	4189	16.8445	8.40384	cerebral-cortex	glial-cells	Low	Supported
DNAJC1	64215	10.7907	16.0966	cerebral-cortex	glial-cells	High	Approved
DNAJC10	54431	36.9211	29.9791	cerebral-cortex	glial-cells	Low	Approved
DNAJC11	55735	23.5096	27.9207	NA	NA	NA	NA
DNAJC12	56521	2.02721	0.605065	NA	NA	NA	NA
DNAJC13	23317	14.2381	14.2953	cerebral-cortex	glial-cells	Low	Approved
DNAJC14	85406	14.2853	16.5843	cerebral-cortex	glial-cells	Low	Approved
DNAJC15	29103	5.36918	9.95836	NA	NA	NA	NA
DNAJC16	23341	8.75897	6.53202	NA	NA	NA	NA
DNAJC17	55192	9.41463	12.8846	cerebral-cortex	glial-cells	Low	Approved
DNAJC18	202052	12.4037	15.3691	NA	NA	NA	NA
DNAJC19	131118	17.0835	16.8558	cerebral-cortex	glial-cells	Medium	Approved
DNAJC19P5	100861453	1.41112	0.825011	NA	NA	NA	NA
DNAJC19P9	644589	2.25696	2.918	NA	NA	NA	NA
DNAJC2	27000	21.7039	15.8455	cerebral-cortex	glial-cells	Medium	Approved
DNAJC21	134218	17.3652	16.6898	cerebral-cortex	glial-cells	Low	Approved
DNAJC22	79962	0.147358	0.993853	NA	NA	NA	NA
DNAJC24	120526	13.1748	12.8415	NA	NA	NA	NA
DNAJC25	548645	6.28832	4.86224	cerebral-cortex	glial-cells	Low	Approved
DNAJC25-GNG10	552891	7.997	6.10398	NA	NA	NA	NA
DNAJC27	51277	2.09872	2.55317	NA	NA	NA	NA
DNAJC27-AS1	729723	1.29279	2.35224	NA	NA	NA	NA
DNAJC3	5611	25.424	16.7991	NA	NA	NA	NA
DNAJC4	3338	19.3985	24.5606	NA	NA	NA	NA
DNAJC5	80331	23.2142	23.1957	NA	NA	NA	NA
DNAJC6	9829	4.27138	2.29959	NA	NA	NA	NA
DNAJC7	7266	4.65779	8.58666	cerebral-cortex	glial-cells	Low	Approved
DNAJC8	22826	88.7612	93.1123	NA	NA	NA	NA
DNAJC8P1	319111	20.6009	20.908	NA	NA	NA	NA
DNAJC9	23234	22.2462	25.1543	cerebral-cortex	glial-cells	Low	Supported
DNAL1	83544	8.3481	7.78537	cerebral-cortex	glial-cells	Medium	Approved
DNAL4	10126	14.241	15.164	NA	NA	NA	NA
DNALI1	7802	16.3151	21.5529	NA	NA	NA	NA
DNASE1	1773	11.9168	17.4405	NA	NA	NA	NA
DNASE1L1	1774	2.6697	3.2984	cerebral-cortex	glial-cells	Low	Approved
DNASE1L2	1775	1.96714	1.9222	NA	NA	NA	NA
