SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
LIN37	55957	4.70616	7.46533	NA	NA	NA	NA
LIN52	91750	10.7684	10.1248	NA	NA	NA	NA
LIN54	132660	10.4012	7.45071	cerebral-cortex	glial-cells	Low	Approved
LIN7A	8825	3.67963	3.1532	NA	NA	NA	NA
LIN7B	64130	4.76605	5.66925	NA	NA	NA	NA
LIN7C	55327	7.33965	6.81726	cerebral-cortex	glial-cells	Low	Approved
LIN9	286826	8.05041	6.31001	NA	NA	NA	NA
LINC-PINT	378805	1.92523	2.01114	NA	NA	NA	NA
LINC00052	145978	0.14282	0.178511	NA	NA	NA	NA
LINC00106	751580	7.28644	3.27553	NA	NA	NA	NA
LINC00115	79854	0.741155	1.25072	NA	NA	NA	NA
LINC00158	54072	0.177323	0.371894	NA	NA	NA	NA
LINC00173	100287569	1.29595	1.18803	NA	NA	NA	NA
LINC00174	285908	2.61338	3.11343	NA	NA	NA	NA
LINC00205	642852	5.20333	7.90464	NA	NA	NA	NA
LINC00240	100133205	0.397434	0.123426	NA	NA	NA	NA
LINC00242	401288	0.122707	0.23726	NA	NA	NA	NA
LINC00265	349114	4.90723	3.27592	NA	NA	NA	NA
LINC00271	100131814	0.55858	1.52731	NA	NA	NA	NA
LINC00304	283860	0.230989	0.0729289	NA	NA	NA	NA
LINC00310	114036	0.567009	0.732312	NA	NA	NA	NA
LINC00312	29931	0.622348	0.4273	NA	NA	NA	NA
LINC00313	114038	0.0587815	0.159729	NA	NA	NA	NA
LINC00319	284836	0.102761	0.0673927	NA	NA	NA	NA
LINC00324	284029	0.457682	0.709529	NA	NA	NA	NA
LINC00327	100506697	0.380214	0.456278	NA	NA	NA	NA
LINC00334	114042	0	0.242107	NA	NA	NA	NA
LINC00337	148645	0.0820561	0.273669	NA	NA	NA	NA
