SYMBOL	ENTREZID	ST.1	ST.4	ST.5	ST.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
NPIPB15	440348	0.118634	0.122791	0.627607	0.641222	cerebral-cortex	glial-cells	High	Supported
NPIPB4	440345	0.961267	0.584702	1.11628	0.384226	cerebral-cortex	glial-cells	Medium	Approved
NPIPB5	100132247	0.968898	2.59621	3.7171	1.2834	cerebral-cortex	glial-cells	Medium	Approved
NPIPP1	100874381	3.29051	3.75233	6.12529	4.81141	NA	NA	NA	NA
NPL	80896	2.0807	2.55224	2.3516	3.67224	NA	NA	NA	NA
NPLOC4	55666	92.4037	98.3689	105.163	91.907	NA	NA	NA	NA
NPM1	4869	599.257	551.825	553.846	603.896	cerebral-cortex	glial-cells	High	Supported
NPM1P12	10835	0.919915	0.476073	0.434518	0.443945	NA	NA	NA	NA
NPM1P18	10829	0.0913883	0.0945903	0.518003	0.158772	NA	NA	NA	NA
NPM1P19	10828	0.569802	0.786356	0.538282	0.219984	NA	NA	NA	NA
NPM1P21	100129237	0	0.089531	0.0980594	0.0500933	NA	NA	NA	NA
NPM1P24	100422312	0.140043	0.217424	0.158757	0.202751	NA	NA	NA	NA
NPM1P26	100422313	2.80138	4.30253	3.27817	2.30264	NA	NA	NA	NA
NPM1P27	100422243	65.8065	54.2982	60.9571	80.7757	NA	NA	NA	NA
NPM1P28	646849	0.151879	0.235801	0	0.219888	NA	NA	NA	NA
NPM1P29	100422259	0.40304	2.16924	1.64483	1.30707	NA	NA	NA	NA
NPM1P34	100128410	0.140245	0.145159	0	0.121826	NA	NA	NA	NA
NPM1P37	100422261	1.08154	0.671659	0.572164	0.709842	NA	NA	NA	NA
NPM1P39	440577	1.74865	1.20661	1.32155	1.01267	NA	NA	NA	NA
NPM1P41	100422249	0.308099	0	0.523906	0.22303	NA	NA	NA	NA
NPM1P43	100422309	0.248852	0.601	0.564214	0.336265	NA	NA	NA	NA
NPM1P46	729342	0.07308	0.0756405	0.0828457	0.126964	NA	NA	NA	NA
NPM1P49	100422284	0.0945956	0	0	0.164344	NA	NA	NA	NA
NPM1P5	4874	0.990317	1.73464	1.55444	0.882321	NA	NA	NA	NA
NPM1P6	4875	0.651845	0.899566	0.821059	1.09059	NA	NA	NA	NA
NPM1P9	392428	0.603737	0.624891	1.02662	0.699263	NA	NA	NA	NA
NPM2	10361	5.94151	4.78663	2.51562	5.59319	cerebral-cortex	glial-cells	Medium	Enhanced
NPM3	10360	21.8596	19.2224	19.0865	20.7031	NA	NA	NA	NA
NPNT	255743	0.877916	25.2984	36.6579	2.59178	NA	NA	NA	NA
NPPA	4878	0.264056	0.393786	0.314593	0.209193	NA	NA	NA	NA
NPPA-AS1	100379251	0.687629	0.715341	1.11609	0.449538	NA	NA	NA	NA
NPPC	4880	0	0.168013	0	0.269277	NA	NA	NA	NA
NPR2	4882	6.55156	4.95949	6.48377	4.80731	NA	NA	NA	NA
NPR3	4883	0.281263	0.224967	0.123185	0.321517	NA	NA	NA	NA
NPRL2	10641	19.0798	15.7098	13.0237	14.9352	cerebral-cortex	glial-cells	Low	Approved
NPRL3	8131	6.42725	8.43668	8.65643	7.91989	NA	NA	NA	NA
NPSR1	387129	4.15414	0.655186	1.99452	0.343683	NA	NA	NA	NA
NPSR1-AS1	404744	0.257266	0.0442547	0.223707	0.167172	NA	NA	NA	NA
NPTN	27020	89.0167	51.91	65.4879	77.9745	NA	NA	NA	NA
NPTX1	4884	2.43489	1.42267	0.167655	2.09139	cerebral-cortex	glial-cells	Medium	Enhanced
NPTX2	4885	24.9876	13.9197	2.89518	4.99645	NA	NA	NA	NA
NPTXR	23467	2.07698	3.7778	1.60581	1.9124	NA	NA	NA	NA
NPW	283869	0.184249	0.254947	0.139243	0.353577	NA	NA	NA	NA
NPY	4852	13.9287	39.3051	57.9423	26.1412	NA	NA	NA	NA
NPY2R	4887	1.27494	0.425245	1.19216	1.71237	NA	NA	NA	NA
NQO1	1728	57.4505	21.1118	36.934	50.3998	cerebral-cortex	glial-cells	Low	Enhanced
NQO2	4835	28.0755	13.6546	21.2655	15.9336	NA	NA	NA	NA
NR1D1	9572	0.50897	0.483317	0.48886	0.541547	NA	NA	NA	NA
NR1D2	9975	6.24975	9.00512	6.27792	10.8085	NA	NA	NA	NA
NR1H2	7376	22.6372	22.1763	20.981	22.5946	NA	NA	NA	NA
NR1H3	10062	7.0942	6.54156	8.31688	8.56487	cerebral-cortex	glial-cells	Medium	Approved
NR1I3	9970	0.660705	0.972156	1.68709	1.64373	NA	NA	NA	NA
NR2C1	7181	40.4309	44.5685	43.8982	45.1656	cerebral-cortex	glial-cells	Medium	Supported
NR2C2	7182	15.3649	24.8316	23.9995	19.188	cerebral-cortex	glial-cells	Medium	Approved
NR2C2AP	126382	10.2576	7.92078	9.03753	9.96275	cerebral-cortex	glial-cells	Low	Approved
NR2E1	7101	3.91567	6.81526	17.2934	2.99775	NA	NA	NA	NA
NR2E3	10002	1.20927	0.412271	1.53486	0.805633	NA	NA	NA	NA
NR2F1	7025	51.4634	31.3332	25.1494	32.3809	NA	NA	NA	NA
NR2F1-AS1	441094	42.3309	17.6303	10.7259	20.5129	NA	NA	NA	NA
NR2F2	7026	17.5207	10.9147	15.845	22.0992	NA	NA	NA	NA
NR2F2-AS1	644192	11.9472	5.21135	7.45969	15.9738	NA	NA	NA	NA
NR2F6	2063	11.4306	10.7413	10.9726	10.9307	NA	NA	NA	NA
NR3C1	2908	17.5291	14.0905	13.1418	27.2832	cerebral-cortex	glial-cells	Medium	Supported
NR3C2	4306	1.13761	0.649299	0.860519	0.967561	cerebral-cortex	glial-cells	Medium	Enhanced
NR4A1	3164	4.79412	7.56527	6.33393	4.1133	NA	NA	NA	NA
NR4A2	4929	0.36737	0.789402	0.853331	0.338265	NA	NA	NA	NA
NR4A3	8013	1.37158	0.668433	0.585865	1.50347	NA	NA	NA	NA
NR6A1	2649	2.35879	1.24787	1.3976	4.5054	NA	NA	NA	NA
NRADDP	100129354	0.0990368	0.717548	0.224542	0.17206	NA	NA	NA	NA
NRARP	441478	1.96482	4.06733	2.95469	2.53114	NA	NA	NA	NA
NRAS	4893	37.268	32.9586	32.7964	40.9556	NA	NA	NA	NA
NRBF2	29982	6.64984	5.84735	6.23756	5.75945	NA	NA	NA	NA
NRBF2P4	728381	1.42062	0.232167	0.423804	0.259799	NA	NA	NA	NA
NRBF2P5	100118954	0.661439	1.88242	2.43664	0.766016	NA	NA	NA	NA
NRBP1	29959	59.6593	60.9403	61.8929	60.6445	cerebral-cortex	glial-cells	Low	Supported
NRCAM	4897	53.7116	45.4202	33.7852	58.4801	cerebral-cortex	glial-cells	Low	Approved
NRDE2	55051	11.7833	12.8894	15.6846	9.95694	NA	NA	NA	NA
NREP	9315	194.873	303.465	235.971	308.734	cerebral-cortex	glial-cells	Medium	Approved
NREP-AS1	100873948	0.462243	0	0.522794	1.16657	NA	NA	NA	NA
NRF1	4899	12.5388	20.2196	15.293	16.7838	cerebral-cortex	glial-cells	Medium	Approved
NRG1	3084	4.62376	7.09338	15.1682	11.929	NA	NA	NA	NA
NRG1-IT1	100856811	14.2511	11.5132	12.6121	30.5211	NA	NA	NA	NA
NRG1-IT3	100874286	0.319309	0.330497	0.723957	0.184916	NA	NA	NA	NA
NRG2	9542	1.42828	1.0884	5.4049	2.6988	NA	NA	NA	NA
NRG3	10718	5.53163	5.99417	3.71061	7.75669	NA	NA	NA	NA
NRG3-AS1	101929590	2.21095	0.231575	0.256488	1.26614	NA	NA	NA	NA
NRG4	145957	1.77878	3.09163	2.22938	1.49698	NA	NA	NA	NA
NRGN	4900	0.911007	0.887919	1.39071	0.248397	cerebral-cortex	glial-cells	Medium	Enhanced
NRIP1	8204	18.5436	30.8117	23.3918	19.397	cerebral-cortex	glial-cells	Low	Approved
NRIP2	83714	0.34917	0.742915	0.578455	0.324217	cerebral-cortex	glial-cells	Low	Enhanced
NRIP3	56675	2.35177	5.60833	8.81963	8.05081	NA	NA	NA	NA
NRK	203447	0.08023	0.146909	0.0871582	0.0579312	NA	NA	NA	NA
NRL	4901	0.952422	0.855347	1.3289	1.23045	NA	NA	NA	NA
NRN1	51299	17.9401	13.8863	27.8763	6.41005	NA	NA	NA	NA
NRN1L	123904	0	0.0396754	0	0.143377	NA	NA	NA	NA
NRON	641373	1.72009	0.593453	1.62496	0.830105	NA	NA	NA	NA
NRP1	8829	59.9869	37.4352	54.7703	155.692	cerebral-cortex	glial-cells	Low	Approved
NRP2	8828	85.8769	75.2616	38.6425	82.251	cerebral-cortex	glial-cells	Medium	Enhanced
NRSN1	140767	0.0225357	0.0699759	0.0510944	0.21418	NA	NA	NA	NA
NRSN2	80023	51.0328	35.2349	39.1027	42.4361	cerebral-cortex	glial-cells	Low	Approved
NRTN	4902	0.213757	0.165935	0.121161	0.0618947	NA	NA	NA	NA
NRXN1	9378	2.39228	44.6517	51.5273	17.7586	NA	NA	NA	NA
NRXN2	9379	33.1189	48.8644	46.9545	34.2105	NA	NA	NA	NA
NRXN3	9369	5.9507	20.5698	15.1544	7.69356	NA	NA	NA	NA
NSA2	10412	104.433	60.5201	65.387	81.3383	cerebral-cortex	glial-cells	Low	Approved
NSD1	64324	27.9458	23.7794	30.0442	27.7601	cerebral-cortex	glial-cells	High	Supported
NSDHL	50814	0.155313	0.759919	0.0318309	0.17718	cerebral-cortex	glial-cells	Low	Enhanced
NSF	4905	10.234	9.47545	10.0994	12.1594	cerebral-cortex	glial-cells	Low	Enhanced
NSFL1C	55968	43.6776	33.9629	35.8686	39.8607	NA	NA	NA	NA
NSG1	27065	0.742874	5.25877	3.10901	5.69856	NA	NA	NA	NA
NSG2	51617	1.06291	3.13968	3.1948	10.9347	NA	NA	NA	NA
NSL1	25936	44.7876	52.8073	45.7214	50.9238	NA	NA	NA	NA
NSMAF	8439	20.9236	30.6767	41.2653	25.4606	NA	NA	NA	NA
NSMCE1	197370	26.3806	16.9646	22.2263	26.5843	NA	NA	NA	NA
NSMCE2	286053	19.0571	17.2687	17.8308	21.0724	cerebral-cortex	glial-cells	High	Supported
NSMCE4A	54780	28.5607	47.5493	52.5342	24.7238	cerebral-cortex	glial-cells	Low	Approved
NSMF	26012	67.1815	50.4587	43.0793	53.1279	cerebral-cortex	glial-cells	High	Enhanced
NSRP1	84081	12.7462	14.5361	18.4304	13.8182	cerebral-cortex	glial-cells	High	Enhanced
NSRP1P1	100420557	0.585371	0.807845	0.811058	0.470834	NA	NA	NA	NA
NSUN2	54888	20.1257	19.6983	21.0431	20.7375	cerebral-cortex	glial-cells	Low	Supported
NSUN3	63899	9.40468	11.6497	10.2586	11.9684	NA	NA	NA	NA
NSUN4	387338	6.12953	6.3743	8.20909	5.2694	NA	NA	NA	NA
NSUN5	55695	0.255524	0.206104	0.144944	0.180526	cerebral-cortex	glial-cells	Low	Approved
NSUN5P1	155400	0.721376	0.35597	0.817879	0.31779	NA	NA	NA	NA
NSUN6	221078	6.37402	6.43988	7.01608	7.71431	NA	NA	NA	NA
NSUN7	79730	5.56736	5.97838	5.69712	3.71061	NA	NA	NA	NA
NT5C	30833	52.4122	50.3411	61.0518	54.505	cerebral-cortex	glial-cells	Medium	Approved
NT5C1B	93034	0.0680998	0.070441	0.0771513	0.133303	NA	NA	NA	NA
NT5C2	22978	69.4807	48.1541	59.2818	65.2	cerebral-cortex	glial-cells	Low	Approved
NT5C3A	51251	7.93567	11.2696	11.2823	8.89111	NA	NA	NA	NA
NT5C3AP1	90859	1.37561	0.990851	2.10264	1.73	NA	NA	NA	NA
NT5CP1	326609	0.15758	0.163101	0.178638	0.0912568	NA	NA	NA	NA
NT5DC1	221294	0.969228	1.25704	3.60298	1.19462	NA	NA	NA	NA
NT5DC2	64943	80.3795	120.096	108.673	87.9278	cerebral-cortex	glial-cells	Low	Approved
NT5DC3	51559	6.78679	2.6684	2.21969	4.04909	NA	NA	NA	NA
NT5E	4907	1.83277	2.068	1.30708	4.49281	cerebral-cortex	glial-cells	Low	Approved
NT5M	56953	1.25326	4.25208	3.01651	2.10879	NA	NA	NA	NA
NTAN1	123803	54.0077	50.0474	39.8702	44.4416	NA	NA	NA	NA
NTAN1P2	100420307	1.44457	1.3593	1.93535	1.21682	NA	NA	NA	NA
NTF3	4908	0.726762	0.159128	0.174667	0.684363	NA	NA	NA	NA
NTF4	4909	0.132758	0.146976	0.248678	0.148502	NA	NA	NA	NA
NTHL1	4913	16.4133	11.507	11.5385	9.23318	cerebral-cortex	glial-cells	High	Supported
NTM	50863	3.76901	12.5073	14.0917	17.7416	NA	NA	NA	NA
NTMT1	28989	20.4569	16.5599	17.7311	34.4182	NA	NA	NA	NA
NTN1	9423	9.24448	13.7053	16.5762	26.4226	NA	NA	NA	NA
NTN3	4917	2.17456	2.39143	2.28026	1.84175	NA	NA	NA	NA
NTN4	59277	0.131781	0.963575	0.248508	0.866432	NA	NA	NA	NA
NTNG1	22854	1.93383	4.75898	6.79771	9.81392	NA	NA	NA	NA
NTNG2	84628	6.52221	8.91931	3.57375	4.77045	NA	NA	NA	NA
NTPCR	84284	18.636	15.8666	17.7125	18.7076	NA	NA	NA	NA
NTRK1	4914	0.513269	0.52002	0.368872	0.476352	cerebral-cortex	glial-cells	Medium	Approved
NTRK2	4915	137.275	128.071	65.4143	64.0265	NA	NA	NA	NA
NTRK3	4916	111.047	56.667	54.046	139.327	cerebral-cortex	glial-cells	Low	Approved
NTRK3-AS1	283738	0.177367	0.163184	0.223407	0.216842	NA	NA	NA	NA
NTS	4922	6.55725	1.42554	1.32513	3.13988	NA	NA	NA	NA
NUAK1	9891	4.27265	6.51119	4.71283	2.42517	NA	NA	NA	NA
NUAK2	81788	3.87664	5.25069	4.70368	1.06989	NA	NA	NA	NA
NUB1	51667	54.969	45.7403	52.9486	49.9956	NA	NA	NA	NA
NUBP1	4682	27.3496	27.4609	27.0102	20.9334	cerebral-cortex	glial-cells	Medium	Enhanced
NUBP2	10101	33.5783	37.5626	34.423	31.3616	NA	NA	NA	NA
NUBPL	80224	10.3621	6.69029	7.63247	10.6267	NA	NA	NA	NA
NUCB1	4924	101.798	75.3985	74.9274	82.2235	cerebral-cortex	glial-cells	Low	Supported
NUCB1-AS1	100874085	0	0	0.435725	0.221012	NA	NA	NA	NA
NUCB2	4925	32.167	33.522	41.1135	38.3608	cerebral-cortex	glial-cells	Low	Approved
NUCKS1	64710	231.612	388.327	266.626	217.315	cerebral-cortex	glial-cells	High	Supported
NUDC	10726	66.8386	46.3362	45.1684	56.9924	cerebral-cortex	glial-cells	Medium	Enhanced
NUDCD1	84955	7.30739	9.84894	11.4528	8.78182	NA	NA	NA	NA
NUDCD2	134492	31.6746	40.2922	32.6033	28.3647	NA	NA	NA	NA
NUDCD3	23386	57.827	47.1163	51.7661	50.9222	cerebral-cortex	glial-cells	Low	Enhanced
NUDT1	4521	25.3863	37.7087	31.6415	21.5024	cerebral-cortex	glial-cells	Low	Approved
NUDT12	83594	11.5414	7.35622	6.64026	8.99777	cerebral-cortex	glial-cells	Medium	Supported
NUDT13	25961	2.35732	1.95152	2.44589	2.63332	NA	NA	NA	NA
NUDT14	256281	7.14814	10.396	14.8993	16.1343	NA	NA	NA	NA
NUDT15	55270	4.42059	5.28075	5.93945	4.2065	cerebral-cortex	glial-cells	Medium	Approved
NUDT16	131870	7.55613	6.76273	7.52932	7.99898	NA	NA	NA	NA
NUDT16L1	84309	14.5821	11.9556	9.01185	9.75271	cerebral-cortex	glial-cells	Medium	Approved
NUDT17	200035	0.790901	0.114942	0.503565	0	NA	NA	NA	NA
NUDT18	79873	2.52771	1.37489	1.32421	1.54089	cerebral-cortex	glial-cells	Low	Approved
NUDT19	390916	0.15787	0.907787	1.17323	0.121899	NA	NA	NA	NA
NUDT19P3	100422450	0	0.425745	0.777106	0.238186	NA	NA	NA	NA
NUDT19P4	100422452	0.252766	0.523245	0.286565	0.292793	NA	NA	NA	NA
NUDT2	318	13.2374	9.92574	9.2271	10.3819	NA	NA	NA	NA
NUDT21	11051	72.1389	89.4804	96.6122	82.4683	NA	NA	NA	NA
NUDT22	84304	20.0655	14.4489	17.8586	17.3502	NA	NA	NA	NA
NUDT3	11165	29.233	37.7096	40.741	26.731	NA	NA	NA	NA
NUDT4	11163	13.1911	13.268	21.0982	32.3243	NA	NA	NA	NA
NUDT5	11164	41.9893	37.0567	37.7577	46.9129	NA	NA	NA	NA
NUDT6	11162	3.72968	7.38111	4.37867	5.89117	NA	NA	NA	NA
NUDT7	283927	2.64876	2.40705	2.22716	1.87399	NA	NA	NA	NA
NUDT8	254552	2.34966	2.28285	2.18703	2.4537	cerebral-cortex	glial-cells	Low	Enhanced
NUDT9	53343	9.77072	6.4631	8.21556	13.0941	cerebral-cortex	glial-cells	Medium	Approved
NUF2	83540	9.61481	30.1382	24.7001	8.30083	NA	NA	NA	NA
NUFIP1	26747	3.62672	4.47098	4.42891	3.81636	NA	NA	NA	NA
NUFIP2	57532	61.1858	77.2374	85.3662	74.1058	NA	NA	NA	NA
NUMA1	4926	99.6067	192.285	125.562	116.151	cerebral-cortex	glial-cells	High	Enhanced
NUMB	8650	15.415	16.711	14.9932	15.3114	cerebral-cortex	glial-cells	Low	Approved
NUMBL	9253	13.8398	24.2204	19.0076	9.60519	NA	NA	NA	NA
NUP107	57122	46.0924	54.7685	49.0326	47.905	NA	NA	NA	NA
NUP133	55746	37.7325	43.2548	37.246	39.8272	NA	NA	NA	NA
NUP153	9972	20.2006	20.8556	20.5981	17.6462	cerebral-cortex	glial-cells	High	Supported
NUP155	9631	16.2023	21.7487	21.5594	17.0131	NA	NA	NA	NA
NUP160	23279	11.022	19.0343	20.164	11.1507	NA	NA	NA	NA
NUP188	23511	14.5553	34.2229	36.2979	17.9447	cerebral-cortex	glial-cells	Low	Approved
NUP205	23165	20.4509	24.8087	25.3073	19.6856	NA	NA	NA	NA
NUP210	23225	1.73376	5.82327	5.78102	1.22707	cerebral-cortex	glial-cells	Medium	Approved
NUP210L	91181	0.183412	0.204144	0.335534	0.314285	NA	NA	NA	NA
NUP210P3	100419070	0.799178	0.371448	0.58813	0.410389	NA	NA	NA	NA
NUP214	8021	19.7797	22.23	25.3065	21.9285	NA	NA	NA	NA
NUP35	129401	10.6849	13.8145	11.586	10.3127	cerebral-cortex	glial-cells	Medium	Enhanced
NUP37	79023	8.41854	8.10274	7.94328	7.30625	cerebral-cortex	glial-cells	Low	Supported
NUP43	348995	30.9258	28.5921	29.9875	28.0993	cerebral-cortex	glial-cells	Medium	Enhanced
NUP50	10762	25.3814	26.3937	24.46	20.6161	cerebral-cortex	glial-cells	Medium	Enhanced
NUP54	53371	59.042	69.4429	58.3396	52.7513	NA	NA	NA	NA
NUP62	23636	21.8258	30.805	26.6688	19.7142	cerebral-cortex	glial-cells	Low	Supported
NUP62CL	54830	0.348576	0.617457	0.860133	0.622561	NA	NA	NA	NA
NUP85	79902	54.9767	41.3166	58.3721	46.6575	NA	NA	NA	NA
NUP88	4927	48.2015	49.6115	62.4804	64.3706	cerebral-cortex	glial-cells	High	Approved
NUP93	9688	97.1225	150.069	153.644	89.6821	NA	NA	NA	NA
NUP98	4928	44.049	71.3093	50.2235	51.4381	NA	NA	NA	NA
NUPR1	26471	11.706	5.56551	2.79921	22.8152	NA	NA	NA	NA
NUS1	116150	2.38525	2.77181	2.56879	2.39848	NA	NA	NA	NA
NUS1P1	729148	1.78138	0.885024	1.7771	1.85692	NA	NA	NA	NA
NUS1P2	646208	1.01856	2.14917	1.9983	1.72751	NA	NA	NA	NA
NUSAP1	51203	81.7031	217.235	195.521	71.8944	NA	NA	NA	NA
NUTF2	10204	136.476	111.051	123.351	127.504	cerebral-cortex	glial-cells	Low	Supported
NUTF2P2	326613	2.12024	2.08264	2.40351	2.90313	NA	NA	NA	NA
NUTM2A	728118	0.0296243	0.114625	0.350895	0.160053	NA	NA	NA	NA
NUTM2A-AS1	728190	8.83402	11.5195	11.4451	9.33305	NA	NA	NA	NA
NUTM2D	728130	0.468012	0.340719	0.448803	0.685988	NA	NA	NA	NA
NUTM2G	441457	0.10479	0.216925	0.475182	0.2306	NA	NA	NA	NA
NVL	4931	33.162	47.3237	43.1979	50.6482	NA	NA	NA	NA
NWD1	284434	0.337585	0.269676	0.381371	0.369478	NA	NA	NA	NA
NXF1	10482	20.6793	26.5934	27.1478	22.6553	cerebral-cortex	glial-cells	High	Supported
NXN	64359	44.2465	44.3122	23.4232	28.0328	NA	NA	NA	NA
NXNL2	158046	2.11472	0.992084	0.862324	0.380664	NA	NA	NA	NA
NXPE2	120406	0.164314	0.060071	0.059443	0.176367	NA	NA	NA	NA
NXPE3	91775	9.45418	7.10282	6.71564	9.15007	NA	NA	NA	NA
NXPH1	30010	0.897701	7.62756	13.7396	3.15044	NA	NA	NA	NA
NXPH2	11249	0.0570191	0.472136	0.581748	0.0330205	cerebral-cortex	glial-cells	Low	Approved
NXPH3	11248	2.45645	6.14119	6.23257	2.09348	NA	NA	NA	NA
NXPH4	11247	0.121072	0.441987	0	0.262931	NA	NA	NA	NA
NXT1	29107	8.10467	11.6025	11.8724	8.13746	NA	NA	NA	NA
NXT2	55916	14.3622	5.74682	5.88983	18.0098	NA	NA	NA	NA
NYAP1	222950	9.16146	8.96138	7.5298	7.47674	NA	NA	NA	NA
NYNRIN	57523	5.13946	4.4406	4.26732	5.06016	cerebral-cortex	glial-cells	Medium	Approved
NYX	60506	0.32769	0.263665	0.209935	0.0447449	NA	NA	NA	NA
OAF	220323	2.08923	0.572354	0.666677	7.52325	NA	NA	NA	NA
OARD1	221443	32.3807	21.8386	23.5888	27.6971	NA	NA	NA	NA
OAS1	4938	0.233362	0.182203	0.520693	0.691906	NA	NA	NA	NA
OAS3	4940	0.498214	2.068	1.33819	0.369718	NA	NA	NA	NA
OAT	4942	68.3899	52.8783	62.7709	134.646	cerebral-cortex	glial-cells	Low	Enhanced
OAZ1	4946	210.659	190.696	173.485	251.547	NA	NA	NA	NA
OAZ2	4947	37.7302	45.4332	26.4468	34.2325	NA	NA	NA	NA
OAZ3	51686	1.21013	0.455143	0.539527	1.40848	NA	NA	NA	NA
OBSCN	84033	1.9568	6.36958	10.1138	2.98123	NA	NA	NA	NA
OBSL1	23363	63.3033	63.184	62.9823	51.6085	NA	NA	NA	NA
OCA2	4948	0.186151	0.377171	0.147513	0.176608	NA	NA	NA	NA
OCEL1	79629	2.71837	3.94213	1.8161	1.94727	NA	NA	NA	NA
OCIAD1	54940	181.509	148.11	147.972	192.429	cerebral-cortex	glial-cells	Medium	Approved
OCIAD1-AS1	100861517	0	2.93906	3.31257	2.08854	NA	NA	NA	NA
OCIAD2	132299	10.7081	18.7846	26.5161	2.2383	NA	NA	NA	NA
OCLM	10896	0.21314	0.588289	0.966489	0.452584	NA	NA	NA	NA
OCRL	4952	7.30686	7.23865	7.47708	6.09844	cerebral-cortex	glial-cells	Medium	Approved
ODC1	4953	77.4628	96.7294	92.7857	100.109	cerebral-cortex	glial-cells	Low	Approved
ODCP	4954	0.57361	0.558784	0.803265	0.508047	NA	NA	NA	NA
ODF2	4957	35.1539	39.8876	34.8655	33.7457	NA	NA	NA	NA
ODF2-AS1	107080620	1.18301	1.50485	0.821787	0.41612	NA	NA	NA	NA
ODF2L	57489	33.9762	27.3101	29.6403	51.8859	NA	NA	NA	NA
ODF3B	440836	4.75835	6.15481	2.09557	1.67755	NA	NA	NA	NA
ODF3L1	161753	0.195065	0	0	0.112964	NA	NA	NA	NA
OFD1	8481	11.6041	10.7073	14.7721	16.0797	cerebral-cortex	glial-cells	Low	Approved
OFD1P17	23738	0.637272	0.552638	1.01531	0.54859	NA	NA	NA	NA
OGDH	4967	47.0248	37.5591	25.0722	28.045	cerebral-cortex	glial-cells	Low	Supported
OGDHL	55753	0.0762371	0.460044	0.510565	0.503499	cerebral-cortex	glial-cells	Low	Enhanced
OGFOD1	55239	21.5911	20.278	23.3342	22.3196	NA	NA	NA	NA
OGFOD1P1	387924	0.348819	0.324937	0.395433	0.404011	NA	NA	NA	NA
OGFOD2	79676	4.08462	7.51434	6.54826	6.49376	cerebral-cortex	glial-cells	Low	Approved
OGFOD3	79701	10.9813	12.0648	14.029	14.0694	NA	NA	NA	NA
OGFR	11054	22.208	21.6509	22.4345	16.5556	cerebral-cortex	glial-cells	Low	Supported
OGFR-AS1	101409261	0.311747	0.537783	0.706812	0.601788	NA	NA	NA	NA
OGFRL1	79627	36.3333	18.3688	24.822	34.9364	NA	NA	NA	NA
OGG1	4968	42.3816	57.0981	50.2326	37.5985	cerebral-cortex	glial-cells	Low	Approved
OGN	4969	0.610734	1.61838	1.75613	1.04623	NA	NA	NA	NA
OGT	8473	109.58	115.786	129.906	95.8291	cerebral-cortex	glial-cells	Low	Approved
OIP5	11339	2.5517	3.68113	4.18574	2.29317	NA	NA	NA	NA
OIP5-AS1	729082	32.1621	37.3932	36.8959	31.2942	NA	NA	NA	NA
OLA1	29789	66.2839	130.431	131.412	125.828	cerebral-cortex	glial-cells	Medium	Approved
OLFM1	10439	21.5178	5.92426	19.6774	43.6034	NA	NA	NA	NA
OLFM2	93145	19.8047	25.9921	21.9662	13.1095	NA	NA	NA	NA
OLFML1	283298	0.129538	0.0969103	0.0849133	0.0875811	NA	NA	NA	NA
OLFML2A	169611	1.94873	2.64486	0.530422	1.21171	cerebral-cortex	glial-cells	Low	Approved
OLFML2B	25903	2.1306	5.06874	2.44721	2.64775	NA	NA	NA	NA
OLFML3	56944	2.86652	2.70345	0.11459	3.71411	NA	NA	NA	NA
OLIG1	116448	1.56563	2.33333	2.04455	1.3096	NA	NA	NA	NA
OLIG2	10215	5.92764	5.36362	9.11058	4.74248	cerebral-cortex	glial-cells	Medium	Enhanced
OMA1	115209	39.1572	18.654	17.0736	38.5278	NA	NA	NA	NA
OMD	4958	0.259006	0.424452	0.440416	0.162495	NA	NA	NA	NA
OMG	4974	3.25858	3.45928	7.8218	5.23462	cerebral-cortex	glial-cells	High	Enhanced
ONECUT1	3175	2.09903	0.237822	1.18417	0.954373	NA	NA	NA	NA
ONECUT2	9480	0.377898	0.577199	0.566629	0.593053	NA	NA	NA	NA
OPA1	4976	118.426	127.286	108.626	109.066	cerebral-cortex	glial-cells	Low	Supported
OPA1-AS1	100873941	0.462546	0	0.524013	0.267709	NA	NA	NA	NA
OPA3	80207	6.41641	6.23497	6.50962	6.87712	NA	NA	NA	NA
OPCML	4978	4.25507	5.42037	17.2436	7.6548	NA	NA	NA	NA
OPCML-IT2	100874332	0.739069	1.27473	3.63002	0.856221	NA	NA	NA	NA
OPHN1	4983	32.9695	30.111	25.865	24.2859	NA	NA	NA	NA
OPN1SW	611	1.19274	0.505037	0.798987	1.06749	NA	NA	NA	NA
OPN3	23596	3.99778	5.01045	3.12404	4.4855	NA	NA	NA	NA
OPN5	221391	0.38137	0.229282	0.525284	0.827179	NA	NA	NA	NA
OPRD1	4985	0.246766	0.670456	0.314709	0.0357263	cerebral-cortex	glial-cells	High	Approved
OPRK1	4986	0.368294	0.0626102	0.0685662	0.167902	cerebral-cortex	glial-cells	Low	Enhanced
OPRL1	4987	2.45993	0.801179	0.410739	1.58362	NA	NA	NA	NA
OPTN	10133	36.4705	29.8793	32.8479	34.6709	cerebral-cortex	glial-cells	Medium	Approved
OR13E1P	392308	2.28825	1.60217	1.5259	1.40311	NA	NA	NA	NA
OR1F1	4992	0.13097	0.203338	0.0742359	0.0379275	NA	NA	NA	NA
OR1F12	442179	0.135354	0.210145	0.153442	0.352734	NA	NA	NA	NA
OR2L13	284521	2.65201	0.0673628	0	2.30381	NA	NA	NA	NA
OR2W3	343171	0.060052	0.0310577	0.169631	0.262267	NA	NA	NA	NA
