SYMBOL	ENTREZID	ST.1	ST.4	ST.5	ST.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
CEP170P1	645455	0.365047	0.194671	0.435205	0.219955	NA	NA	NA	NA
CEP19	84984	7.85081	4.45925	4.59278	7.44604	cerebral-cortex	glial-cells	Medium	Enhanced
CEP192	55125	22.7565	29.5082	29.5846	22.4096	NA	NA	NA	NA
CEP250	11190	29.4569	29.6216	27.7281	27.0887	NA	NA	NA	NA
CEP290	80184	16.559	13.7551	17.9563	21.8191	cerebral-cortex	glial-cells	Low	Approved
CEP350	9857	23.6465	28.0794	23.8284	23.7523	cerebral-cortex	glial-cells	Medium	Enhanced
CEP41	95681	0.164297	0	0.182107	0.0827644	NA	NA	NA	NA
CEP44	80817	6.03165	6.8156	7.5562	6.58648	cerebral-cortex	glial-cells	Low	Approved
CEP55	55165	6.26873	13.1855	18.9236	7.09307	NA	NA	NA	NA
CEP57	9702	46.4617	73.2318	75.8869	65.7603	NA	NA	NA	NA
CEP57L1	285753	25.2013	22.522	27.1953	18.5954	cerebral-cortex	glial-cells	Medium	Approved
CEP57L1P1	221017	2.17797	2.95113	1.87022	2.38857	NA	NA	NA	NA
CEP63	80254	29.2613	24.9026	24.8967	46.9195	cerebral-cortex	glial-cells	Low	Approved
CEP68	23177	9.48056	12.4922	12.7278	9.24516	cerebral-cortex	glial-cells	Medium	Enhanced
CEP70	80321	16.4286	24.1868	24.8143	21.49	cerebral-cortex	glial-cells	Medium	Enhanced
CEP72	55722	2.42043	3.54674	3.74565	2.42713	NA	NA	NA	NA
CEP76	79959	6.95022	10.1921	6.46306	6.33319	cerebral-cortex	glial-cells	Medium	Approved
CEP78	84131	14.0173	17.8262	20.3189	11.311	NA	NA	NA	NA
CEP85	64793	6.25196	10.6361	10.3553	6.14994	NA	NA	NA	NA
CEP85L	387119	9.67639	9.81605	9.16837	8.64828	NA	NA	NA	NA
CEP89	84902	27.1613	34.1814	31.8858	28.348	NA	NA	NA	NA
CEP97	79598	190.72	86.1325	161.009	91.075	NA	NA	NA	NA
CEPT1	10390	23.0379	19.5192	20.6573	29.2613	NA	NA	NA	NA
CER1	9350	1.0049	2.2288	0.86795	0.942203	NA	NA	NA	NA
CERCAM	51148	7.1072	10.4315	9.10222	10.7038	NA	NA	NA	NA
CERK	64781	29.8414	31.4546	29.8425	41.5296	NA	NA	NA	NA
CERKL	375298	0.128343	0.260439	0.156847	0.0805003	NA	NA	NA	NA
CERS1	10715	69.2817	25.8008	25.6138	55.5437	NA	NA	NA	NA
CERS2	29956	96.4749	76.5834	66.7328	81.2172	cerebral-cortex	glial-cells	Medium	Approved
CERS4	79603	22.4827	31.7641	19.6746	21.0544	NA	NA	NA	NA
CERS5	91012	68.34	62.8935	78.3733	74.555	cerebral-cortex	glial-cells	Medium	Approved
CERS6	253782	10.6338	24.2973	19.1904	14.1943	cerebral-cortex	glial-cells	Low	Approved
CERS6-AS1	100861402	2.29893	6.16635	5.46475	3.17594	NA	NA	NA	NA
CES2	8824	23.6402	19.9256	27.2874	23.0078	NA	NA	NA	NA
