SYMBOL	ENTREZID	Bipolar disorder 2a BD2a_NA	Bipolar disorder 2a BD2a_NA2	Bipolar disorder 3a BD3a_NA	Bipolar disorder 3b BD3b_NA	Bipolar disorder 4a BD4a_NA	Bipolar disorder 4b BD4b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
SETD1B	23067	2.69663	2.67837	2.9673	2.50547	3.5936	3.20439	cerebral-cortex	glial-cells	Low	Approved
SETD2	29072	11.1554	11.6733	12.8642	11.5988	12.5959	11.8289	NA	NA	NA	NA
SETD3	84193	39.0937	39.2485	37.2464	36.4737	36.2487	36.0582	cerebral-cortex	glial-cells	Medium	Approved
SETD4	54093	8.32368	9.86169	10.6673	8.05482	12.4249	8.81059	NA	NA	NA	NA
SETD5	55209	71.523	71.1874	78.3366	66.949	72.1603	79.9463	cerebral-cortex	glial-cells	Low	Approved
SETD6	79918	4.6285	4.46925	5.27987	3.94523	4.17512	3.90547	NA	NA	NA	NA
SETD7	80854	36.5123	30.7436	35.9346	39.0719	31.0792	29.2726	NA	NA	NA	NA
SETD9	133383	6.369	6.10512	0.801755	0.942991	6.57606	7.13639	NA	NA	NA	NA
SETDB1	9869	10.7615	14.8549	14.1466	12.2692	9.47651	12.3358	NA	NA	NA	NA
SETDB2	83852	2.4919	2.73743	2.14087	1.75773	1.9927	1.53031	cerebral-cortex	glial-cells	High	Approved
