SYMBOL	ENTREZID	Bipolar disorder 2a BD2a_NA	Bipolar disorder 2a BD2a_NA2	Bipolar disorder 3a BD3a_NA	Bipolar disorder 3b BD3b_NA	Bipolar disorder 4a BD4a_NA	Bipolar disorder 4b BD4b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
ENO3	2027	3.93606	6.87487	6.36995	6.17397	10.1912	6.56758	NA	NA	NA	NA
ENO4	387712	0.560345	0.465047	0.663256	0.429806	0.137014	0.149093	NA	NA	NA	NA
ENOPH1	58478	16.3568	16.3247	14.9733	18.1613	15.8679	16.0488	NA	NA	NA	NA
ENOSF1	55556	5.41319	5.07159	6.62666	8.93409	6.5385	7.56693	NA	NA	NA	NA
ENOX1	55068	1.22403	1.17295	1.14507	0.670412	0.537549	0.664642	NA	NA	NA	NA
ENOX2	10495	3.07633	2.81056	2.51151	2.34737	1.9584	3.19284	NA	NA	NA	NA
ENPEP	2028	0.117858	0.380919	0.83219	0.713154	0.27275	0.217329	NA	NA	NA	NA
ENPP1	5167	4.11148	3.51583	3.75236	4.26469	5.65914	6.2934	NA	NA	NA	NA
ENPP2	5168	6.23628	5.66746	1.00417	0.41448	1.27019	1.43993	NA	NA	NA	NA
ENPP4	22875	0.10079	0.143142	0.282063	0.460281	0.264527	0.201525	cerebral-cortex	glial-cells	Medium	Approved
ENPP7P4	100421816	0.12672	0.137119	0.711238	0.365495	0.16628	0.18098	NA	NA	NA	NA
ENSA	2029	59.1518	60.9726	58.1637	63.6163	55.2353	58.5857	NA	NA	NA	NA
ENSAP2	319114	17.2031	9.00718	16.228	12.5676	12.8111	14.7944	NA	NA	NA	NA
ENTPD1	953	0.799424	0.833284	0.856983	0.844276	1.0131	1.04195	NA	NA	NA	NA
ENTPD1-AS1	728558	4.15574	3.33479	3.58525	3.54516	4.39379	4.8322	NA	NA	NA	NA
ENTPD3-AS1	285266	1.38557	1.45901	0.971486	1.42286	1.29129	1.46849	NA	NA	NA	NA
ENTPD4	9583	50.0207	55.7761	51.7008	55.0145	55.8895	54.4145	NA	NA	NA	NA
ENTPD5	957	7.17376	5.81517	6.56078	5.726	5.08694	5.23798	cerebral-cortex	glial-cells	Low	Enhanced
ENTPD6	955	36.8854	34.6933	21.7971	20.6	27.6759	25.6078	cerebral-cortex	glial-cells	Low	Approved
ENTPD7	57089	12.9417	12.9863	16.3036	16.3683	12.5392	12.3237	NA	NA	NA	NA
ENY2	56943	106.559	110.557	101.424	101.383	95.417	109.903	cerebral-cortex	glial-cells	Medium	Approved
EOGT	285203	15.2974	17.0478	19.7062	21.1344	15.8445	15.6273	cerebral-cortex	glial-cells	Low	Approved
EP300	2033	8.23559	8.41971	9.45794	8.81487	9.41714	9.31742	cerebral-cortex	glial-cells	Low	Supported
EP400	57634	3.8236	3.63604	3.95135	3.93595	4.21666	3.90769	cerebral-cortex	glial-cells	Medium	Supported
EPAS1	2034	76.2812	73.4859	79.9865	83.6797	70.6113	66.8689	NA	NA	NA	NA
EPB41	2035	4.91542	6.43353	12.0264	9.09549	8.04043	7.90031	NA	NA	NA	NA
EPB41L1	2036	55.2733	38.6362	25.7245	31.9072	42.8686	38.1068	cerebral-cortex	glial-cells	Low	Enhanced
EPB41L2	2037	47.224	43.8588	69.1489	67.0249	74.623	71.0737	cerebral-cortex	glial-cells	Low	Supported
EPB41L3	23136	66.7845	65.5353	103.647	87.9578	110.698	104.704	cerebral-cortex	glial-cells	Low	Enhanced
EPB41L4A-AS1	114915	32.4189	37.2856	32.0343	31.8618	41.1438	34.603	NA	NA	NA	NA
EPB41L4B	54566	0.906411	0.80939	0.412087	0.524721	1.07506	1.12413	NA	NA	NA	NA
EPB41L5	57669	3.27126	2.93512	3.90802	2.7316	3.66235	4.172	NA	NA	NA	NA
EPC1	80314	12.1632	13.0614	10.9796	9.40428	13.9614	13.1334	NA	NA	NA	NA
EPC2	26122	5.68896	5.53535	5.54972	6.09544	5.67479	5.88534	NA	NA	NA	NA
EPCAM	4072	0.275968	0.251225	0.179487	0.248789	0.33121	0.15847	NA	NA	NA	NA
EPDR1	54749	7.80637	9.64631	5.36894	4.41692	2.08836	2.46576	cerebral-cortex	glial-cells	High	Approved
EPG5	57724	13.5474	13.2624	15.3412	16.7318	9.70155	11.0238	NA	NA	NA	NA
EPGN	255324	22.8242	21.3873	26.7534	37.1809	17.2939	16.8329	NA	NA	NA	NA
EPHA1	2041	2.00697	1.18761	1.82635	1.73526	1.98703	0.897066	NA	NA	NA	NA
EPHA2	1969	48.2817	48.5867	64.5019	69.5489	46.7866	45.0286	NA	NA	NA	NA
EPHA3	2042	0.0583172	0.0736112	0.268507	0.386229	0.0408402	0.0555004	NA	NA	NA	NA
EPHA4	2043	1.4025	1.77924	3.21296	4.38348	2.92168	1.63245	cerebral-cortex	glial-cells	Low	Enhanced
EPHA5	2044	11.1632	11.6316	4.86761	3.88318	12.2576	13.2071	NA	NA	NA	NA
EPHB1	2047	1.24882	0.852493	0.952123	0.641167	0.411758	0.470719	NA	NA	NA	NA
EPHB2	2048	14.1008	13.7119	16.5564	17.357	16.6218	13.2547	cerebral-cortex	glial-cells	Medium	Approved
EPHB3	2049	1.47089	1.01541	0.612202	0.311484	0.751215	1.21523	NA	NA	NA	NA
EPHB4	2050	18.4013	16.1748	24.0153	22.4152	27.2883	25.0792	NA	NA	NA	NA
EPHX1	2052	16.4961	14.296	16.4569	16.3937	12.6017	14.8487	NA	NA	NA	NA
EPHX2	2053	0	0.0894067	0.267535	0.740779	0.0964905	0.292747	cerebral-cortex	glial-cells	Low	Approved
EPHX4	253152	0.975332	0.932652	1.71361	2.76223	1.5001	1.11437	NA	NA	NA	NA
EPM2A	7957	1.24078	1.27757	1.1263	1.65383	1.0142	1.12249	NA	NA	NA	NA
EPM2AIP1	9852	6.52961	5.72444	5.63897	6.47878	5.63114	5.63292	NA	NA	NA	NA
EPN1	29924	42.8009	39.0668	33.8878	35.8169	42.0405	36.1448	cerebral-cortex	glial-cells	Medium	Approved
EPN2	22905	44.9482	47.0453	38.7686	41.5918	36.7315	32.5119	NA	NA	NA	NA
EPOR	2057	0.47721	0.466907	0.922779	0.616217	0.866958	0.816149	NA	NA	NA	NA
EPS15	2060	15.8352	15.6206	17.5907	14.6569	16.2811	16.1738	cerebral-cortex	glial-cells	Medium	Approved
EPS15L1	58513	12.732	12.0086	12.9863	11.8504	12.2591	13.5929	NA	NA	NA	NA
EPS8	2059	66.4753	69.7099	35.6078	28.2154	42.0199	48.8289	cerebral-cortex	glial-cells	Medium	Approved
EPS8L1	54869	0.995274	1.47056	2.3349	2.94266	1.04809	1.18019	NA	NA	NA	NA
EPS8L2	64787	32.4624	32.5689	40.0034	50.9063	34.9722	30.7827	NA	NA	NA	NA
EPSTI1	94240	4.0864	5.65777	1.12147	1.34386	5.4956	4.22393	NA	NA	NA	NA
ERAL1	26284	38.9942	38.4051	49.4934	41.6199	39.7041	38.4035	cerebral-cortex	glial-cells	Low	Supported
ERAP1	51752	32.2006	40.0838	17.6726	12.7794	29.4817	28.3191	cerebral-cortex	glial-cells	Medium	Approved
ERAP2	64167	1.05512	0.506271	4.31827	4.21079	0.35518	0.304429	cerebral-cortex	glial-cells	Low	Enhanced
ERBB2	2064	45.8217	46.7122	43.7684	45.2777	38.7204	40.9382	NA	NA	NA	NA
ERBB3	2065	0.679323	1.22635	0.706817	0.824378	2.74063	0.549044	NA	NA	NA	NA
ERC1	23085	18.6233	16.2411	15.7018	15.2227	15.3329	16.6058	NA	NA	NA	NA
ERC2	26059	0.152555	0.142694	0.86775	0.659181	0.189619	0.327737	NA	NA	NA	NA
ERCC1	2067	157.917	166.366	133.437	113.295	103.303	99.5039	cerebral-cortex	glial-cells	Medium	Supported
ERCC2	2068	48.8952	50.3889	49.8448	44.2112	41.7644	40.1905	NA	NA	NA	NA
ERCC3	2071	26.8366	28.3367	27.5229	29.2198	29.0795	30.5238	cerebral-cortex	glial-cells	Low	Approved
ERCC4	2072	6.24013	7.59539	5.04753	4.82502	5.56546	5.0757	cerebral-cortex	glial-cells	Low	Approved
ERCC5	2073	20.1965	19.1465	21.4475	20.3946	21.6572	22.7853	NA	NA	NA	NA
ERCC6	2074	11.8596	14.4339	22.9413	24.6774	23.3389	22.0868	NA	NA	NA	NA
ERCC6L	54821	0.381722	0.28503	0.114302	0.080019	0.604191	0.831871	NA	NA	NA	NA
ERCC6L2	375748	10.7026	9.60004	11.8458	9.86507	11.496	11.0528	NA	NA	NA	NA
ERCC8	1161	6.79466	6.66041	6.94055	6.71473	7.89088	8.9565	NA	NA	NA	NA
EREG	2069	18.2587	15.7424	10.595	7.48976	5.11806	4.93249	NA	NA	NA	NA
ERF	2077	31.2041	32.9695	37.5788	36.304	32.4622	33.3094	cerebral-cortex	glial-cells	Low	Approved
ERG	2078	0.180969	0.0870136	0.132973	0.125429	0.656025	0.592204	NA	NA	NA	NA
ERGIC1	57222	167.498	164.712	156.809	139.75	163.806	146.074	cerebral-cortex	glial-cells	Low	Enhanced
ERGIC2	51290	97.4473	74.9059	86.5517	105.193	72.7291	80.3134	NA	NA	NA	NA
ERGIC3	51614	287.245	297.972	276.249	251.631	267.186	269.215	cerebral-cortex	glial-cells	Low	Approved
ERH	2079	304.649	408.141	342.439	345.871	337.661	413.824	cerebral-cortex	glial-cells	Medium	Approved
ERHP1	100507125	3.26329	2.98784	8.20239	7.40104	4.21385	6.88333	NA	NA	NA	NA
ERI1	90459	5.42102	4.96587	4.83796	4.48416	5.21152	4.55676	NA	NA	NA	NA
ERI2	112479	2.17678	3.51227	2.50742	3.69792	3.1501	4.17248	NA	NA	NA	NA
ERI3	79033	50.2185	47.7065	47.7757	48.8029	49.5349	49.9228	cerebral-cortex	glial-cells	Medium	Approved
ERI3-IT1	100874278	0.268357	0.290383	0.795836	0.172003	0.985889	0.536581	NA	NA	NA	NA
ERICH1	157697	14.1722	12.4456	16.0061	14.1161	9.24838	13.0522	NA	NA	NA	NA
ERICH2	285141	0	0.0758631	0.332777	0.359493	0.0735904	0.0801039	NA	NA	NA	NA
ERLEC1	27248	52.0621	48.0964	52.1121	48.8393	49.1354	52.6222	cerebral-cortex	glial-cells	Medium	Enhanced
ERLEC1P1	100288870	0.0834375	0.102893	0	0	0.0576534	0.00718867	NA	NA	NA	NA
ERLIN1	10613	14.8024	15.9077	14.3402	13.5724	16.3335	16.0482	cerebral-cortex	glial-cells	High	Approved
ERLIN2	11160	26.1227	26.0018	27.4093	27.1047	24.7278	26.3625	cerebral-cortex	glial-cells	High	Supported
ERMAP	114625	4.07879	4.75523	5.52394	6.07899	4.41774	4.21842	NA	NA	NA	NA
ERMARD	55780	9.13421	9.94104	14.3939	11.4005	11.7881	10.0956	cerebral-cortex	glial-cells	Medium	Approved
ERMN	57471	0.863506	1.0196	1.14691	1.14168	0.336958	0.65692	cerebral-cortex	glial-cells	Medium	Enhanced
ERMP1	79956	1.9075	1.89821	1.43684	1.96174	1.6085	1.56765	NA	NA	NA	NA
ERN1	2081	3.76002	4.48938	5.63112	6.23265	4.03938	3.06945	cerebral-cortex	glial-cells	Low	Supported
ERP27	121506	0.318588	0.0384505	0.0418471	0	0.108711	0.202084	NA	NA	NA	NA
ERP29	10961	82.6153	77.9194	73.2794	72.8334	110.548	86.9554	cerebral-cortex	glial-cells	Medium	Enhanced
ERP29P1	100420612	2.99846	2.76385	2.03931	1.49478	2.68116	1.26885	NA	NA	NA	NA
ERP44	23071	13.019	12.8748	14.5948	15.2062	13.6865	13.5119	cerebral-cortex	glial-cells	Medium	Supported
ERRFI1	54206	61.5763	65.8162	97.0631	89.7248	74.8063	71.8695	NA	NA	NA	NA
ERV3-1	2086	4.57323	3.93322	7.11098	6.10463	5.704	4.25145	cerebral-cortex	glial-cells	Low	Enhanced
ERVK13-1	100507321	4.02293	3.83555	4.89617	6.33004	5.50338	5.44653	NA	NA	NA	NA
ERVK3-1	105372481	43.9483	41.6621	46.2796	45.2348	40.8701	42.6098	NA	NA	NA	NA
ERVW-1	30816	0.0687482	0.0355259	0.0655318	0.179056	0.169785	0.265117	NA	NA	NA	NA
ESAM	90952	0.103463	0.130499	0.142414	0.167404	0.187111	0.0393639	NA	NA	NA	NA
ESCO1	114799	1.74437	1.90586	3.07939	3.57442	2.81358	3.04884	cerebral-cortex	glial-cells	Low	Approved
ESCO2	157570	0.610316	0.394957	0.180171	0.295705	1.92292	1.3607	NA	NA	NA	NA
ESD	2098	138.62	143.263	124.292	109.065	105.628	119.899	cerebral-cortex	glial-cells	Medium	Approved
ESF1	51575	2.73353	2.80694	4.41663	5.29191	4.14836	4.16426	cerebral-cortex	glial-cells	Medium	Supported
ESM1	11082	0.622176	0.341509	0.235397	0.176921	0.510425	0.72632	NA	NA	NA	NA
ESPL1	9700	0.661646	0.34982	0.348152	0.156064	1.92409	1.71477	NA	NA	NA	NA
ESPN	83715	0.157716	0.0869138	0.388363	0.207927	0.343668	0.26272	NA	NA	NA	NA
ESPNL	339768	0.164462	0.151298	0.0678411	0.260753	0.302145	0.458911	NA	NA	NA	NA
ESR1	2099	0.110942	0.172737	0.188084	0.159593	0.144576	0.189085	NA	NA	NA	NA
ESRRA	2101	10.8471	10.2045	11.0268	11.863	10.0496	10.5843	NA	NA	NA	NA
ESYT1	23344	51.8021	57.1279	64.1222	63.35	56.3423	50.9236	NA	NA	NA	NA
ESYT2	57488	26.6485	25.9049	22.9596	22.675	21.9693	23.6567	cerebral-cortex	glial-cells	Low	Approved
ETAA1	54465	3.20776	2.40556	2.91561	3.38649	5.34541	4.42295	NA	NA	NA	NA
ETF1	2107	78.5822	77.3725	74.4229	74.5029	70.5708	74.6876	NA	NA	NA	NA
ETF1P2	6825	0.283383	0.24093	0.406093	0.259477	0.169994	0.115635	NA	NA	NA	NA
ETF1P3	100132121	0.146175	0.31634	0.379888	0.412238	0.245517	0.167012	NA	NA	NA	NA
ETFA	2108	148.25	154.464	120.792	127.699	126.116	137.143	cerebral-cortex	glial-cells	Low	Enhanced
ETFB	2109	83.8882	79.929	80.6278	86.8726	61.1299	57.9075	cerebral-cortex	glial-cells	Low	Supported
ETFDH	2110	20.4973	17.3104	17.1638	17.3795	16.024	16.8184	NA	NA	NA	NA
ETHE1	23474	42.0207	42.9891	48.4662	47.217	46.3343	41.9534	cerebral-cortex	glial-cells	Low	Enhanced
ETNK1	55500	12.7072	12.2132	17.8648	15.7916	11.0943	10.6926	cerebral-cortex	glial-cells	Low	Approved
ETNK2	55224	12.0483	10.8544	9.14124	8.52891	7.01439	8.80672	NA	NA	NA	NA
ETS1	2113	26.5767	30.0365	43.8397	41.841	30.4798	29.2219	NA	NA	NA	NA
ETS2	2114	16.121	17.8923	11.2075	12.4608	9.22569	10.4133	NA	NA	NA	NA
ETV1	2115	1.38194	1.28519	2.07759	1.03144	1.76952	1.19437	NA	NA	NA	NA
ETV2	2116	0.829942	0.915616	0.680403	0.555182	1.06179	0.992424	NA	NA	NA	NA
ETV3	2117	5.2262	5.09195	5.34737	5.31329	5.53912	5.43856	NA	NA	NA	NA
ETV4	2118	4.2651	4.99071	6.20663	5.73089	4.54481	4.24383	cerebral-cortex	glial-cells	Medium	Approved
ETV5	2119	29.0214	28.1168	37.5069	35.3868	35.2465	30.9097	cerebral-cortex	glial-cells	High	Approved
ETV5-AS1	100873934	0.156294	0.169063	0.278347	0.400591	0.0819976	0.267799	NA	NA	NA	NA
ETV6	2120	12.1608	12.408	15.2374	23.5867	25.6296	9.70524	NA	NA	NA	NA
ETV7	51513	0.19942	0.0943015	0.832842	0.424238	0.783329	0.580984	NA	NA	NA	NA
EVA1A	84141	42.4901	44.5468	37.4196	34.5459	26.9382	23.5129	NA	NA	NA	NA
EVA1B	55194	63.371	61.9382	57.0126	54.7475	60.3614	55.3122	NA	NA	NA	NA
EVA1C	59271	1.368	1.46441	2.05089	1.38395	0.396817	0.524479	cerebral-cortex	glial-cells	Low	Enhanced
EVC	2121	15.7188	16.3187	18.2642	13.7872	15.9715	16.6425	NA	NA	NA	NA
EVC2	132884	1.44546	1.21704	1.13493	0.904819	0.941384	1.02484	NA	NA	NA	NA
EVI5	7813	26.3241	28.5521	35.6519	43.9207	19.334	21.0437	cerebral-cortex	glial-cells	High	Approved
EVI5L	115704	21.2182	20.0883	23.2363	22.7321	19.0019	18.0242	NA	NA	NA	NA
EVL	51466	23.5788	30.2847	24.7255	24.7076	25.6783	27.7358	NA	NA	NA	NA
EWSR1	2130	159.864	155.997	140.341	154.538	151.173	149.244	cerebral-cortex	glial-cells	Medium	Enhanced
EXD2	55218	9.68247	8.99994	10.5014	11.0681	9.58497	9.03066	NA	NA	NA	NA
EXD3	54932	3.92633	3.40632	5.03752	4.31915	4.19531	2.86987	NA	NA	NA	NA
EXO1	9156	1.26061	1.54871	0.920629	1.00117	3.62597	2.57544	NA	NA	NA	NA
EXO5	64789	8.54043	5.76165	9.54248	7.91973	6.78982	9.09948	NA	NA	NA	NA
EXOC1	55763	17.3635	18.726	23.2572	16.709	17.3142	17.745	NA	NA	NA	NA
EXOC2	55770	16.1503	18.9354	15.8483	15.7328	15.3055	14.7883	NA	NA	NA	NA
EXOC3	11336	18.6779	20.5113	18.6089	16.5833	18.539	17.4122	NA	NA	NA	NA
EXOC3L1	283849	0.285503	0.353624	0.344355	0.365458	0.541204	0.158251	NA	NA	NA	NA
EXOC3L2	90332	0.148622	0.181378	0.065946	0.167131	0.213325	0.361707	NA	NA	NA	NA
EXOC4	60412	43.7135	43.5538	36.1504	41.975	32.9769	38.534	cerebral-cortex	glial-cells	Low	Approved
EXOC5	10640	30.3478	28.2499	25.5372	30.6322	25.8964	28.1023	cerebral-cortex	glial-cells	Low	Approved
EXOC5P1	644548	1.37949	0.960817	1.32795	1.26022	1.26508	0.905828	NA	NA	NA	NA
EXOC6	54536	14.446	17.1622	9.14121	5.05013	8.37077	13.6074	cerebral-cortex	glial-cells	Medium	Approved
EXOC6B	23233	16.7463	12.4594	11.9872	13.258	10.5358	11.3167	NA	NA	NA	NA
EXOC7	23265	83.6481	83.7918	86.7115	81.9172	82.9942	80.1426	cerebral-cortex	glial-cells	Low	Supported
EXOC8	149371	3.78819	3.76632	3.60828	3.64114	3.43568	3.39415	cerebral-cortex	glial-cells	Medium	Approved
EXOG	9941	8.42801	8.81972	6.21485	6.48257	8.8822	8.77329	cerebral-cortex	glial-cells	Medium	Enhanced
EXOSC1	51013	44.1661	45.9264	48.974	43.5997	44.5415	44.184	NA	NA	NA	NA
EXOSC10	5394	30.8706	32.4396	35.3014	31.3305	42.1597	41.3777	cerebral-cortex	glial-cells	Low	Supported
EXOSC2	23404	15.1728	12.4748	13.1502	11.5924	15.0172	15.4187	cerebral-cortex	glial-cells	High	Approved
EXOSC3	51010	25.5466	23.4696	26.2704	27.5113	27.4801	30.4726	cerebral-cortex	glial-cells	High	Supported
EXOSC3P1	100151640	1.59472	1.72559	1.33927	0.601254	1.67379	1.60769	NA	NA	NA	NA
EXOSC5	56915	13.1143	13.201	8.45061	9.73377	8.98371	12.4532	cerebral-cortex	glial-cells	Low	Approved
EXOSC6	118460	5.40489	5.48417	4.85478	4.98661	7.02866	6.04715	NA	NA	NA	NA
EXOSC7	23016	45.2467	46.295	49.5186	38.2141	44.381	46.1326	NA	NA	NA	NA
EXOSC8	11340	17.4582	32.4866	27.5347	16.0397	21.6938	35.4408	NA	NA	NA	NA
EXOSC9	5393	18.0135	18.9115	15.3777	13.4484	20.1052	22.9194	cerebral-cortex	glial-cells	Medium	Approved
EXT1	2131	192.437	191.474	197.643	194.693	199.485	195.586	NA	NA	NA	NA
EXT2	2132	45.8847	50.8765	57.8736	54.072	54.3645	55.0244	NA	NA	NA	NA
EXTL1	2134	45.3438	43.4027	73.2993	75.1322	31.5885	31.9271	cerebral-cortex	glial-cells	Low	Approved
EXTL2	2135	30.1552	31.5998	41.5956	36.0805	27.8062	29.7239	cerebral-cortex	glial-cells	Low	Approved
EXTL3	2137	25.6761	25.9375	31.3071	26.8953	32.5718	29.2534	cerebral-cortex	glial-cells	Low	Approved
EXTL3-AS1	101929402	0.327658	0.432082	0.338712	0.400155	0.469406	0.287253	NA	NA	NA	NA
EYA3	2140	6.9499	7.0357	6.55371	7.02912	8.21323	7.39409	NA	NA	NA	NA
EYA4	2070	0.373161	0.264206	0.246838	0.0528037	0.193181	0.141149	cerebral-cortex	glial-cells	Low	Enhanced
EZH1	2145	5.90713	7.48039	8.07885	7.72332	7.13621	6.38461	cerebral-cortex	glial-cells	Medium	Supported
EZH2	2146	1.51312	1.73777	1.30295	0.97393	3.01451	3.75747	NA	NA	NA	NA
EZH2P1	266693	0.592488	0.961663	0	0	0.932334	1.69237	NA	NA	NA	NA
EZR	7430	33.2069	36.4227	39.3253	38.6594	36.3046	38.0785	cerebral-cortex	glial-cells	Medium	Enhanced
F10	2159	0.67016	0.590076	0.278207	0.341485	0.424072	0.597069	NA	NA	NA	NA
F11R	50848	2.04961	1.72145	10.5581	13.2483	1.42812	1.35767	NA	NA	NA	NA
F12	2161	1.13899	1.2005	2.75224	1.42583	1.5571	1.2121	NA	NA	NA	NA
F2R	2149	46.018	42.7103	57.4083	53.4172	51.4438	50.7643	NA	NA	NA	NA
F2RL1	2150	5.23682	4.49415	28.0502	25.0626	5.92859	6.19146	cerebral-cortex	glial-cells	Low	Approved
F2RL2	2151	57.0473	51.8873	69.1412	68.4927	69.8711	67.0968	NA	NA	NA	NA
F3	2152	74.8227	78.3551	130.104	113.067	93.2619	89.5175	NA	NA	NA	NA
FAAH	2166	0.535012	0.176602	0.537458	0.567874	0.484576	0.98679	cerebral-cortex	glial-cells	Medium	Approved
FABP3	2170	21.0611	18.0698	8.42928	8.53183	9.34002	8.88108	NA	NA	NA	NA
FABP4	2167	2.45421	1.57091	1.17117	0.699208	0.476351	0.225637	NA	NA	NA	NA
FABP5	2171	7.12095	6.36525	5.75563	5.38278	6.65436	8.06151	NA	NA	NA	NA
FABP6	2172	0.0987367	0.131326	0	1.05323	0.36956	0.268212	NA	NA	NA	NA
FADD	8772	17.5268	16.3164	18.3492	17.1113	17.7277	18.0846	cerebral-cortex	glial-cells	Low	Supported
FADS1	3992	22.6942	20.7998	15.6401	14.8846	21.4589	20.4887	cerebral-cortex	glial-cells	Medium	Approved
FADS2	9415	62.2737	58.863	34.0798	31.3846	59.7596	63.6155	cerebral-cortex	glial-cells	Low	Approved
FADS3	3995	118.192	118.354	104.947	105.821	143.157	130.472	NA	NA	NA	NA
FAF1	11124	18.3311	18.5006	16.6946	14.6795	20.0644	19.7068	NA	NA	NA	NA
FAF2	23197	27.2223	26.5804	27.4419	26.3293	25.0177	25.6772	NA	NA	NA	NA
FAH	2184	39.8546	37.7922	32.0082	31.5987	31.8759	32.522	NA	NA	NA	NA
FAHD1	81889	12.9483	11.6543	14.7728	15.9013	25.0943	23.8937	NA	NA	NA	NA
FAHD2A	51011	11.089	7.43372	13.0665	14.637	8.75867	10.8164	cerebral-cortex	glial-cells	Medium	Enhanced
FAHD2B	151313	1.67404	1.70223	2.28926	2.05224	2.0719	1.90428	cerebral-cortex	glial-cells	Medium	Approved
FAHD2CP	729234	1.31729	1.50906	0.967047	1.52207	1.41308	0.803573	NA	NA	NA	NA
FAIM	55179	9.56759	9.69427	3.85767	5.86518	9.01553	10.7236	NA	NA	NA	NA
FAIM2	23017	0.757978	2.46139	0.285844	0.0848535	0.644476	0.655485	cerebral-cortex	glial-cells	Low	Enhanced
FAM102A	399665	14.2477	10.9896	11.9066	9.64926	12.5387	7.25108	NA	NA	NA	NA
FAM102B	284611	1.27846	0.884624	0.774014	0.722371	0.928057	0.959808	NA	NA	NA	NA
FAM104A	84923	23.982	22.1888	25.1685	24.0707	24.8519	27.1002	NA	NA	NA	NA
FAM104B	90736	6.24658	7.42289	8.28852	8.70485	7.14721	7.96328	cerebral-cortex	glial-cells	Medium	Approved
FAM107B	83641	40.1869	41.5297	25.3749	24.1155	46.0143	42.8049	NA	NA	NA	NA
FAM110A	83541	1.35928	1.3901	1.52243	1.67829	1.76247	1.53416	NA	NA	NA	NA
FAM110B	90362	2.18314	1.23127	1.97515	2.50086	1.09613	0.896101	NA	NA	NA	NA
FAM111A	63901	6.23578	7.17425	9.97215	10.7182	9.32547	7.09549	cerebral-cortex	glial-cells	Low	Approved
FAM111B	374393	0.387794	0.244337	0.0840984	0	0.796454	0.960826	NA	NA	NA	NA
FAM114A1	92689	110.674	119.431	91.6912	85.4497	96.7737	97.8742	NA	NA	NA	NA
FAM114A2	10827	20.6435	25.2995	20.9857	23.8504	21.2508	26.6612	cerebral-cortex	glial-cells	Medium	Approved
FAM117A	81558	1.03988	1.14056	2.65763	2.23375	1.93222	2.1135	cerebral-cortex	glial-cells	Medium	Approved
FAM117B	150864	0.196247	0.163386	0.385651	0.451538	0.232444	0.218772	NA	NA	NA	NA
FAM118A	55007	17.2166	14.2688	16.5227	16.9741	39.6385	39.3398	NA	NA	NA	NA
FAM118B	79607	13.8688	17.5614	18.7234	17.1583	16.2348	14.8406	cerebral-cortex	glial-cells	High	Approved
FAM120A	23196	53.6301	57.6067	54.1816	49.4184	50.2594	55.2868	cerebral-cortex	glial-cells	Medium	Approved
FAM120AOS	158293	12.9474	13.0968	14.8796	15.223	14.148	15.9614	NA	NA	NA	NA
FAM120B	84498	17.3356	16.3631	13.6537	13.5391	13.2686	13.9815	NA	NA	NA	NA
FAM122A	116224	4.272	4.29678	4.00869	4.21411	3.8612	3.72813	cerebral-cortex	glial-cells	Medium	Approved
FAM122B	159090	7.15534	7.11296	6.53108	7.82246	7.42593	5.41077	cerebral-cortex	glial-cells	Medium	Enhanced
FAM122C	159091	1.01099	0.80568	0.784802	0.929305	1.43477	0.531463	NA	NA	NA	NA
FAM126A	84668	31.4579	41.2275	31.9698	31.6599	38.5059	37.5132	NA	NA	NA	NA
FAM126B	285172	2.3066	2.60489	2.47371	2.40795	3.01477	2.91161	NA	NA	NA	NA
FAM131A	131408	6.02641	3.90183	4.94169	5.23921	4.1247	3.43858	NA	NA	NA	NA
FAM131B	9715	6.38698	6.48391	6.34357	6.32052	5.20427	4.96739	NA	NA	NA	NA
FAM131C	348487	0.258288	0.182804	0.132847	0.24673	0.0675299	0.107199	NA	NA	NA	NA
FAM133B	257415	4.83564	5.84157	8.42267	9.57679	18.8637	10.577	NA	NA	NA	NA
FAM133CP	728640	0.83622	0.482582	1.45304	0.571705	0.936285	0.636949	NA	NA	NA	NA
FAM133DP	728066	0.457821	0.185771	0.339057	0.293439	0.180212	0.130771	NA	NA	NA	NA
FAM135A	57579	1.80349	1.40028	1.61536	1.72283	1.52048	1.47087	cerebral-cortex	glial-cells	Medium	Approved
FAM136A	84908	16.9944	17.6403	16.4534	15.6169	19.4304	17.8125	cerebral-cortex	glial-cells	Medium	Enhanced
FAM13A	10144	5.42839	6.3395	3.85267	3.51111	4.575	4.66723	NA	NA	NA	NA
FAM13A-AS1	285512	0.136743	0.200628	0.114577	0.285438	0.211745	0.330474	NA	NA	NA	NA
FAM13B	51306	12.4879	11.4804	12.8725	14.1928	12.0933	12.2583	NA	NA	NA	NA
FAM13C	220965	0.182344	0.668431	0.2423	0.431783	0.169321	0.500149	NA	NA	NA	NA
FAM149A	25854	0.742485	0.349621	0.318375	1.02178	0.314066	0.275557	NA	NA	NA	NA
FAM149B1	317662	8.30231	7.61529	9.00115	8.26415	10.0056	9.42426	NA	NA	NA	NA
FAM149B1P1	388181	0.278555	0.301414	0.28176	0.331573	0.31331	0.29553	NA	NA	NA	NA
FAM151B	167555	1.214	1.10723	1.23678	1.5183	1.17736	1.14612	NA	NA	NA	NA
FAM155A	728215	3.30197	2.82317	3.23642	3.34455	2.0655	2.33592	NA	NA	NA	NA
