	reactionIdentifier	lineWidth	color
353	r_NAGA2ly	3	#FF0000
354	r_NAGLCAly	3	#FF0000
355	r_S6TASE22ly	3	#FF0000
356	r_S6TASE23ly	3	#FF0000
357	r_S6TASE24ly	3	#FF0000
358	r_S6TASE25ly	3	#FF0000
359	r_S6TASE26ly	3	#FF0000
360	r_SIAASE3ly	3	#FF0000
361	r_SIAASE4ly	3	#FF0000
362	r_GALASE7ly	3	#FF0000
363	r_NACHEX13ly	3	#FF0000
364	r_S6TASE15ly	3	#FF0000
370	r_GALASE12ly	3	#FF0000
371	r_NACHEX18ly	3	#FF0000
372	r_S6TASE19ly	3	#FF0000
376	r_S6TASE20ly	3	#FF0000
377	r_GALASE10ly	3	#FF0000
378	r_NACHEX16ly	3	#FF0000
379	r_S6TASE18ly	3	#FF0000
380	r_NACHEX21ly	3	#FF0000
381	r_S6TASE21ly	3	#FF0000
382	r_ENGASE3ly	3	#FF0000
383	r_GASNASE3ly	3	#FF0000
384	r_SIAASE2ly	3	#FF0000
385	r_NACHEX22ly	3	#FF0000
