del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
DESAT18_6	49.628672909267	50.5452657088454	27.6029055690073	39.94534640733	87.994829536274	53.5800872797802	48.2408005164622	49.0459249676585	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	fatty acid synthesis & elongation	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
ASPGLUTRPt	48.4501130125928	63.891293058681	92.5262308313156	57.0487059958206	87.9786718371304	51.6405366090189	57.2788896061975	57.6487710219922	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
7DHCHSTEROLtd	48.3532450758799	58.7848364202873	91.8966908797417	38.4664844880244	87.8009371465503	40.4719573298852	43.8185926404132	48.8033635187581	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
THMDt2r	48.159509202454	7.25289942876926	78.6924939467312	NA	19.4215543706576	99.6120898658477	13.6378308586185	36.7723156532988	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental
DOPAtu	47.7558927994834	59.3041370953782	80.3551251008878	31.5865616460376	84.6825012118274	97.2199773719088	1.80761781794706	25.6630012936611	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
DHCHOLESTANATEt	47.7397481433645	73.1348450752986	67.0217917675545	36.0392219900338	85.7650670544514	46.3714239534508	33.2149774047773	44.7768434670116	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
CYTDt2r	47.4491443332257	8.65501125151463	82.6150121065375	36.441086642019	17.0948456939732	99.5636010990787	13.2989025177534	35.4463130659767	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
THRPHEARGt	47.3199870842751	72.5289942876926	29.8143664245359	45.298183571773	86.2336403296171	50.6545983513819	44.2220787604906	50.7438551099612	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
ASPLYSGLUt	47.0293832741363	79.8338237839709	25.5690072639225	55.1036810802122	88.4149297140087	42.8155810570551	58.0213040671401	60.009702457956	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
r1106	46.4320309977398	19.4737753159079	90.1533494753834	7.2174891496544	43.3995798998223	96.9290447712946	49.5480955455132	57.8589909443726	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
