SYMBOL	ENTREZID	Bipolar disorder 1a BD1a_NA	Bipolar disorder 1b BD1b_NA	Bipolar disorder 5a BD5a_NA	Bipolar disorder 5b BD5b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
DHX40	79665	12.9706	10.7327	8.97071	10.6127	NA	NA	NA	NA
DHX57	90957	11.2709	14.2039	11.7624	10.0839	NA	NA	NA	NA
DHX8	1659	20.4826	23.8921	21.8507	20.178	cerebral-cortex	glial-cells	Medium	Approved
DHX9	1660	54.9577	53.3467	51.2766	51.3122	cerebral-cortex	glial-cells	High	Supported
DHX9P1	1661	1.86045	2.04954	2.06894	2.19023	NA	NA	NA	NA
DIABLO	56616	53.9984	57.8874	58.764	52.6112	cerebral-cortex	glial-cells	Medium	Supported
DIAPH1	1729	25.6922	25.9443	31.0877	25.5312	cerebral-cortex	glial-cells	Low	Approved
DIAPH2	1730	1.36144	1.48747	0.985087	1.38696	cerebral-cortex	glial-cells	Low	Enhanced
DIAPH3	81624	12.6948	11.4162	12.2516	16.541	NA	NA	NA	NA
DICER1	23405	21.8295	25.3231	15.2006	24.3197	NA	NA	NA	NA
DICER1-AS1	400242	0.313779	0.463434	0.430177	0.805284	NA	NA	NA	NA
DIDO1	11083	11.6979	12.6603	12.7648	11.9993	cerebral-cortex	glial-cells	High	Supported
DIMT1	27292	25.8992	23.8217	24.2626	20.047	cerebral-cortex	glial-cells	Medium	Approved
DIO2	1734	0.387516	0.372227	0.824241	0.731654	NA	NA	NA	NA
DIP2A	23181	8.33576	9.97639	10.2114	11.0895	NA	NA	NA	NA
DIP2A-IT1	100862692	0	0.14852	0.163844	0.147617	NA	NA	NA	NA
DIP2B	57609	7.83099	8.47489	10.0731	9.5055	NA	NA	NA	NA
DIP2C	22982	13.6108	13.8746	13.9632	16.7463	cerebral-cortex	glial-cells	Low	Enhanced
DIRAS1	148252	2.78898	3.04004	2.66449	2.3784	NA	NA	NA	NA
DIRAS3	9077	1.39872	2.00441	0.54673	0.653629	cerebral-cortex	glial-cells	Low	Approved
DIRC3	729582	0.668517	0.909092	0.532366	0.53785	NA	NA	NA	NA
DIS3	22894	29.953	29.3647	22.5387	29.3278	cerebral-cortex	glial-cells	Medium	Approved
DIS3L	115752	3.26706	3.4056	4.83321	6.28419	NA	NA	NA	NA
DIS3L2	129563	10.2571	7.60585	10.6525	9.57486	NA	NA	NA	NA
DISC1	27185	1.61887	1.50353	1.01555	1.07088	NA	NA	NA	NA
DISP1	84976	1.60385	1.6713	1.73659	1.48909	NA	NA	NA	NA
DISP2	85455	0.891504	1.70983	2.79189	1.87456	NA	NA	NA	NA
DKK1	22943	90.1071	77.1467	92.6172	83.1721	NA	NA	NA	NA
DKK2	27123	7.82153	8.9956	26.6885	32.4776	NA	NA	NA	NA
DKK3	27122	958.455	945.263	1321.66	1212.31	cerebral-cortex	glial-cells	Low	Approved
DKKL1	27120	0.132689	0.534638	0.90759	0.224118	NA	NA	NA	NA
DLC1	10395	66.216	69.5077	64.9765	67.3843	NA	NA	NA	NA
DLD	1738	36.8918	35.8641	27.0679	30.0363	cerebral-cortex	glial-cells	Medium	Supported
DLEU1	10301	3.71666	4.0062	4.52908	3.83379	NA	NA	NA	NA
DLEU2	8847	0.144201	0.0315912	0.0736299	0.0628453	NA	NA	NA	NA
DLEU2L	79469	0.183762	0.13423	0	0.0938909	NA	NA	NA	NA
DLG1	1739	106.252	108.396	77.4671	100.235	cerebral-cortex	glial-cells	Low	Supported
DLG2	1740	0.209218	0.457037	0.126457	0.142432	NA	NA	NA	NA
DLG3	1741	6.31487	7.00951	10.6227	8.00097	NA	NA	NA	NA
DLG4	1742	14.0088	17.7758	15.439	14.1122	NA	NA	NA	NA
DLG5	9231	15.3501	23.3466	37.9479	24.2243	NA	NA	NA	NA
DLG5-AS1	100128292	0.107546	0.706961	1.30033	1.40585	NA	NA	NA	NA
DLGAP1	9229	0	0.0570646	0.0748164	0.122987	NA	NA	NA	NA
DLGAP1-AS1	649446	6.63354	6.34642	2.66465	6.49858	NA	NA	NA	NA
DLGAP1-AS2	84777	1.13441	0.870246	1.41271	1.76372	NA	NA	NA	NA
DLGAP4	22839	78.4276	86.3334	103.464	83.6461	cerebral-cortex	glial-cells	Low	Approved
DLGAP5	9787	3.82507	3.36552	0.673969	0.72994	NA	NA	NA	NA
DLK1	8788	0.0273751	0.381912	1.59962	1.90621	NA	NA	NA	NA
DLK2	65989	0.186455	0.222423	0.434982	0.583295	NA	NA	NA	NA
DLL3	10683	0.646759	0.521438	0.751281	0.63865	NA	NA	NA	NA
DLST	1743	45.3045	46.7028	47.2842	43.0551	cerebral-cortex	glial-cells	Low	Supported
DLX1	1745	18.8476	20.3973	11.2802	13.7194	cerebral-cortex	glial-cells	Low	Approved
DLX2	1746	5.27361	4.75704	2.45973	2.79035	NA	NA	NA	NA
DMAP1	55929	17.3698	18.4855	16.3553	24.9702	NA	NA	NA	NA
DMD	1756	20.6517	20.0796	20.0826	30.6347	NA	NA	NA	NA
DMGDH	29958	0.681848	0.0819654	0.576287	0.695959	NA	NA	NA	NA
DMKN	93099	0.522564	0.878467	0.437082	0.220097	NA	NA	NA	NA
DMPK	1760	89.9222	131.265	61.5735	74.7642	cerebral-cortex	glial-cells	Low	Enhanced
DMRTA1	63951	0.177518	0.232075	0.429374	0.636428	NA	NA	NA	NA
DMTF1	9988	78.4288	86.4398	65.302	95.0748	cerebral-cortex	glial-cells	Medium	Supported
DMTN	2039	0.5538	0.415723	0.639374	0.968689	NA	NA	NA	NA
DMWD	1762	16.9593	24.3808	22.7638	22.1961	cerebral-cortex	glial-cells	Medium	Approved
DMXL1	1657	9.83758	10.0385	6.90506	9.81179	cerebral-cortex	glial-cells	Low	Approved
DMXL2	23312	14.2986	14.4644	2.93522	11.6078	cerebral-cortex	glial-cells	Low	Approved
DNA2	1763	1.73358	3.10831	2.5138	1.33031	cerebral-cortex	glial-cells	Medium	Approved
DNAAF1	123872	0.0136576	0.0579747	0	0	NA	NA	NA	NA
DNAAF2	55172	3.48459	3.2933	3.65679	3.97158	cerebral-cortex	glial-cells	Low	Enhanced
DNAAF3	352909	0.291841	0.464789	0.443709	0.368718	NA	NA	NA	NA
DNAH1	25981	1.48928	2.84048	2.66019	1.32021	NA	NA	NA	NA
DNAH10	196385	1.70257	0.842354	2.12527	1.53948	NA	NA	NA	NA
DNAH10OS	642797	0.907836	0.848735	1.0755	1.19172	cerebral-cortex	glial-cells	Medium	Enhanced
DNAH11	8701	0.30122	0.21138	0.450754	0.504147	NA	NA	NA	NA
DNAH12	201625	0.215185	0.603507	0.15525	0.330631	NA	NA	NA	NA
DNAH14	127602	5.1066	5.63019	3.57539	5.90186	NA	NA	NA	NA
DNAH17	8632	0.361053	0.780347	0.298425	1.00649	NA	NA	NA	NA
DNAH5	1767	0.960435	0.877336	0.560126	0.409704	NA	NA	NA	NA
DNAH7	56171	0.0885273	0.0939536	0.103837	0.124407	NA	NA	NA	NA
DNAJA1	3301	141.4	132.717	109.522	112.834	cerebral-cortex	glial-cells	Low	Approved
DNAJA1P3	644588	1.20747	1.08525	0.898585	1.11318	NA	NA	NA	NA
DNAJA2	10294	39.4176	34.7277	36.0712	33.0967	NA	NA	NA	NA
DNAJA3	9093	36.1322	26.9523	30.2292	23.3705	cerebral-cortex	glial-cells	Low	Approved
DNAJA4	55466	0.861641	0.935487	0.797645	0.977995	NA	NA	NA	NA
DNAJB1	3337	64.4501	62.0915	57.7284	48.2635	cerebral-cortex	glial-cells	Medium	Enhanced
DNAJB11	51726	162.321	145.463	154.252	144.398	cerebral-cortex	glial-cells	Low	Supported
DNAJB12	54788	14.9774	16.2958	15.0399	13.93	cerebral-cortex	glial-cells	Medium	Approved
DNAJB13	374407	0.239843	0.368501	0.46787	0.387251	NA	NA	NA	NA
DNAJB14	79982	13.3596	13.147	7.19208	13.6326	cerebral-cortex	glial-cells	Low	Approved
DNAJB2	3300	31.7821	38.2023	35.8592	30.4559	cerebral-cortex	glial-cells	Medium	Approved
DNAJB4	11080	81.3553	82.2472	51.6969	71.7946	cerebral-cortex	glial-cells	Low	Approved
DNAJB5	25822	11.1012	12.2495	8.49012	11.0209	cerebral-cortex	glial-cells	Medium	Approved
DNAJB6	10049	104.292	98.8956	106.214	97.8684	cerebral-cortex	glial-cells	Low	Supported
DNAJB9	4189	22.1899	18.1413	18.5531	16.231	cerebral-cortex	glial-cells	Low	Supported
DNAJC1	64215	25.2302	25.004	19.715	22.0903	cerebral-cortex	glial-cells	High	Approved
DNAJC10	54431	61.3869	58.7456	53.6619	67.6285	cerebral-cortex	glial-cells	Low	Approved
DNAJC11	55735	34.5487	29.8228	28.364	28.2137	NA	NA	NA	NA
DNAJC12	56521	2.47646	1.56804	1.1027	1.57423	NA	NA	NA	NA
DNAJC13	23317	16.0409	16.6749	9.7552	15.7485	cerebral-cortex	glial-cells	Low	Approved
DNAJC14	85406	13.7404	11.6909	13.5441	13.3608	cerebral-cortex	glial-cells	Low	Approved
DNAJC15	29103	18.1779	15.1141	15.5896	14.2463	NA	NA	NA	NA
DNAJC16	23341	9.45772	10.2479	9.15624	10.0839	NA	NA	NA	NA
DNAJC17	55192	12.2416	9.60579	11.7866	10.0645	cerebral-cortex	glial-cells	Low	Approved
DNAJC18	202052	22.7436	18.719	20.8965	16.8447	NA	NA	NA	NA
DNAJC19	131118	10.0888	8.61158	10.9744	11.1217	cerebral-cortex	glial-cells	Medium	Approved
DNAJC19P5	100861453	0.262781	0.287432	0	0.285588	NA	NA	NA	NA
DNAJC19P9	644589	6.53299	10.2913	7.15688	6.6704	NA	NA	NA	NA
DNAJC2	27000	21.4983	17.6791	11.0425	18.2835	cerebral-cortex	glial-cells	Medium	Approved
DNAJC21	134218	24.5132	23.7613	18.6452	23.662	cerebral-cortex	glial-cells	Low	Approved
DNAJC22	79962	0.528421	1.03741	1.693	1.71065	NA	NA	NA	NA
DNAJC24	120526	19.0261	13.3224	8.41038	11.6816	NA	NA	NA	NA
DNAJC25	548645	6.77891	6.28365	5.43566	5.85066	cerebral-cortex	glial-cells	Low	Approved
DNAJC25-GNG10	552891	0.70095	0.55606	0.672319	0.776087	NA	NA	NA	NA
DNAJC27	51277	1.3244	1.6083	1.2078	1.87654	NA	NA	NA	NA
DNAJC27-AS1	729723	0.989475	1.03515	2.33744	1.78324	NA	NA	NA	NA
DNAJC3	5611	16.5421	14.4426	13.7485	14.8941	NA	NA	NA	NA
DNAJC4	3338	24.6145	32.061	44.2361	47.7362	NA	NA	NA	NA
DNAJC5	80331	24.73	27.8143	26.5704	22.6829	NA	NA	NA	NA
DNAJC6	9829	7.23067	4.86539	1.57823	1.58293	NA	NA	NA	NA
DNAJC8	22826	62.7658	53.5348	51.4084	46.894	NA	NA	NA	NA
DNAJC8P1	319111	5.38842	7.87272	7.16542	4.69509	NA	NA	NA	NA
DNAJC9	23234	5.85535	6.12638	5.56956	5.28894	cerebral-cortex	glial-cells	Low	Supported
DNAL1	83544	11.1634	8.19117	8.77941	6.87344	cerebral-cortex	glial-cells	Medium	Approved
DNAL4	10126	7.18686	7.87557	8.86371	7.79929	NA	NA	NA	NA
DNALI1	7802	6.76357	7.80961	5.69029	5.43995	NA	NA	NA	NA
DNASE1	1773	5.02235	5.85007	6.37727	6.96533	NA	NA	NA	NA
DNASE1L2	1775	0.223401	0.343617	0.33793	0.437977	NA	NA	NA	NA
DNASE2	1777	21.609	20.4487	22.5609	18.8845	NA	NA	NA	NA
DNER	92737	1.18579	0.968629	0.315979	0.229936	NA	NA	NA	NA
DNHD1	144132	2.19622	3.84609	2.2562	3.72455	NA	NA	NA	NA
DNLZ	728489	9.65435	9.87098	11.3406	9.8558	NA	NA	NA	NA
DNM1	1759	15.6679	21.1842	25.9331	29.7929	NA	NA	NA	NA
DNM1L	10059	45.0767	51.3133	36.1342	54.0505	cerebral-cortex	glial-cells	High	Supported
DNM1P46	196968	0.315114	0.346152	0.163685	0.245852	NA	NA	NA	NA
DNM1P51	109729113	0.478055	1.03621	0.029616	0.208292	NA	NA	NA	NA
DNM2	1785	58.1035	65.907	72.8802	66.3991	cerebral-cortex	glial-cells	Low	Supported
DNM3	26052	2.99948	2.68091	0.470608	1.04955	NA	NA	NA	NA
DNM3OS	100628315	14.9998	10.3738	2.12782	2.82997	NA	NA	NA	NA
DNMBP	23268	7.45775	8.24555	11.9912	9.56897	NA	NA	NA	NA
DNMT1	1786	32.3769	27.9189	24.0212	25.2409	NA	NA	NA	NA
DNMT3A	1788	2.90317	4.07799	7.29883	6.02358	cerebral-cortex	glial-cells	Medium	Approved
DNMT3B	1789	0.904952	1.03322	1.17792	1.05638	NA	NA	NA	NA
DNPEP	23549	37.1691	37.2828	44.9692	34.5959	cerebral-cortex	glial-cells	High	Enhanced
DNPH1	10591	20.4819	20.5662	22.1224	19.1144	cerebral-cortex	glial-cells	Low	Enhanced
DNTTIP1	116092	22.0795	19.7732	22.5418	19.6435	NA	NA	NA	NA
DNTTIP2	30836	37.8194	32.3985	23.4124	34.3456	NA	NA	NA	NA
DOC2GP	390213	0	0.0350074	0.544276	0.843783	NA	NA	NA	NA
DOCK1	1793	19.4095	18.3924	18.5047	18.1064	cerebral-cortex	glial-cells	Low	Approved
DOCK10	55619	27.6521	24.7102	16.1566	18.6496	cerebral-cortex	glial-cells	Medium	Enhanced
DOCK11	139818	1.4645	1.3627	0.879608	1.87175	NA	NA	NA	NA
DOCK2	1794	3.35538	2.5486	1.23017	1.19526	NA	NA	NA	NA
DOCK4	9732	1.38393	1.08415	5.34125	5.18084	NA	NA	NA	NA
DOCK5	80005	17.0471	13.4886	17.5058	19.6172	NA	NA	NA	NA
DOCK6	57572	7.32146	11.1545	11.8919	12.3202	cerebral-cortex	glial-cells	Low	Approved
DOCK7	85440	18.2331	14.9665	15.0289	18.6249	NA	NA	NA	NA
DOCK9	23348	7.77919	7.79885	14.1906	12.7182	NA	NA	NA	NA
DOHH	83475	9.13982	11.2427	12.3229	9.14428	cerebral-cortex	glial-cells	Medium	Approved
DOK1	1796	13.4816	16.3312	26.9902	26.9134	NA	NA	NA	NA
DOK3	79930	4.39507	5.46445	3.98323	4.22609	NA	NA	NA	NA
DOK4	55715	9.02471	11.8592	15.1598	12.4102	NA	NA	NA	NA
DOK5	55816	0.172033	0	0.178169	0.240914	NA	NA	NA	NA
DOK6	220164	3.93672	2.30283	0.281163	0.0655296	NA	NA	NA	NA
DOLK	22845	11.6683	13.2623	17.8898	14.203	NA	NA	NA	NA
DOLPP1	57171	19.8545	18.8861	20.5544	15.2115	NA	NA	NA	NA
DONSON	29980	10.26	14.2901	10.0263	12.4467	NA	NA	NA	NA
DOT1L	84444	9.27316	13.6516	11.3382	10.0057	NA	NA	NA	NA
DPAGT1	1798	33.2137	35.3864	41.0988	33.0164	cerebral-cortex	glial-cells	Low	Approved
DPCD	25911	31.8108	34.1129	28.1864	28.8221	NA	NA	NA	NA
DPF1	8193	1.76065	2.91286	2.54216	1.42549	NA	NA	NA	NA
DPF2	5977	37.393	37.2272	49.5525	41.4841	NA	NA	NA	NA
DPF3	8110	3.879	4.17989	3.86078	2.69844	NA	NA	NA	NA
DPH1	1801	22.2979	25.5215	21.0501	22.3506	cerebral-cortex	glial-cells	High	Approved
DPH2	1802	15.2748	21.6538	22.3912	15.9827	NA	NA	NA	NA
DPH3	285381	26.784	22.1782	19.6133	19.5596	NA	NA	NA	NA
DPH3P1	100132911	4.41953	3.89929	2.38837	4.58794	NA	NA	NA	NA
DPH5	51611	22.0999	19.3377	20.2942	20.1553	NA	NA	NA	NA
DPH6	89978	4.67093	4.83826	6.41054	4.29142	cerebral-cortex	glial-cells	Low	Approved
DPH7	92715	12.2021	16.2791	16.7754	16.6565	NA	NA	NA	NA
DPM1	8813	42.2319	38.6813	29.9933	34.5205	cerebral-cortex	glial-cells	Low	Approved
DPM2	8818	24.3863	23.6879	24.3603	22.6298	NA	NA	NA	NA
DPM3	54344	27.6157	33.2312	25.9864	28.2545	cerebral-cortex	glial-cells	Medium	Approved
DPP3	10072	48.0108	61.5413	71.7955	53.0814	NA	NA	NA	NA
DPP4	1803	0.626512	0.70413	2.57224	2.13414	NA	NA	NA	NA
DPP7	29952	29.803	35.3375	47.0086	47.1476	cerebral-cortex	glial-cells	Low	Supported
DPP8	54878	16.2989	17.0012	15.7261	15.1472	cerebral-cortex	glial-cells	Medium	Approved
DPP9	91039	30.582	33.7264	42.8703	34.5441	NA	NA	NA	NA
DPPA4	55211	0.737614	0.828919	0.0726149	0.189567	NA	NA	NA	NA
DPY19L1	23333	8.45134	9.23728	11.5646	9.11686	NA	NA	NA	NA
DPY19L1P1	100129460	0.137217	0.198759	0.15207	0.181105	NA	NA	NA	NA
DPY19L2	283417	0.889352	0.601169	0.558803	0.235626	NA	NA	NA	NA
DPY19L2P1	554236	0.503164	0.580079	0.111547	0.216683	NA	NA	NA	NA
DPY19L2P3	442524	0.192681	0.302207	0.165148	0.302612	NA	NA	NA	NA
DPY19L3	147991	27.5866	28.7188	21.7194	24.1505	cerebral-cortex	glial-cells	Medium	Approved
DPY19L4	286148	33.2316	31.1616	33.9882	41.1122	NA	NA	NA	NA
DPY30	84661	28.935	28.646	31.4588	34.1913	cerebral-cortex	glial-cells	Low	Supported
DPYD	1806	1.66028	1.3915	2.02172	2.20209	NA	NA	NA	NA
DPYSL2	1808	19.6179	20.6943	23.8986	23.7824	NA	NA	NA	NA
DPYSL3	1809	102.769	124.222	340.976	313.123	NA	NA	NA	NA
DPYSL4	10570	10.9066	12.4582	9.78473	7.79448	cerebral-cortex	glial-cells	Low	Approved
DR1	1810	30.1861	27.3752	28.0144	26.402	cerebral-cortex	glial-cells	Medium	Enhanced
DRAM1	55332	34.8804	29.8851	13.873	14.5247	NA	NA	NA	NA
DRAM2	128338	34.1761	30.9209	28.5727	29.3742	cerebral-cortex	glial-cells	Low	Supported
DRAP1	10589	224.471	212.521	254.409	207.663	NA	NA	NA	NA
DRC1	92749	0.324241	0.115561	0.195727	0.0292529	NA	NA	NA	NA
DRD4	1815	0.104746	0.209939	0.326775	0.416823	NA	NA	NA	NA
DRG1	4733	98.3813	83.6521	88.1437	75.1313	cerebral-cortex	glial-cells	Medium	Enhanced
DRG2	1819	18.7103	21.1318	28.2797	19.3977	cerebral-cortex	glial-cells	Medium	Approved
DROSHA	29102	64.1472	58.5431	66.6953	58.4348	NA	NA	NA	NA
DRP2	1821	4.90594	6.0917	7.05832	6.62827	NA	NA	NA	NA
DSC2	1824	0.019938	0.0291188	0.724997	1.00133	NA	NA	NA	NA
DSC3	1825	0.391024	0.285615	40.6102	42.0441	NA	NA	NA	NA
DSCC1	79075	0.795567	0.621493	0.316697	0.412145	NA	NA	NA	NA
DSE	29940	27.2103	27.8654	22.5647	24.586	NA	NA	NA	NA
DSG2	1829	45.2333	43.1097	65.803	75.4234	NA	NA	NA	NA
DSN1	79980	4.92454	4.54996	4.0933	3.83032	cerebral-cortex	glial-cells	Low	Enhanced
DSP	1832	156.418	152.923	77.9181	97.1919	NA	NA	NA	NA
DST	667	43.1845	63.6481	27.5239	56.7201	NA	NA	NA	NA
DSTN	11034	828.63	720.821	763.071	813.412	cerebral-cortex	glial-cells	Low	Approved
DSTNP1	387492	7.68999	6.89339	3.94459	6.60011	NA	NA	NA	NA
DSTNP4	729454	4.18936	3.14044	3.33243	5.044	NA	NA	NA	NA
DSTYK	25778	6.13282	6.17421	6.28876	6.26356	NA	NA	NA	NA
DTD1	92675	24.9813	22.6501	27.222	21.9754	NA	NA	NA	NA
DTD2	112487	7.58151	7.57983	10.8047	12.151	cerebral-cortex	glial-cells	Low	Approved
DTL	51514	1.15774	1.91262	0.525039	0.839443	NA	NA	NA	NA
DTNA	1837	4.56803	5.72665	5.78412	6.20276	cerebral-cortex	glial-cells	Low	Enhanced
DTNB	1838	1.77564	2.54299	3.15066	2.16345	NA	NA	NA	NA
DTNBP1	84062	4.83665	6.70466	7.32665	8.7223	NA	NA	NA	NA
DTWD1	56986	13.4783	10.8096	9.10768	12.8301	NA	NA	NA	NA
DTWD2	285605	1.50262	1.05333	0.984115	1.19274	NA	NA	NA	NA
DTX1	1840	0.0571739	0.0455872	0.0457004	0.168612	cerebral-cortex	glial-cells	Medium	Approved
DTX2	113878	3.61884	5.51128	6.13125	5.33808	NA	NA	NA	NA
DTX2P1	107161144	0.219168	0.399908	0.271389	0.300679	NA	NA	NA	NA
DTX3	196403	8.35025	10.2972	11.9867	12.6992	NA	NA	NA	NA
DTX3L	151636	2.92078	3.95418	3.06654	3.11823	NA	NA	NA	NA
DTX4	23220	3.48638	2.3368	1.13625	0.599764	NA	NA	NA	NA
DTYMK	1841	18.6242	22.2146	24.9856	19.5635	cerebral-cortex	glial-cells	Low	Approved
DUOX1	53905	1.37171	0.888741	0.337425	0.374533	NA	NA	NA	NA
DUS1L	64118	44.879	48.9585	47.1954	44.7576	NA	NA	NA	NA
DUS2	54920	7.31646	7.03666	7.2737	7.1733	NA	NA	NA	NA
DUS3L	56931	10.7962	15.5801	12.2008	10.4453	NA	NA	NA	NA
DUS4L	11062	3.26738	1.9506	2.38485	3.719	cerebral-cortex	glial-cells	Medium	Approved
DUSP1	1843	84.581	89.9609	127.686	107.173	NA	NA	NA	NA
DUSP10	11221	4.24963	4.73141	7.30568	7.04602	cerebral-cortex	glial-cells	Medium	Approved
DUSP11	8446	19.1445	18.025	18.928	20.6627	NA	NA	NA	NA
DUSP12	11266	26.6905	24.5825	23.7241	22.5726	NA	NA	NA	NA
DUSP14	11072	44.7563	40.6847	44.9423	42.874	NA	NA	NA	NA
DUSP16	80824	6.87988	5.49646	5.73351	5.22496	cerebral-cortex	glial-cells	Low	Approved
DUSP18	150290	2.94622	3.00294	3.13052	3.26569	NA	NA	NA	NA
DUSP19	142679	0.504724	0.451569	0.370479	0.302777	NA	NA	NA	NA
DUSP2	1844	1.32315	1.29079	0.130726	0.175753	NA	NA	NA	NA
DUSP22	56940	12.8015	8.66617	13.8996	11.6233	cerebral-cortex	glial-cells	Medium	Approved
DUSP23	54935	32.7882	33.0751	31.1328	23.7834	NA	NA	NA	NA
DUSP26	78986	0.348949	0.320825	0.173848	0.22861	NA	NA	NA	NA
DUSP28	285193	2.83741	4.32801	4.61528	2.68776	NA	NA	NA	NA
DUSP3	1845	26.9385	28.6337	26.4778	24.4297	NA	NA	NA	NA
DUSP4	1846	4.81725	4.34535	2.03119	1.92073	NA	NA	NA	NA
DUSP5	1847	13.2044	13.1609	10.338	8.59052	NA	NA	NA	NA
DUSP5P1	574029	0.232207	0.352492	0.354599	0.32141	NA	NA	NA	NA
DUSP6	1848	20.1976	22.1765	29.1808	27.5384	cerebral-cortex	glial-cells	Medium	Approved
DUSP7	1849	13.5721	15.3711	15.0153	13.7998	NA	NA	NA	NA
DUSP8	1850	4.78759	5.26217	6.12458	5.54402	cerebral-cortex	glial-cells	High	Approved
DUSP8P5	106903081	0.819018	1.50216	1.19778	1.45271	NA	NA	NA	NA
DUT	1854	49.173	45.432	47.0403	50.2963	cerebral-cortex	glial-cells	Low	Enhanced
DUTP5	100873911	0.688644	0.125748	0	0.500105	NA	NA	NA	NA
DUTP6	100873912	0.589277	0.258248	0	0.256762	NA	NA	NA	NA
DVL1	1855	16.7564	20.879	23.5887	21.1285	cerebral-cortex	glial-cells	Medium	Approved
DVL2	1856	10.5305	15.1986	16.0997	15.9228	cerebral-cortex	glial-cells	Low	Approved
DVL3	1857	37.927	39.57	41.3313	39.4631	cerebral-cortex	glial-cells	Medium	Approved
DYM	54808	32.1359	24.2617	26.4181	23.2374	NA	NA	NA	NA
DYNC1H1	1778	195.978	215.732	272.637	248.286	cerebral-cortex	glial-cells	Low	Enhanced
DYNC1I1	1780	0.520568	0.808183	2.24757	1.88965	NA	NA	NA	NA
DYNC1I2	1781	82.1238	75.4079	91.0661	101.106	cerebral-cortex	glial-cells	High	Supported
DYNC1I2P1	728532	18.6103	16.4561	19.2359	21.5458	NA	NA	NA	NA
DYNC1LI1	51143	101.817	85.8539	55.3736	62.4024	cerebral-cortex	glial-cells	Low	Approved
DYNC1LI2	1783	180.669	179.533	134.101	166.996	NA	NA	NA	NA
DYNC2H1	79659	2.23348	1.99097	0.93824	1.49669	NA	NA	NA	NA
DYNC2LI1	51626	11.8147	13.3616	9.22906	12.3634	NA	NA	NA	NA
DYNLL1	8655	481.238	459.962	437.157	420.06	NA	NA	NA	NA
DYNLL2	140735	10.3519	10.0947	8.89979	8.92111	NA	NA	NA	NA
DYNLRB1	83658	181.505	155.998	192.947	177.323	cerebral-cortex	glial-cells	Medium	Approved
DYNLRB2	83657	0	0	0.18969	0	NA	NA	NA	NA
DYNLT1	6993	212.039	186.358	194.782	175.141	NA	NA	NA	NA
DYNLT3	6990	29.1446	30.7143	24.5362	37.776	cerebral-cortex	glial-cells	Low	Approved
DYNLT3P1	170554	15.9265	18.8311	12.9192	17.5736	NA	NA	NA	NA
DYNLT3P2	100381215	1.87925	4.80637	17.7906	29.3289	NA	NA	NA	NA
DYRK1A	1859	15.2933	16.7135	17.166	20.2899	NA	NA	NA	NA
DYRK1B	9149	8.5325	9.66648	11.4857	9.61766	NA	NA	NA	NA
DYRK2	8445	25.274	25.6625	24.6807	27.756	cerebral-cortex	glial-cells	Low	Approved
DYRK4	8798	39.8219	40.3611	39.6285	34.4656	NA	NA	NA	NA
DYSF	8291	22.6186	30.3547	45.1004	49.3627	NA	NA	NA	NA
DZANK1	55184	1.43758	0.886623	1.15912	1.2293	NA	NA	NA	NA
DZIP1	22873	14.0803	14.7874	11.9947	13.133	NA	NA	NA	NA
DZIP1L	199221	8.01067	9.42489	8.72388	8.78081	cerebral-cortex	glial-cells	Medium	Approved
DZIP3	9666	2.21373	2.03266	1.58281	2.64712	NA	NA	NA	NA
E2F1	1869	1.84284	1.72601	0.759035	0.712959	cerebral-cortex	glial-cells	High	Enhanced
E2F3	1871	10.0521	9.00168	10.6199	11.044	NA	NA	NA	NA
E2F4	1874	25.3707	28.8438	27.7154	24.4756	NA	NA	NA	NA
E2F5	1875	5.24831	3.1662	5.00237	4.81348	NA	NA	NA	NA
E2F6	1876	5.87809	6.39173	7.83941	7.05497	NA	NA	NA	NA
E2F7	144455	5.2105	5.65146	8.32503	6.90475	NA	NA	NA	NA
E2F8	79733	0.0202288	0.277961	0.0717318	0.26781	NA	NA	NA	NA
E4F1	1877	7.94543	9.87059	10.5437	11.4594	cerebral-cortex	glial-cells	High	Enhanced
EAF1	85403	9.76327	7.82953	9.50859	9.08563	cerebral-cortex	glial-cells	Medium	Supported
EAF1-AS1	100873956	1.56685	3.20012	0.241897	1.7524	NA	NA	NA	NA
EAF2	55840	0.937129	0.709286	0.770941	1.19183	NA	NA	NA	NA
EAPP	55837	26.4537	21.4712	25.691	25.9181	cerebral-cortex	glial-cells	Medium	Approved
EARS2	124454	18.5179	18.2408	19.5309	15.8097	cerebral-cortex	glial-cells	Low	Approved
EBAG9	9166	16.134	18.1071	12.2793	14.422	cerebral-cortex	glial-cells	Medium	Enhanced
EBAG9P1	100422254	0	0.197045	0.217478	0.293899	NA	NA	NA	NA
EBF1	1879	3.98113	3.82634	1.01421	2.45947	NA	NA	NA	NA
EBF2	64641	0.109595	0.0345729	0.0150387	0.0135492	NA	NA	NA	NA
EBF4	57593	2.78249	2.70573	0.907936	0.793994	NA	NA	NA	NA
EBI3	10148	3.95944	5.92689	4.08966	2.68733	NA	NA	NA	NA
EBLN2	55096	0.644793	0.501236	0.654003	0.679882	NA	NA	NA	NA
EBNA1BP2	10969	60.4339	55.8931	59.9142	49.6817	cerebral-cortex	glial-cells	High	Approved
EBPL	84650	20.2565	16.3137	17.5481	12.1867	NA	NA	NA	NA
