Objective,FSR_SKO_1,FSR_SKO_2,FSR_SKO_3,FSR_SKO_4,FSR_SKO_5,FSR_SKO_6,FSR_SKO_7,FSR_SKO_8,FSR_SKO_9,FSR_SKO_10,FSR_SKO_11,FSR_SKO_12,FSR_SKO_13,FSR_SKO_14,FSR_CKO_ALL
'EX_pcholn205_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn224_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn2254_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn225_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn226_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn24_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn261_hs[e]',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'EX_pcholn281_hs[e]',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'EX_pcholn28_hs[e]',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'EX_pcholole_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholpalm_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholpalme_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholste_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pe13_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pe14_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pe15_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pe161_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pe17_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pe203_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pe224_hs[e]',1,1,1,1,1,1,1,1,1,1.01185770750987,1,1,1,1,Inf
'EX_pe226_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pe2linl_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pear_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pedh203_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pmeth[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_retnglc[e]',1,1,1,1,1,1,1,1,1,1.01714285714285,1,1,1,1,Inf
'EX_sphmyln180241_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_sphmyln18114_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_sphmyln18115_hs[e]',1,1.0054347826087,1,1.38043478260871,1.00000000000002,1.00000000000002,1,1,1,1,1.38043478260871,1,1.00000000000002,1.00000000000002,Inf
'EX_sphmyln181161_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_sphmyln18116_hs[e]',1,1.0054347826087,1,1.38043478260871,1.00000000000002,1.00000000000002,1,1,1,1,1.38043478260871,1,1.00000000000002,1.00000000000002,Inf
'EX_sphmyln18117_hs[e]',1,1.0054347826087,1,1.38043478260871,1.00000000000002,1.00000000000002,1,1,1,1,1.38043478260871,1,1.00000000000002,1.00000000000002,Inf
'EX_sphmyln181181_hs[e]',1,1.0054347826087,1,1.38043478260871,1.00000000000002,1.00000000000002,1,1,1,1,1.38043478260871,1,1.00000000000002,1.00000000000002,Inf
'EX_sphmyln18118_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_sphmyln181201_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_sphmyln18120_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_sphmyln18121_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_sphmyln181221_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_sphmyln18122_hs[e]',1,1.0054347826087,1,1.38043478260871,1.00000000000002,1.00000000000002,1,1,1,1,1.38043478260871,1,1.00000000000002,1.00000000000002,Inf
'EX_sphmyln18123_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_sphmyln1824_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_sphmyln1825_hs[e]',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,Inf
'EX_xolest183_hs[e]',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'FAOXC16C14m',1,1.00675675675676,1,1.71141679693895,1,1,1,1,1,1,1.71141679693895,1,1,1,2.02838419545373
'FAOXC16C16OHm',1,1.00719424460432,1,1.73958130893599,1,1,1,1,1,1,1.73958130893599,1,1,1,2.0459774167421
'FORtr',1,1,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'FRDPtcr',1,0.999999999999981,1,1,1,1,1,1,1,1.00887824126267,1,1,1,1,Inf
'G3PD2m',0.99999999999994,0.999999999999947,0.999999999999947,0.999999999999947,0.999999999999947,0.99999999999994,0.99999999999994,0.999999999999947,0.999999999999947,1.02459016393437,0.999999999999947,0.99999999999994,0.999999999999947,0.999999999999947,Inf
'G6PDH1rer',1,1,1,1,1,1,1,1,1,1.01714285714285,1,1,1,1,Inf
'GA1tl',0.999999999999999,1.00368175287356,1,1.50215517241379,0.999999999999999,1,1,0.999999999999999,1,1.01104525862069,1.50215517241379,1,0.999999999999996,0.999999999999996,Inf
'GBAl',1,1.00368175287356,1,1.50215517241379,1,1,1,0.999999999999999,1,1.01104525862069,1.50215517241379,1,1,1,Inf
'GLB1',1,1.00368175287356,1,1.50215517241379,1,1,1,0.999999999999999,1,1.01104525862069,1.50215517241379,1,1,1,Inf
'GLCtly',1,1.00368175287356,1,1.50215517241379,1,1,1,0.999999999999999,1,1.01104525862069,1.50215517241379,1,1,1,Inf
'GLYBtm',1,1.00061935608777,1,Inf,1,1,1,1,1,1.01281270160545,Inf,1,1,1,Inf
'GLYC3Ptm',1,1.00061935608777,0.999999999999999,Inf,1,1,1,1,1,1.01281270160535,Inf,1,1,1,Inf
'GLYCtm',1,1,1,1,1,1,1,1,1,1.02702702702703,1,1,1,1,Inf
'GLYK',1,1,1,1,1,1,1,1,1,1.17647058823529,1,1,1,1,Inf
'GPAM_hs',1,1,1,1,1,1,1,1,1,1.17647058823529,1,1,1,1,Inf
'GRTT',1,1,1,1,1,0.999999999999998,1,1,1,1.02777777777778,1,1,1,1,Inf
'HDECAACBP',1,1.00719424460431,1,1.739581308936,1,1,1,1,1,1,1.739581308936,1,1,1,2.04597741674207
'HEXAHBl',0.999999999999999,1.00368175287356,1,1.50215517241379,0.999999999999999,1,1,0.999999999999999,1,1.01104525862069,1.50215517241379,1,0.999999999999996,0.999999999999996,Inf
'HEXDCRNe',1,1.00719424460432,0.999999999999999,1.73958130893599,1,1,1,1,1,1,1.73958130893598,0.999999999999999,1,1,2.0459774167421
'HMR_0482',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'HMR_0582',1,1.00061935608777,0.999999999999999,Inf,1,1,1,1,1,1.01281270160535,Inf,1,1,1,Inf
'HMR_0586',1,1.00062321604741,1,Inf,1,1,1,1,1,1.01113974293374,Inf,1,1,1,Inf
'HMR_0587',1,1.00062321604722,1,Inf,1,1,1,1,1,1.01113974293353,Inf,1,1,1,Inf
'HMR_0597',1,1,1,1,1,1,0.999999999999999,1,1,1.17647058823529,1,0.999999999999997,1,1,Inf
'HMR_0625',1,1,1,1,1,1,0.999999999999999,1,1,1.17647058823529,1,0.999999999999997,1,1,Inf
'HMR_0629',1,1,1,1,1,1,0.999999999999999,1,1,1.17647058823529,1,0.999999999999997,1,1,Inf
'HMR_0770',1,1.00546448087431,1,1.38251366120221,1,1,1,1,1,1,1.38251366120221,1,1,1,19.9441649082927
'HMR_0835',1,1.00233405442332,1,1.28560856199476,1,1,1,1,1,1.00700216326995,1.28560856199476,1,1,1,Inf
'HMR_0836',1,1.00233405442332,1,1.28560856199476,1,1,1,1,1,1.00700216326995,1.28560856199476,1,1,1,Inf
'HMR_1465',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
