SYMBOL	ENTREZID	BD_R.Veh.R1	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
AP5B1	91056	2.28993	2.2993	NA	NA	NA	NA
AP5M1	55745	20.7034	18.9496	cerebral-cortex	glial-cells	Low	Approved
AP5S1	55317	5.38165	4.99363	NA	NA	NA	NA
AP5Z1	9907	8.45535	10.9035	cerebral-cortex	glial-cells	Medium	Supported
APAF1	317	16.5349	16.7663	cerebral-cortex	glial-cells	Low	Enhanced
APBA1	320	0.212517	0.402533	NA	NA	NA	NA
APBA2	321	33.4734	24.896	NA	NA	NA	NA
APBA3	9546	7.46656	10.1075	cerebral-cortex	glial-cells	Low	Approved
APBB1	322	38.8461	34.9219	cerebral-cortex	glial-cells	Low	Approved
APBB2	323	33.9941	23.4328	cerebral-cortex	glial-cells	Medium	Approved
APBB3	10307	17.1857	20.2207	NA	NA	NA	NA
APC	324	16.1348	11.0736	NA	NA	NA	NA
APC2	10297	46.9741	27.4838	NA	NA	NA	NA
APCDD1	147495	6.83383	22.8358	NA	NA	NA	NA
APCDD1L	164284	0.0447204	0.290555	NA	NA	NA	NA
APEH	327	53.7292	41.7648	NA	NA	NA	NA
APEX1	328	224.073	193.523	cerebral-cortex	glial-cells	Medium	Supported
APEX2	27301	5.60636	6.91528	NA	NA	NA	NA
APH1A	51107	1.43046	8.3911	cerebral-cortex	glial-cells	Low	Approved
APH1B	83464	7.47482	8.03136	NA	NA	NA	NA
API5	8539	86.7705	65.0435	cerebral-cortex	glial-cells	Medium	Approved
APIP	51074	19.2127	21.6321	cerebral-cortex	glial-cells	Low	Approved
APLF	200558	1.93136	2.49433	NA	NA	NA	NA
APLN	8862	2.84282	4.4673	NA	NA	NA	NA
APLNR	187	2.2009	6.90878	cerebral-cortex	glial-cells	Medium	Approved
APLP1	333	116.157	112.792	cerebral-cortex	glial-cells	Low	Enhanced
APLP2	334	130.582	133.036	cerebral-cortex	glial-cells	Medium	Approved
APMAP	57136	63.6283	60.9713	NA	NA	NA	NA
APOA1	335	0.723087	0.0623012	NA	NA	NA	NA
APOBEC2	10930	0.303861	0.0952672	NA	NA	NA	NA
APOBEC3B	9582	0	0	NA	NA	NA	NA
APOBEC3C	27350	3.01303	6.54227	NA	NA	NA	NA
APOBEC3D	140564	0.0872844	0.136199	cerebral-cortex	glial-cells	Medium	Approved
APOBEC3F	200316	0.889422	1.02775	NA	NA	NA	NA
APOBEC3G	60489	0.222391	0.578253	NA	NA	NA	NA
APOC1	341	1.99272	4.01387	NA	NA	NA	NA
APOD	347	0.289618	1.01318	cerebral-cortex	glial-cells	High	Enhanced
APOE	348	5.04593	26.6528	cerebral-cortex	glial-cells	High	Enhanced
APOL1	8542	0	0.106846	NA	NA	NA	NA
APOL2	23780	5.95617	7.89472	NA	NA	NA	NA
APOL3	80833	0.0501884	0.284465	NA	NA	NA	NA
APOL4	80832	0.170875	1.06228	NA	NA	NA	NA
APOL6	80830	0.0484516	0.223707	NA	NA	NA	NA
APOLD1	81575	2.49827	3.65622	cerebral-cortex	glial-cells	Low	Approved
APOO	79135	25.9377	21.5448	cerebral-cortex	glial-cells	Low	Supported
APOOL	139322	5.44418	2.93875	cerebral-cortex	glial-cells	Medium	Approved
APOOP5	644649	0	0	NA	NA	NA	NA
APP	351	170.981	223.936	NA	NA	NA	NA
APPBP2	10513	20.084	18.1101	NA	NA	NA	NA
APPL1	26060	8.95347	11.5657	NA	NA	NA	NA
APPL2	55198	42.3638	35.2517	cerebral-cortex	glial-cells	Low	Approved
APRT	353	30.4593	48.1466	NA	NA	NA	NA
APTX	54840	19.5703	21.7176	cerebral-cortex	glial-cells	Medium	Supported
AQP1	358	0.525803	0.987258	NA	NA	NA	NA
AQP11	282679	1.05978	1.3923	NA	NA	NA	NA
AQP3	360	0.525254	0.452224	NA	NA	NA	NA
AQP4	361	0.139589	0.260127	cerebral-cortex	glial-cells	Medium	Enhanced
AQP5	362	0.154039	0.108715	NA	NA	NA	NA
AQR	9716	17.0659	16.0375	NA	NA	NA	NA
AR	367	5.29443	4.24009	NA	NA	NA	NA
ARAF	369	14.8543	16.1574	cerebral-cortex	glial-cells	Low	Approved
ARAP1	116985	7.13664	14.8149	cerebral-cortex	glial-cells	Low	Approved
ARAP1-AS1	100874075	1.16342	4.18341	NA	NA	NA	NA
ARAP1-AS2	100506020	0.266672	0.0847642	NA	NA	NA	NA
ARAP2	116984	0.434132	0.371567	NA	NA	NA	NA
ARAP3	64411	25.3103	28.2409	NA	NA	NA	NA
ARC	23237	0.526011	2.13905	NA	NA	NA	NA
ARCN1	372	1.47415	1.49111	cerebral-cortex	glial-cells	High	Approved
AREL1	9870	20.8379	17.147	NA	NA	NA	NA
ARF1	375	115.476	161.373	NA	NA	NA	NA
ARF3	377	68.5365	60.7984	NA	NA	NA	NA
ARF4	378	116.997	153.868	NA	NA	NA	NA
ARF4P2	170485	0.148186	0.138881	NA	NA	NA	NA
ARF5	381	114.306	123.141	NA	NA	NA	NA
ARF6	382	22.4466	25.2526	NA	NA	NA	NA
ARFGAP1	55738	48.5987	55.7566	NA	NA	NA	NA
ARFGAP2	84364	49.1343	38.5486	cerebral-cortex	glial-cells	Low	Enhanced
ARFGAP3	26286	17.6484	25.3997	NA	NA	NA	NA
ARFGEF1	10565	16.2917	21.9621	cerebral-cortex	glial-cells	Medium	Supported
ARFGEF2	10564	7.74503	8.37298	cerebral-cortex	glial-cells	Medium	Supported
ARFIP1	27236	18.4124	20.6204	NA	NA	NA	NA
ARFIP2	23647	25.939	26.7115	NA	NA	NA	NA
ARFRP1	10139	11.1649	16.9158	cerebral-cortex	glial-cells	Low	Approved
ARG2	384	8.1429	6.32459	NA	NA	NA	NA
ARGFXP2	503640	0.450372	0.120965	NA	NA	NA	NA
ARGLU1	55082	294.949	236.603	cerebral-cortex	glial-cells	High	Supported
ARHGAP1	392	11.4045	18.4434	NA	NA	NA	NA
ARHGAP10	79658	1.07187	5.43216	NA	NA	NA	NA
ARHGAP11A	9824	36.9932	21.4411	cerebral-cortex	glial-cells	Low	Enhanced
ARHGAP11B	89839	17.2599	9.27091	NA	NA	NA	NA
ARHGAP12	94134	22.7796	25.1801	cerebral-cortex	glial-cells	Low	Enhanced
ARHGAP15	55843	0.355007	0.0862881	NA	NA	NA	NA
ARHGAP17	55114	37.029	32.616	NA	NA	NA	NA
ARHGAP18	93663	0.80099	2.42308	NA	NA	NA	NA
ARHGAP19	84986	20.0045	13.1619	NA	NA	NA	NA
ARHGAP19-SLIT1	100533184	0.967867	0.562498	NA	NA	NA	NA
ARHGAP20	57569	0.572533	1.69067	NA	NA	NA	NA
ARHGAP21	57584	106.43	84.621	cerebral-cortex	glial-cells	Low	Approved
ARHGAP22	58504	0.978071	0.867175	NA	NA	NA	NA
ARHGAP23	57636	1.58419	0.131161	NA	NA	NA	NA
ARHGAP23P1	102577425	0.0277002	0.156465	NA	NA	NA	NA
ARHGAP24	83478	1.56712	4.72313	cerebral-cortex	glial-cells	Low	Approved
ARHGAP26	23092	1.68623	4.84607	NA	NA	NA	NA
ARHGAP28	79822	4.75092	6.8133	NA	NA	NA	NA
ARHGAP29	9411	7.83238	16.8369	NA	NA	NA	NA
ARHGAP30	257106	0.495592	0.184274	NA	NA	NA	NA
ARHGAP31	57514	2.03722	3.82044	cerebral-cortex	glial-cells	Low	Approved
ARHGAP31-AS1	100874246	0.683255	0.42739	NA	NA	NA	NA
ARHGAP32	9743	10.0983	6.77989	NA	NA	NA	NA
ARHGAP33	115703	26.1525	20.9382	cerebral-cortex	glial-cells	Low	Supported
ARHGAP35	2909	34.7227	23.1641	cerebral-cortex	glial-cells	Low	Approved
ARHGAP39	80728	7.231	5.7079	NA	NA	NA	NA
ARHGAP4	393	0	0.157343	NA	NA	NA	NA
ARHGAP42	143872	5.18797	4.52972	NA	NA	NA	NA
ARHGAP44	9912	1.89772	2.61645	NA	NA	NA	NA
ARHGAP5	394	39.1012	28.9395	NA	NA	NA	NA
ARHGAP5-AS1	84837	1.87794	1.96614	NA	NA	NA	NA
ARHGAP6	395	2.8725	5.37484	cerebral-cortex	glial-cells	Medium	Enhanced
ARHGAP8	23779	0.35466	0.25745	NA	NA	NA	NA
ARHGAP9	64333	0.539149	0.569459	NA	NA	NA	NA
