	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	Ctrl_Fam.Veh.R1	Ctrl_NIH1.Veh.R1	BD_NR.Li.R1	BD_R.Li.R1	Ctrl_Fam.Li.R1	Ctrl_NIH1.Li.R1	BD_NR.Val.R1	BD_R.Val.R1	Ctrl_Fam.Val.R1	Ctrl_NIH1.Val.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Ctrl_Fam.Veh.R2	Ctrl_NIH1.Veh.R2	BD_NR.Li.R2	BD_R.Li.R2	Ctrl_NIH1.Li.R2	BD_NR.Val.R2	BD_R.Val.R2	Ctrl_Fam.Val.R2	Ctrl_NIH1.Val.R2	Ctrl_Fam.Li.R2
KCNA6	KCNA6	3742	0.743057	1.12055	1.56365	0.443814	0.679552	1.13182	1.47555	0.298179	1.82877	1.1118	1.32736	0.72185	1.81447	1.20537	0.5455	0.379928	1.61542	1.16689	0.423536	2.23539	1.21241	1.13375	0.482368	0.471141
KCNAB1	KCNAB1	7881	0.547129	0.464967	0.391181	0.279644	0.498519	0.647314	0.820845	0.459685	0.299999	0.499869	0.595829	0.481182	0.266716	0.444393	0.455127	0.601038	0.453418	0.564302	0.503059	0.397225	0.702485	0.443562	0.653824	0.559816
KCNAB2	KCNAB2	8514	2.43562	2.48796	1.91759	2.65221	3.25208	1.9456	1.56254	2.58921	4.73268	4.52209	3.31031	5.56343	2.26748	2.83629	1.40966	3.59961	3.28033	2.53753	2.40945	3.54246	3.51483	3.57891	3.68485	1.64744
KCNAB3	KCNAB3	9196	4.36752	5.62661	3.92549	4.58636	5.60106	6.29643	3.50548	5.30763	7.96325	7.01575	2.58376	3.77374	4.36063	4.63099	4.31011	2.64031	6.41309	4.32894	2.31431	4.40714	3.31003	3.57109	4.77423	5.2916
KCNB1	KCNB1	3745	0.128327	1.45234	0.0787291	0.191287	0.140049	1.31171	0.0367998	0.263043	0.17826	2.27997	0.0792944	0.499016	0.114889	1.17414	0.0751043	0.226249	0.14341	1.34219	0.191075	0.259661	0.760571	0.106671	0.283065	0.0453491
KCNB2	KCNB2	9312	0.11419	0.554533	0	0.107418	0.125543	0.715136	0.0252927	0.0274046	0.0408671	0.702189	0	0.100411	0.127331	0.535718	0	0.0119782	0.116939	0.372104	0.0395199	0.188607	0.303295	0	0.0557596	0
KCNC1	KCNC1	3746	0.442233	7.84067	0.577181	0.931473	0.747872	6.58088	0.552848	0.817164	0.828643	9.51187	1.03215	1.8173	0.426921	3.24661	1.41436	0.598554	0.950999	3.44878	0.63511	0.550307	3.34527	1.66397	1.83286	1.20876
KCNC3	KCNC3	3748	0.560671	1.80784	3.34098	0.919003	1.15329	1.76745	2.9197	1.17466	3.14616	4.8185	5.61326	4.21785	1.27483	2.27285	1.76829	1.28816	1.63283	1.21717	1.6387	4.70255	3.91887	7.47274	3.21877	2.1103
KCNC4	KCNC4	3749	2.02667	1.39051	1.50136	0.59174	2.74395	1.08825	1.42818	0.375042	2.72563	1.84702	2.26503	1.36294	0.889913	1.07052	1.82172	0.633818	1.07157	0.983645	0.327913	1.25383	1.15147	1.80886	1.07106	1.41243
KCND2	KCND2	3751	1.79603	1.63662	2.06288	1.13213	1.96154	1.99303	1.44371	1.17047	2.26989	3.24343	2.88661	1.8966	1.0252	1.50952	5.6762	0.726707	1.54195	1.80827	0.503438	1.93578	2.82993	6.53675	1.29325	4.81615
KCND3	KCND3	3752	0.937883	5.33171	26.059	23.9104	1.74834	3.97547	19.8037	26.6986	0.256418	3.35783	25.4278	15.0252	0.930131	5.26101	27.738	14.8943	0.824717	3.6457	13.8916	0.651366	6.59208	32.9641	20.3748	25.6641
KCNE1	KCNE1	3753	0.283052	0.205799	0.331596	0.19164	0.135351	0.0514751	0.16209	0.167109	0.124875	0.136139	0.411622	0.154841	0.107826	0.0645208	0.163688	0.0356675	0.104102	0.0619253	0.219564	0.122767	0.139221	0.378775	0.0159424	0.40477
KCNE2	KCNE2	9992	1.34105	1.01871	0.320633	0.530279	0.289643	0.438477	0.248818	0.432124	0.96737	0.912522	0.408272	0.674164	0.79642	1.01141	0.0902675	0.947445	0.424664	0.66812	0.367565	1.38344	0.530787	0.0883454	0.342728	0.319162
KCNE4	KCNE4	23704	6.18138	0.139453	0.248794	0.0164501	3.98394	0.292503	0.186152	0.0167846	3.35222	0.297851	0.286055	0	8.25832	0.722102	0.126028	0.115626	6.40851	0.472135	0.0646049	9.27032	2.37652	0.0806373	0.0341819	0.174848
KCNF1	KCNF1	3754	25.3645	1.2902	13.8388	2.10685	11.2499	2.42868	14.5951	1.35155	24.9399	1.39855	13.7775	1.86097	5.4118	3.51435	7.14049	2.6169	4.18612	3.89276	2.45531	4.76725	3.51801	7.77342	1.44598	7.29519
KCNG1	KCNG1	3755	1.2771	2.81044	6.46671	2.56829	1.59242	2.31961	6.85312	4.33446	2.01466	3.6311	14.1261	5.43203	5.20916	4.4638	5.16048	8.54446	3.50147	2.46623	7.00224	7.07412	17.5838	7.58879	7.78228	6.70592
KCNG2	KCNG2	26251	0.917753	0.0400805	0.136401	0.13532	0.457015	0.176944	0.0353934	0	0.255456	0.0681118	0.0726133	0.0405332	0.178086	0.236983	0.203271	0.060423	0.273747	0.26683	0.0666973	0.239189	0.184077	0.0748897	0.105874	0.0805326
KCNH1	KCNH1	3756	0.442335	0.184573	0.381023	0.125673	1.5062	0.0992499	0.223701	0.271345	2.79759	0.174527	0.563999	0.287847	0.982579	0.331878	0.268418	0.18143	0.348232	0.16456	0.214967	2.23085	0.582422	0.466006	0.357465	0.149309
KCNH2	KCNH2	3757	28.4514	5.50811	3.17352	1.16236	26.2125	4.45376	2.74595	1.44118	20.3659	8.75766	4.33229	2.9797	10.3626	4.89878	4.73434	1.16529	11.8771	4.95211	1.35043	10.318	5.3252	3.11606	2.25133	6.61294
KCNH3	KCNH3	23416	0.691056	0.313387	0.18732	0.173412	0.541968	0.243386	0.229896	0.11376	1.27993	2.64634	0.0850115	0.952385	0.302394	0.369902	0.119439	0.220969	0.443008	0.165653	0.267281	0.759254	1.18617	0.555605	0.982935	0.104962
KCNH7	KCNH7	90134	0.0141089	1.37742	0.0819475	0.223512	0.0817358	1.51681	0.0380493	0.213252	0.135762	2.65279	0.385913	0.645234	0.0220181	0.202453	0.174513	0.126047	0.0465444	0.37801	0.176687	0.0407408	0.42364	0.229124	0.776527	0.0647018
KCNH8	KCNH8	131096	0.231556	6.01406	0.576653	1.72877	0.282765	5.4838	0.312752	1.45002	0.184991	7.30187	0.72382	2.72419	0.36023	3.13058	0.112698	1.78797	0.660147	3.55164	1.57165	0.377456	1.79948	0.633253	1.58258	0.286712
KCNIP1	KCNIP1	30820	9.93521	1.86484	24.7963	8.34594	5.6432	2.11571	17.7839	4.1948	15.3857	2.43898	27.4205	7.38833	11.2505	7.16965	20.5586	5.17195	5.73078	3.87193	3.05107	21.9652	24.4585	23.2769	6.10243	20.8738
KCNIP2	KCNIP2	30819	2.12005	3.56848	13.049	6.00068	3.75423	2.82249	8.65381	4.7263	2.75544	8.80059	16.2654	10.9723	1.88036	3.36643	19.0785	5.21388	1.9755	2.44886	3.70639	1.7934	3.78343	32.1768	9.71827	17.1064
KCNIP2-AS1	KCNIP2-AS1	100289509	0.128963	0.162216	0.558155	0.207759	0.0954338	0.436355	0.129779	0.422926	0.421016	0.628471	0.665359	0.150497	0.533417	0.557573	0.495369	0.30978	0.471749	0.270023	0.310902	0.743036	0.189594	0.626216	0.364244	0.0876468
KCNIP3	KCNIP3	30818	2.50602	1.43239	1.74905	0.643701	1.57704	1.96628	1.9938	0.551253	1.62415	2.76884	3.21172	1.17209	1.35888	2.58422	1.86254	0.401839	1.99954	1.87101	0.599149	0.947221	1.9026	2.6197	0.296975	3.44911
KCNIP4	KCNIP4	80333	2.40217	1.07549	2.68289	0.676195	2.63399	0.955896	0.804975	0.791288	2.82442	1.02038	2.18804	0.979255	0.639316	0.536163	1.884	0.931374	0.462189	0.609558	0.901229	0.820913	0.923442	3.57535	0.682404	1.4797
KCNJ10	KCNJ10	3766	0.0542557	1.70865	26.7564	5.6927	0.0713306	1.62075	22.1398	7.65053	0.0995854	2.57482	19.4388	9.30025	0.126988	1.68086	18.8772	8.89312	0.207127	1.03008	6.7772	0.306894	1.78023	22.6636	8.42073	17.6717
KCNJ11	KCNJ11	3767	1.65292	0.869268	0.0704643	0.212719	2.35356	0.382801	0.0492854	0.325018	2.14258	1.06584	0.511597	0.354982	0.907415	0.466788	0.0755572	0.312971	0.81123	0.564006	0.18851	0.593136	0.631119	0.484258	0.443706	0.150183
KCNJ13	KCNJ13	3769	0.123466	0.158424	0.066562	0.267938	0.146739	0.244515	0.163685	0.327624	0.0932679	0.202308	0.132807	0.116781	0.094838	0.100606	0.601596	0.165256	0.0319673	0.0974023	0.0983088	0.0208162	0.125264	0.341839	0.144617	0.286127
KCNJ14	KCNJ14	3770	0.812416	0.677099	1.06859	0.509503	0.839106	0.795532	2.07383	0.745402	0.615511	0.871902	0.510646	0.473809	0.618929	0.805873	0.374858	0.360636	0.406258	0.892051	0.732272	0.555566	0.686499	0.599172	0.577431	0.411686
KCNJ16	KCNJ16	3773	0.047511	0.748896	5.22873	0.106818	0	2.57634	4.4915	0.279344	0.0132227	2.63483	5.92244	0.125311	0.111253	0.299155	5.08836	0.119163	0.0882899	0.475071	0.157189	0.15256	1.21072	6.97571	0.0135296	3.55452
KCNJ2	KCNJ2	3759	2.2035	0.703813	8.72427	11.155	3.8831	1.89173	10.5926	10.6405	0.997213	0.712845	5.51714	13.7775	1.42843	2.24214	4.90898	7.95607	1.21908	1.63668	8.8172	0.878864	1.24847	6.60629	10.4273	3.83365
KCNJ2-AS1	KCNJ2-AS1	400617	0.908118	0.536381	0.846241	2.44932	1.4106	0.569502	1.23388	2.10537	0.574669	0.549584	1.32854	2.74402	0.421776	0.42427	0.738746	1.49863	0.391852	0.523297	1.54876	0.237363	0.457579	0.930474	2.24902	0.728764
KCNJ3	KCNJ3	3760	0.742379	0.134654	0.00950354	0.0979171	0.763244	0.0568265	0	0.513655	3.32797	0.103643	0.00911145	0.179795	0.769458	0.0187905	0	0.0903304	1.4345	0.113492	0.018477	1.50652	0.0510595	0	0.242057	0
KCNJ4	KCNJ4	3761	1.64972	3.61158	2.81799	1.0209	1.73115	2.26122	1.94402	0.942123	2.41616	4.23128	3.30812	2.26664	1.54242	2.76879	1.72485	1.49705	1.74252	2.40174	1.4823	1.39915	3.87287	3.59072	2.68181	2.14639
KCNJ5	KCNJ5	3762	0.0462878	0.217765	0.00798403	0.22171	0	0.370549	0.0149229	0.405045	0.0808631	0.23828	0.0153117	0.425906	0.0225412	0.126255	0.0169459	0.289538	0.0369855	0.112546	0.398836	0.0467656	0.192974	0.00866953	0.340288	0.00837423
KCNJ6	KCNJ6	3763	1.01764	0.899515	0.729575	4.36683	2.25946	0.747901	0.684409	2.78123	0.778634	2.05912	1.35554	4.77903	1.14002	0.675641	1.25679	3.29897	1.12377	0.962701	3.2363	1.74942	1.85213	1.91525	5.19522	1.10336
KCNJ8	KCNJ8	3764	2.13633	5.20812	5.45231	3.92232	1.88966	5.34813	4.36869	4.03746	0.913067	4.98228	8.74345	4.31587	2.00258	3.53842	7.87839	5.39967	2.86948	2.84414	4.20848	1.8721	4.68007	7.54966	6.10422	9.01583
KCNJ9	KCNJ9	3765	0.0278145	0.351241	0.173051	0.148748	0.0763323	0.418153	0.323359	0.186841	0.0464355	0.839946	0.210116	0.439788	0.0542654	0.216776	0.257381	0.224537	0.07749	0.327795	0.235631	0.0535396	0.289367	0.163095	0.45119	0.254447
KCNK1	KCNK1	3775	0.966747	0.613323	0.138586	0.554919	1.29189	0.459142	0.0435152	0.449433	0.991995	0.447994	0.484838	0.693662	1.24838	0.707346	0	0.774461	1.25937	0.399081	0.432288	2.06346	0.781598	0.0555114	1.16715	0.270579
KCNK10	KCNK10	54207	0.0357587	2.84559	3.92266	0.209179	0.0392038	2.69714	3.32723	1.01896	0.0837464	4.77168	6.20288	0.240606	0.0465046	1.57244	4.70355	0.318765	0.101128	1.34231	0.4774	0.217957	2.82687	8.676	0.299021	5.20301
KCNK12	KCNK12	56660	0.112788	2.41849	0.193289	1.33868	0.0803252	1.74759	0.0923888	1.86931	0.240377	0.528949	0.133913	0.149672	0.0715662	0.394722	0.08876	0.262299	0.204031	0.266098	0.325109	0.199345	0.074875	0.0660442	0.187649	0.0797483
KCNK2	KCNK2	3776	2.22065	5.08324	1.91813	3.95455	2.29574	5.22272	1.52001	3.62158	3.64389	6.11447	3.31635	3.23486	4.3934	7.5868	1.46991	3.86766	3.92369	6.59607	4.58485	4.07959	8.36688	2.61207	2.86818	1.34764
KCNK3	KCNK3	3777	0.0370964	0.282227	0.0230614	0.0533663	0.152257	0.21486	0.122131	0.101165	0.154709	0.636191	0.140052	0.089432	0.108517	0.37226	0.1142	0.115581	0.110594	0.20357	0.0597555	0.383005	0.364695	0.0333828	0.0474239	0.112867
KCNK5	KCNK5	8645	0.869035	8.8979	0.0772617	1.1239	0.49453	20.432	0.0120295	0.40404	1.61967	7.23106	0.0863938	0.627497	1.34445	12.6229	0.0136856	0.911429	1.68067	12.8607	0.964664	2.1523	4.85751	0.0280225	0.477257	0.0135308
KCNK6	KCNK6	9424	0.133979	0.117028	0.241162	0	0.0246449	0.0192236	0.29448	0.0750919	0.298652	0.111057	0.319882	0.0590606	0.366218	0.0734722	0.316977	0.0328378	0.356292	0.19376	0	0.625632	0.399358	0.247275	0.0191253	0.273476
KCNK7	KCNK7	10089	0.539282	0.331549	0.87192	0.252344	0.399165	0.552632	0.41465	0.531996	0.217471	1.0935	0.096088	1.25597	0.249599	0.0825113	0.0444894	0.14562	0.527415	0.0639241	0	0.117391	0.250841	0.600919	0.130882	0
KCNK9	KCNK9	51305	0	0.0190781	0.680379	0.0397442	0.168281	0.0429007	0.795398	0.231835	0	0.416892	1.50739	0.0192554	0.0383912	0.193472	0.0894051	0.173049	0.342056	0.0874815	0.13398	0.41678	0.165394	1.18019	0.207708	0.0438731
KCNMA1	KCNMA1	3778	12.1398	0.611701	11.8315	0.515023	9.98092	0.634543	18.3673	0.793844	10.9169	0.389394	21.9982	1.03465	6.38932	0.678031	7.91654	1.16538	6.88287	0.356825	0.500115	13.8018	6.37177	8.66672	0.913783	5.96259
KCNMB1	KCNMB1	3779	1.53741	0.12521	0.245518	0.0791352	0.940102	0.140019	0.229422	0.00955884	4.48451	0.0565026	0.117696	0.0199853	1.36812	0.149982	0.170061	0.075177	0.913195	0.0804339	0.170205	4.24635	0.394489	0.123117	0.00971351	0.0991018
KCNMB2	KCNMB2	10242	4.53137	1.18066	0.152187	0.994028	8.27382	1.86616	0.202962	0.768061	6.49901	3.25831	0.448157	2.54367	2.94243	1.23238	0.53443	0.288696	7.11334	1.873	0.512357	4.83478	1.84848	0.472517	2.59403	0.894442
KCNMB3	KCNMB3	27094	1.91884	0.782205	0.789393	1.12772	2.56068	0.535745	1.29827	1.50892	1.54365	0.467595	0.971041	1.24682	1.38089	0.479177	1.48068	1.51111	2.68474	0.631358	1.36512	1.57695	0.41963	0.667054	1.28036	1.00644
KCNMB4	KCNMB4	27345	12.4016	5.79275	3.16467	4.6328	8.30856	4.92369	3.9953	4.23715	16.598	6.28175	7.55718	8.28961	10.215	8.54163	2.79156	3.53283	8.78614	7.21446	3.85349	15.9535	8.06946	4.84881	8.6644	3.61719
KCNN1	KCNN1	3780	0.660471	2.56368	0.775704	1.40546	0.619793	1.21848	0.287438	1.63811	1.59019	5.95535	1.08905	3.17273	0.741854	2.49927	0.369458	1.79799	2.7352	2.0686	1.49589	1.51374	2.07527	1.47786	4.07249	0.252895
KCNN2	KCNN2	3781	1.34046	0.423876	0.315841	0.41126	1.24587	0.187099	0.233377	1.33067	0.539374	0.896232	0.307793	0.652874	0.409377	0.442489	0.452602	0.803277	0.399826	0.275727	0.848345	0.505279	0.620125	1.00447	0.819999	0.360476
KCNN3	KCNN3	3782	2.19649	1.5651	1.80792	2.30005	3.79613	1.24298	1.58365	2.82233	6.31167	1.4679	1.59067	2.00942	3.8871	1.04678	1.10599	2.15197	2.62187	1.06313	2.31737	6.01606	1.42196	1.313	1.85531	1.45831
KCNN4	KCNN4	3783	0.229252	0.145933	8.39426	1.5384	0.357263	0.0477845	15.7017	1.06645	0.246919	0	7.57329	0.6661	0.474572	0.236124	15.4477	4.22106	0.330329	0.158157	4.36089	0.459428	0.553249	7.60939	0.911595	15.4223
KCNQ1	KCNQ1	3784	0.385902	0.236117	0.115892	0.0594705	0.0398586	0.237962	0.0500535	0.0474445	0	0.33612	0.154028	0.20716	0.101287	0.219121	0.582671	0.144604	0.01443	0.151982	0.0532646	0	0.218457	0.0595299	0.30827	0
KCNQ1OT1	KCNQ1OT1	10984	5.90693	1.05035	0.168561	0.524355	4.91274	0.93573	0.149646	0.591288	4.75827	0.979516	0.259453	0.636865	1.95938	0.823495	0.156705	0.526875	2.55963	0.934174	0.446225	2.62516	0.630076	0.175383	0.615323	0.162667
KCNQ2	KCNQ2	3785	4.24188	72.9376	29.8574	86.113	3.84319	67.4823	25.7306	75.4357	5.7978	60.2675	33.7758	79.4517	9.04516	57.5131	39.399	73.9001	11.6518	53.1648	67.2845	8.6331	43.882	49.1667	74.58	36.6956
KCNQ3	KCNQ3	3786	0.108251	0.427611	2.57422	0.440989	0.167535	0.396849	2.43316	0.603038	0.123161	0.858123	3.70191	0.60338	0.238152	0.495607	0.877844	0.349913	0.164271	0.512497	0.348531	0.345856	0.610093	2.71788	0.955538	0.91407
KCNQ4	KCNQ4	9132	0.387002	0.783267	0.258323	0.174109	0.386951	0.635205	0.24561	0.206863	0.323459	0.349854	0.0841392	0.170246	0.2614	0.215056	0.248582	0.168343	0.238273	0.179987	0.160018	0.220443	0.130879	0.106525	0.210632	0.172788
KCNQ5	KCNQ5	56479	0.26096	0.508015	0.529551	1.81748	0.207013	0.447812	0.758397	1.70318	0.435356	1.10076	1.80571	3.03835	0.577196	0.324358	0.45111	0.516638	0.707539	0.380889	1.16634	0.925236	1.20674	0.833957	3.5126	0.531858
KCNRG	KCNRG	283518	0.256603	1.96297	0.277671	1.69048	0.746587	1.37874	0.409212	1.28353	0.24749	1.74552	0.532421	1.38242	0.0872988	0.96273	0.516652	0.916965	0.495845	1.06495	1.24971	0.297801	0.746901	0.44036	1.08919	0.912002
KCNS3	KCNS3	3790	10.559	7.62305	0.150049	0.531578	9.784	6.15464	0.0200051	0.260293	16.802	6.73769	0.143705	1.11571	20.0371	5.39389	0.0228334	0.664168	24.1803	5.70525	0.41798	26.9216	6.92672	0.0468159	1.39331	0.112977
KCNT2	KCNT2	343450	1.98603	5.05534	3.32298	4.50767	2.3843	5.29557	2.97326	4.92597	3.06574	6.19455	3.49532	7.23411	3.62994	3.98467	2.94008	3.29281	4.23422	4.39601	3.47309	3.92014	3.9165	5.08012	6.33608	2.23404
KCNV2	KCNV2	169522	0.19376	0.0968948	0.115085	0.114165	0.245249	0.310206	0.085941	0.116446	0.231589	0.275676	0.154286	0.293529	0.173019	0.205278	0.122687	0.142644	0.0663443	0.240799	0.0898125	0.187659	0.103318	0.075462	0.0475118	0.145664
KCP	KCP	375616	0.188982	0.0569596	0.0775292	0.103872	0.156039	0	0.044229	0.0824179	0.318939	0.103284	0.0473845	0.0395954	0.468206	0.169273	0.109837	0.0446997	0.309468	0.0423362	0.0459237	0.383032	0.161144	0	0.0103976	0.181063
KCTD1	KCTD1	284252	6.71188	8.79061	8.30323	22.8197	6.08029	9.66418	5.92254	26.5457	6.70031	9.93791	7.60859	39.0824	12.586	8.44821	12.2441	32.3551	9.87018	8.18852	35.0909	12.2674	8.89549	7.7702	34.4048	13.0649
KCTD10	KCTD10	83892	21.8304	28.6201	38.5851	82.9802	30.4122	34.0244	45.3443	63.9591	27.5937	33.8516	30.1005	63.8959	30.6885	31.9436	45.8373	52.4248	28.8287	32.9659	67.8412	37.2003	33.0708	49.3668	67.4429	52.1309
KCTD11	KCTD11	147040	5.04583	8.31638	6.82234	4.60142	4.85549	6.68557	5.41226	4.95505	3.47274	4.33987	4.62977	2.97889	5.55469	7.06994	7.83827	5.58272	5.36305	6.36549	5.42353	4.2341	4.59108	4.82736	3.10941	7.54875
KCTD12	KCTD12	115207	52.4434	8.63341	9.60976	15.9094	61.2197	9.78238	8.43264	11.0707	76.4533	9.08048	9.41945	8.43862	46.9555	45.2147	13.4964	8.75545	51.9173	42.8192	8.74509	41.3066	17.9202	8.62916	11.2989	12.4757
KCTD13	KCTD13	253980	7.489	7.20717	13.9174	9.30883	8.4411	7.84007	15.1733	8.09736	6.6354	8.07885	12.0749	9.54819	8.638	10.7554	15.0824	9.49192	7.8416	8.52383	8.46015	8.60833	8.17027	12.9738	8.40854	13.5285
KCTD14	KCTD14	65987	1.61761	0.677813	0.272622	0.546754	1.31057	0.653288	0.236833	0.332463	1.32463	0.64203	0.322308	0.432558	2.29985	1.93804	0.39259	1.03059	1.75023	1.34328	0.662462	1.64275	1.59067	0.0980209	0.338638	0.48246
KCTD15	KCTD15	79047	16.1379	24.0272	12.491	20.8686	16.1891	25.8192	12.5123	12.5061	13.465	18.621	8.97539	15.3554	23.0928	28.5705	13.4455	14.3685	19.5528	26.5909	13.3258	15.5968	20.114	7.4915	13.8688	13.213
KCTD16	KCTD16	57528	0.193357	0.370742	0.246945	0.774453	0.464175	0.325383	0.200687	0.713004	0.303263	0.462371	0.350882	0.281844	0.162723	0.332219	1.43872	0.439749	0.581009	0.478183	0.448275	0.200791	0.251818	1.5417	0.222393	1.32899
KCTD17	KCTD17	79734	20.1716	33.4906	21.5175	22.4433	17.1355	31.7796	21.9602	20.7921	25.6177	36.839	29.4299	28.281	24.1112	35.9121	29.4497	31.4287	22.9356	30.9754	30.4636	29.6461	37.7666	22.6336	31.7451	29.9931
KCTD18	KCTD18	130535	5.20449	3.85613	7.36775	4.7355	5.93781	4.12537	6.01622	5.88776	4.82602	4.36629	6.91132	5.26302	5.97359	4.8133	6.9318	6.28716	5.60049	5.272	6.95387	5.65585	4.76439	6.98843	5.41757	6.75658
KCTD2	KCTD2	23510	12.6206	19.2521	16.7162	20.5383	11.8573	18.5931	15.1955	19.3573	11.3981	17.4198	17.081	20.3928	14.3747	16.0564	18.2333	18.0309	13.3938	15.2305	19.7199	11.7182	14.5775	17.5414	20.4476	17.463
KCTD20	KCTD20	222658	29.6429	24.8904	37.9606	35.2238	46.4699	26.4526	34.3176	36.0129	41.2478	23.8151	35.0683	34.8976	45.0565	30.6789	33.1484	30.2281	42.3049	29.7609	34.2453	45.644	29.3447	38.7919	31.9391	36.242
KCTD21	KCTD21	283219	3.74864	5.30122	7.28227	6.32174	5.26135	4.40188	7.00292	6.65216	6.18787	5.37639	6.46473	8.99586	4.8103	4.11097	6.59631	6.19995	4.59548	4.56185	6.79448	6.18944	6.96789	8.70476	9.39673	7.11734
KCTD21-AS1	KCTD21-AS1	100289388	3.56387	8.36918	1.23006	5.94595	2.67553	5.07091	1.1919	8.59863	3.15125	5.39496	1.72669	6.20188	2.8493	6.19962	1.54846	5.75955	3.26282	4.55279	4.37737	3.02699	4.51169	1.28927	7.19525	1.79429
KCTD3	KCTD3	51133	20.1339	25.3426	27.6094	29.4208	22.1885	26.4377	30.212	28.2434	24.6308	28.8302	28.3689	28.6532	22.1678	23.9448	27.3143	26.4382	23.7781	27.5122	26.5145	25.6062	24.9425	27.1027	27.4553	25.8782
KCTD4	KCTD4	386618	0.0860891	0.115589	0.0274244	0.118359	0.0366201	0.113803	0.127989	0.138765	0.120046	0.0821523	0.316371	0.116771	0.0772891	0.0271987	0.146414	0.08452	0.0263628	0	0.026779	0.250238	0	0.240296	0.340136	0.151019
KCTD5	KCTD5	54442	18.0348	15.788	33.8359	17.0935	15.8554	15.7005	34.0187	14.6709	15.7895	16.8562	29.9629	17.4273	19.1357	19.9662	31.0797	20.8245	14.2423	16.5641	18.8083	18.2586	19.0593	28.7636	17.4343	26.4775
KCTD6	KCTD6	200845	15.3847	13.0603	25.2367	12.5753	12.3063	13.5953	23.5786	17.4577	12.4846	16.3158	18.8184	14.7689	11.3102	12.8481	24.1295	14.7018	11.5988	12.4638	18.121	13.5484	18.6626	21.25	12.5947	20.0849
KCTD7	KCTD7	154881	9.24761	11.9533	12.9897	13.1306	11.7516	11.129	10.8763	15.3262	10.1215	12.0098	8.33543	12.4018	14.6596	12.4947	13.7323	11.9863	13.7914	13.1148	12.3834	11.1639	8.11861	11.4455	12.2855	12.0865
KCTD8	KCTD8	386617	0.0461271	0.161206	0	0.798318	0	0.178758	0.017893	0.387838	0.0192814	0.153325	0	0.778949	0.0180131	0.531328	0.0204046	0.55972	0.0184036	0.309394	0.336101	0	0.172032	0	0.355697	0
KCTD9	KCTD9	54793	8.9683	13.6081	10.9887	13.2886	11.4722	17.6294	12.4718	11.8093	14.6191	12.9797	13.0068	11.4798	12.7183	11.2968	9.76047	9.025	16.3706	11.4662	11.0803	16.1666	15.2397	15.2199	12.5683	11.8717
KCTD9P2	KCTD9P2	643535	0.0667817	0.296308	0.223652	0.332908	0.531108	0.290719	0.416461	0.621637	0.562405	0.335482	0.320311	0.240158	0.314153	0.167161	0.120401	0.496067	0.37746	0.43058	0.329843	0.197552	0.505122	0.185947	0.174539	0.119414
KDELR1	KDELR1	10945	160.693	92.4483	112.805	100.667	116.504	85.1602	132.657	105.188	136.747	92.9874	125.012	117.466	134.231	113.271	132.261	129.978	136.857	113.57	129.235	154.848	162.085	123.632	105.546	125.515
KDELR2	KDELR2	11014	118.614	56.8327	103.715	78.1168	103.809	62.6939	112.615	75.2995	102.713	65.5856	104.613	88.537	112.852	86.7668	92.6728	81.7273	96.4133	83.4446	75.4028	139.162	107.547	96.5784	91.3156	90.2593
KDELR3	KDELR3	11015	14.2837	3.56094	8.10107	3.11134	10.7625	4.21575	12.6422	2.50464	8.51872	3.35955	14.466	3.72347	20.8067	13.2851	8.55464	6.28246	17.2048	13.2888	5.521	17.5579	17.8384	5.39653	4.61569	9.17741
KDM1A	KDM1A	23028	81.1885	127.864	67.4449	76.0688	84.3087	121.789	75.0822	76.6353	95.3939	133.628	79.5173	85.2348	90.0185	107.789	64.057	78.1931	100.618	110.165	76.2313	100.583	114.198	69.3592	77.6498	65.6174
KDM1B	KDM1B	221656	4.20871	6.29532	7.67616	7.11918	7.87359	7.06317	7.75195	6.68623	6.50208	7.31473	9.66947	8.10789	5.36285	6.49925	8.60196	6.078	6.89485	7.52611	7.55686	6.45594	7.01927	10.6957	9.19347	8.68192
KDM2A	KDM2A	22992	18.5313	24.4776	18.8476	24.0497	25.7854	24.747	19.5446	21.6811	21.5743	23.2042	15.5519	23.2612	24.6792	22.9125	17.8819	19.0295	24.7779	20.3668	21.0659	23.3493	17.5854	17.5197	17.5855	17.5396
KDM2B	KDM2B	84678	1.01983	6.25796	1.06388	1.87371	2.10228	5.72539	1.04117	3.70108	2.43742	1.52001	0.581818	4.08443	7.46477	3.09765	1.15356	1.08181	1.63146	2.81998	1.19158	1.13835	0.935867	0.248959	1.75826	4.40938
KDM3A	KDM3A	55818	22.3094	28.6822	21.4158	23.8452	30.5265	25.6173	24.6064	23.1692	29.502	27.027	14.6871	25.5138	35.9089	23.0413	17.3765	19.2701	59.5726	26.0299	21.1185	24.6104	18.3859	19.7088	20.9625	15.7366
KDM3B	KDM3B	51780	32.4364	63.5422	36.58	54.9	42.5676	60.6566	31.9974	59.2204	45.5136	49.3075	25.2992	49.5704	39.1972	43.0361	44.7991	43.5263	44.8095	48.5758	44.7078	36.4803	32.12	39.6645	45.7033	44.987
