	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	Ctrl_Fam.Veh.R1	Ctrl_NIH1.Veh.R1	BD_NR.Li.R1	BD_R.Li.R1	Ctrl_Fam.Li.R1	Ctrl_NIH1.Li.R1	BD_NR.Val.R1	BD_R.Val.R1	Ctrl_Fam.Val.R1	Ctrl_NIH1.Val.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Ctrl_Fam.Veh.R2	Ctrl_NIH1.Veh.R2	BD_NR.Li.R2	BD_R.Li.R2	Ctrl_NIH1.Li.R2	BD_NR.Val.R2	BD_R.Val.R2	Ctrl_Fam.Val.R2	Ctrl_NIH1.Val.R2	Ctrl_Fam.Li.R2
DOK6	DOK6	220164	1.62397	1.78896	2.73259	1.33951	2.09208	1.37417	2.99254	1.57055	1.63887	1.36426	2.12642	1.41428	0.902595	0.793506	1.83068	1.2947	0.976468	0.849785	1.1993	0.942749	1.15295	1.27012	1.64683	1.91271
DOK7	DOK7	285489	25.2699	0.431836	0.540481	0.0879283	15.2335	0.544498	0.637605	0.0538992	4.04469	0.257285	0.236121	0.0941779	2.56391	0.11561	0.585129	0.110926	1.66564	0.14749	0.0432178	1.55236	0.152045	0.266661	0.133155	0.801737
DOLK	DOLK	22845	10.5536	9.90216	16.0565	11.058	9.57146	9.02575	13.1809	10.7163	8.85612	8.13369	15.9064	11.0028	12.5862	12.2708	17.2517	13.7453	8.644	9.66335	13.6593	10.5092	10.2054	15.811	10.1856	17.3257
DOLPP1	DOLPP1	57171	10.4867	16.1108	14.8376	14.8205	8.5476	16.2139	14.8964	15.2277	10.1339	14.8663	13.761	14.5455	13.7899	19.3232	17.2279	15.1162	9.35221	14.9868	16.8515	10.8984	15.05	15.2532	15.5665	16.9595
DONSON	DONSON	29980	29.4477	27.1941	26.4351	31.4831	21.0742	27.7486	21.5365	30.6205	22.6795	21.1999	24.7636	22.2499	34.103	29.6696	29.0476	29.2228	27.6662	30.8133	29.1898	26.7046	26.2914	18.584	30.1638	29.8049
DOT1L	DOT1L	84444	12.1473	40.9001	13.1574	30.4687	20.5607	41.079	12.5303	23.8345	14.7155	35.1507	11.8501	23.3021	14.6092	26.5821	18.8636	19.5201	12.6161	18.2344	16.0094	13.328	11.3425	13.223	24.1524	17.6152
DPAGT1	DPAGT1	1798	16.5748	23.1763	20.9053	18.733	22.3255	23.4013	21.7713	18.2321	22.3761	21.4924	23.1455	16.6781	28.4087	21.2346	23.3706	19.6024	23.9558	18.909	20.9139	30.5	23.3419	16.1756	20.7837	26.3434
DPCD	DPCD	25911	31.6028	23.989	27.2787	19.0358	21.704	20.2892	34.6958	20.5546	21.8318	24.1207	45.1587	25.4773	28.272	27.5919	27.9263	31.0947	36.4519	27.3598	28.2009	24.3903	36.9301	25.8171	23.3869	29.9017
DPF1	DPF1	8193	4.12664	26.0496	6.24841	24.2443	3.97901	28.0081	7.18866	15.846	6.75877	24.9339	9.30541	19.3588	6.31299	27.5308	11.1064	13.0903	6.11752	22.4966	16.012	7.68372	18.6621	11.7944	21.9703	11.9248
DPF2	DPF2	5977	40.8884	48.166	38.3506	44.3307	42.4545	43.4801	42.0456	40.4825	35.2473	40.5976	37.2399	39.6653	41.4351	47.5097	44.7564	46.6052	40.9339	42.9119	43.0666	31.657	34.5593	37.8426	40.3953	44.4378
DPF3	DPF3	8110	0.220058	0.518891	10.8731	6.0419	0.300499	0.750509	7.93455	4.92623	0.425208	1.13073	11.1954	6.97451	0.495452	0.876252	14.5381	6.62335	0.234032	0.556605	7.32421	1.29477	2.09195	15.5313	7.70004	15.0311
DPH1	DPH1	1801	12.5515	13.712	13.247	14.058	16.1445	12.7771	10.9986	13.1892	13.6677	13.4265	13.0946	17.1741	14.4588	15.9253	17.5039	16.6	13.5103	11.9642	14.2264	10.9177	12.0102	13.1117	11.3605	16.423
DPH2	DPH2	1802	10.9463	11.9689	12.7996	11.2389	10.5115	12.431	13.1336	7.71737	12.8178	11.2216	13.9534	9.28331	13.2094	13.0496	13.5689	10.2576	7.23659	11.3958	9.79634	10.2765	12.4911	12.0585	8.13149	13.0972
DPH3	DPH3	285381	25.7868	20.793	19.8717	16.0347	25.5306	20.6198	20.4202	15.2841	23.1847	24.0377	19.9979	19.3636	22.4561	20.8822	17.4436	15.1169	17.01	19.8414	16.3317	28.7214	26.4071	21.9055	18.2696	17.3681
DPH3P1	DPH3P1	100132911	0.707976	0.544915	2.13806	1.91368	1.91628	1.63224	3.04814	1.41461	1.30469	0.920095	1.84276	3.60722	2.71153	1.72054	1.32095	3.86712	0.915872	1.38271	1.95238	1.95338	1.8566	2.23917	1.95162	3.24652
DPH5	DPH5	51611	54.2356	24.4582	25.8359	20.9331	39.8556	22.1174	29.7297	25.8598	35.0822	23.8373	27.9828	23.0295	31.8373	25.0851	27.3946	28.116	36.301	29.243	31.0126	31.1885	33.6429	23.8081	21.1566	30.7216
DPH6	DPH6	89978	4.15163	9.34628	9.64648	10.6214	8.43654	9.28001	10.7877	10.3097	5.72203	11.513	13.0176	12.536	8.43028	4.07552	11.5729	9.6887	9.83759	7.38813	7.13613	8.55802	9.81541	14.574	12.4874	10.5333
DPH7	DPH7	92715	30.8963	27.0562	21.048	26.4081	28.4392	27.2266	20.0274	27.5026	25.5177	27.042	20.1921	22.9882	28.0066	30.322	25.2652	26.3754	28.1351	27.1578	27.726	23.7571	21.1823	20.6815	25.4849	28.534
DPM1	DPM1	8813	64.4148	34.3106	28.8721	30.0419	40.8503	39.7637	36.9634	32.372	39.3392	37.5669	41.8795	29.7098	36.2683	36.8069	29.9811	34.0256	33.8173	38.3149	32.5264	41.021	43.6502	33.9493	33.185	30.2101
DPM2	DPM2	8818	21.3314	22.7419	27.9629	22.7782	15.8501	21.9816	30.0638	18.356	20.2162	20.0214	32.5981	21.0742	22.1061	23.7091	36.2208	26.6676	19.0775	24.2615	23.7587	24.2849	29.7714	31.7913	20.4012	35.431
DPM3	DPM3	54344	81.5103	40.5162	40.3835	38.6846	40.3287	28.3011	40.0339	44.6606	43.5417	29.8179	38.9301	44.407	43.3315	48.7071	51.2735	63.7417	41.8978	40.4607	51.0322	35.5613	51.0482	43.3036	57.0911	52.1301
DPP10	DPP10	57628	1.57165	4.67468	9.55149	18.4908	2.3591	3.41546	5.85048	16.4173	6.45794	10.1999	13.8497	41.7455	3.35305	3.95633	18.462	19.8836	5.65511	5.60471	19.2751	6.57975	6.37858	22.7929	36.0882	14.1069
DPP10-AS1	DPP10-AS1	389023	0.709164	0.455131	1.62143	2.62617	0.353367	0.177991	1.50616	1.72339	0.686528	1.36785	1.62536	3.18271	1.35444	0.427402	5.37721	5.00662	1.07352	0.501429	2.70452	0.812186	0.775322	3.54583	5.57414	5.16047
DPP3	DPP3	10072	14.501	22.3828	22.2999	17.6021	14.0235	23.7498	25.42	15.7218	11.5927	19.8144	23.3058	17.3997	17.0294	22.0757	24.1157	24.1152	15.5552	22.7027	23.018	15.0277	20.6592	18.8127	16.9787	27.7309
DPP4	DPP4	1803	0.596185	0.233687	3.20642	1.32231	0.640732	0.471124	2.52865	1.28416	2.22014	0.231556	2.01489	0.843953	2.79469	0.438388	4.89007	1.23353	2.77569	0.326329	0.896781	7.0215	1.11613	2.17634	0.425433	4.06881
DPP6	DPP6	1804	0.324403	2.37956	16.0639	0.0207303	0.413254	1.6405	9.99044	0.0422963	2.05319	2.51365	20.3088	0.0316377	0.916335	0.841978	16.0089	0.0706712	0.954323	0.73007	0	2.26732	1.54512	27.0567	0.0561342	15.787
DPP7	DPP7	29952	23.9361	6.5664	32.1209	11.4363	16.771	7.33022	32.6373	9.8242	15.2456	6.31748	32.8759	17.8443	20.6254	9.31044	57.4147	19.535	18.7798	5.60359	16.6747	15.7885	6.63252	42.3373	12.3869	56.4112
DPP8	DPP8	54878	8.31354	11.494	13.0459	13.4756	15.1183	10.6669	12.186	12.6487	10.5971	10.6813	9.49068	12.6495	10.3778	8.31253	10.9398	8.287	10.3079	8.7485	10.0312	12.5317	7.29604	15.2045	10.4129	9.96949
DPP9	DPP9	91039	11.3878	12.4847	13.1223	9.20424	10.23	12.5616	14.4131	9.3645	12.7399	10.7312	10.047	9.62935	13.2632	13.7127	14.3459	10.3404	10.7205	12.1748	11.3904	14.5348	11.7029	12.1214	10.0611	12.6985
DPPA2	DPPA2	151871	0.0923939	0.366252	0	0.229415	0	0.240069	0.0359305	0.350772	0	0.384992	0	0.781978	0.0361542	0.72753	0	0.648926	0.0741876	0.442343	0.679151	0.135366	0.485814	0	0.439218	0
DPPA4	DPPA4	55211	5.01957	76.9428	1.20526	64.0863	7.50633	87.1947	1.94227	53.3125	11.0386	56.4949	2.41373	93.0828	8.55836	54.2666	0	57.2881	10.9633	63.4481	58.5158	13.0522	52.9881	1.05172	79.5378	0.0920146
DPY19L1	DPY19L1	23333	15.7699	14.8626	49.164	17.0562	16.7851	16.6003	45.3334	18.1733	24.1299	15.2912	38.6321	15.1586	18.9108	16.7373	42.8565	18.5274	17.1882	16.8461	17.4726	26.5842	20.6099	36.3489	17.1066	35.6167
