	X	rxnList	subSystem	GPR	FluxSpan_a	FluxSpan_b	Flux_Span_Ratio	Var7	Var8
111	338	HMR_2994	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152655	1.54969607983845	L	[r]
112	339	HMR_2998	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
113	340	HMR_2999	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
114	341	HMR_3001	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
115	342	HMR_3002	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
116	343	HMR_3003	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]
213	487	MI145PK	Inositol phosphate metabolism	3706.1 or 80271.1 or 3707.1	758.26565143824	487.593744882921	1.55511767613079	L	[c]
235	536	PI3P4K	Inositol phosphate metabolism	55361.1 or 5297.1 or 8394.1 or 23396.1 or 8395.1 or 5298.1	758.265651438241	487.593744882921	1.5551176761308	L	[c]
238	540	PI5P4K	Inositol phosphate metabolism	5297.1 or 55361.1 or 5298.1	758.265651438241	243.79687244146	3.1102353522616	L	[c]
239	541	PIK3	Inositol phosphate metabolism	(5295.2 and 5291.1) or (23533.1 and 5294.1) or (5290.1 and 5295.1) or (5293.1 and 5295.3) or 5287.1 or 5286.1 or (5293.1 and 5296.1) or (5295.2 and 5293.1) or (5296.1 and 5291.1) or (5290.1 and 5295.3) or 5288.1 or (5290.1 and 8503.1) or (5291.1 and 5295.3) or (10870.1 and 5294.1) or (5291.1 and 8503.1) or (5293.1 and 5295.1) or (5296.1 and 5290.1) or 5289.1 or (5293.1 and 8503.1) or (5291.1 and 5295.1) or (5295.2 and 5290.1)	758.265651438241	487.593744882921	1.5551176761308	L	[c]
