subSystem	disrupted_module	rxnList	MetabolicUnits	Localization	rxnFormula
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC13C11m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + tridcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + undcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC15C13m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + ptdcacoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + tridcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC5C3x	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + pentcoa[m]  -> h[m] + nadh[m] + accoa[m] + ppcoa[m] + fadh2[m] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC7C5m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + hepcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + pentcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC9C7m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + noncoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hepcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	C141ACBP	NA	intercompartmental	3tetd7ecoa[m]  <=> 3tetd7ecoa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	C141OHc	carnitine shuttle	[c]	crn[c] + 3tetd7ecoa[c]  <=> coa[c] + 3tetd7ecoacrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	C141OHe	NA	intercompartmental	3tetd7ecoacrn[c]  -> 3tetd7ecoacrn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC141C141OHm	betaoxidation	[m]	h2o[m] + fad[m] + tetd7ecoa[m]  -> fadh2[m] + 3tetd7ecoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3340	NA	[x]	nad[x] + CE5148[x]  -> h[x] + nadh[x] + CE5144[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_2739	NA	[c]	crn[c] + CE4854[c]  <=> coa[c] + M00261[c] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3433	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 6 fad[m] + CE4854[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 6 fadh2[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3057	NA	[x]	o2[x] + hexccoa[x]  -> h2o2[x] + M00049[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3058	NA	[x]	h2o[x] + M00049[x]  -> M00783[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3065	NA	[x]	coa[x] + CE2253[x]  -> accoa[x] + docoscoa[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3066	NA	[x]	o2[x] + docoscoa[x]  -> h2o2[x] + CE2242[x] 
Fatty acid oxidation	MTA_BD_NR_abs	r1443	betaoxidation	[x]	ddcacoa[x] + o2[x]  -> h2o2[x] + dd2coa[x] 
Fatty acid oxidation	MTA_BD_NR_abs	C16OHc	carnitine shuttle	[c]	crn[c] + 3hexdcoa[c]  <=> coa[c] + 3hexdcrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC16C16OHm	betaoxidation	[m]	h2o[m] + fad[m] + pmtcoa[m]  -> fadh2[m] + 3hexdcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HDECAACBP	NA	intercompartmental	3hexdcoa[m]  <=> 3hexdcoa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	HEXDCRNe	NA	intercompartmental	3hexdcrn[c]  -> 3hexdcrn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	C8DCc	carnitine shuttle	[c]	crn[c] + sbcoa[c]  <=> coa[c] + c8dc[c] 
Fatty acid oxidation	MTA_BD_NR_abs	SUBERCACT	NA	intercompartmental	c8dc[x]  <=> c8dc[c] 
Fatty acid oxidation	MTA_BD_NR_abs	SUBERCROT	carnitine shuttle	[x]	crn[x] + sbcoa[x]  <=> coa[x] + c8dc[x] 
Fatty acid oxidation	MTA_BD_NR_abs	PTDCACRNCPT1	carnitine shuttle	[c]	crn[c] + ptdcacoa[c]  <=> coa[c] + ptdcacrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	sink_c81coa[c]	NA	[c]	c81coa[c]  <=> 
Fatty acid oxidation	MTA_BD_NR_abs	C81CPT1	carnitine shuttle	[c]	crn[c] + c81coa[c]  <=> coa[c] + c81crn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	C81CRNe	NA	intercompartmental	c81crn[c]  -> c81crn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3067	NA	[x]	h2o[x] + CE2242[x]  -> CE2246[x] 
Fatty acid oxidation	MTA_BD_NR_abs	C120CPT1	carnitine shuttle	[c]	crn[c] + ddcacoa[c]  <=> coa[c] + ddeccrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	DDECCRNe	NA	intercompartmental	ddeccrn[c]  -> ddeccrn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	r1253	NA	[r]	atp[r] + 8 h[r] + coa[r] + strdnc[r]  -> amp[r] + ppi[r] + stcoa[r] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC1811603m	betaoxidation	[m]	5 h2o[m] + 5 nad[m] + 5 coa[m] + 4 fad[m] + odecoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + 4 fadh2[m] + occoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	ACACT6p	betaoxidation	[x]	coa[x] + 3otdcoa[x]  -> accoa[x] + ddcacoa[x] 
Fatty acid oxidation	MTA_BD_NR_abs	r0719	betaoxidation	[x]	nad[x] + 3htdcoa[x]  -> h[x] + nadh[x] + 3otdcoa[x] 
Fatty acid oxidation	MTA_BD_NR_abs	r0721	betaoxidation	[x]	h2o[x] + HC01412[x]  -> 3htdcoa[x] 
Fatty acid oxidation	MTA_BD_NR_abs	r1444	betaoxidation	[x]	tdcoa[x] + o2[x]  -> h2o2[x] + HC01412[x] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC16C14m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + pmtcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + tdcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	C181OHc	carnitine shuttle	[c]	crn[c] + 3octdece1coa[c]  <=> coa[c] + 3octdece1crn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC181C181OHm	betaoxidation	[m]	h2o[m] + fad[m] + octdececoa[m]  -> fadh2[m] + 3octdece1coa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HOCTDACBP	NA	intercompartmental	3octdece1coa[m]  <=> 3octdece1coa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	OCTDECCACT	carnitine shuttle	intercompartmental	octdececrn[c]  <=> octdececrn[m] 
Fatty acid oxidation	MTA_BD_NR_abs	OCTDECCPT1	carnitine shuttle	[c]	crn[c] + octdececoa[c]  <=> coa[c] + octdececrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	OCTDECCPT2	carnitine shuttle	[m]	coa[m] + octdececrn[m]  <=> crn[m] + octdececoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	OCTDECE1CRNe	NA	intercompartmental	3octdece1crn[c]  -> 3octdece1crn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	sink_octdececoa[c]	NA	[c]	octdececoa[c]  <=> 
Fatty acid oxidation	MTA_BD_NR_abs	DOCO13EFATP	NA	intercompartmental	atp[c] + coa[c] + doco13ac[e]  -> amp[c] + ppi[c] + doco13ecoa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	3HBCOARc	NA	intercompartmental	3hbcoa_R[m]  <=> 3hbcoa_R[c] 
Fatty acid oxidation	MTA_BD_NR_abs	BCRNe	NA	intercompartmental	3bcrn[c]  -> 3bcrn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	C4OHc	carnitine shuttle	[c]	crn[c] + 3hbcoa_R[c]  <=> coa[c] + 3bcrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3178	NA	[m]	fad[m] + hpdcacoa[m]  -> fadh2[m] + M00046[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3179	NA	[m]	h2o[m] + M00046[m]  -> M00780[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3180	NA	[m]	nad[m] + M00780[m]  -> h[m] + nadh[m] + M00875[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3181	NA	[m]	coa[m] + M00875[m]  -> accoa[m] + ptdcacoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	C18OHc	carnitine shuttle	[c]	crn[c] + 3hodcoa[c]  <=> coa[c] + 3octdeccrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC18C18OHm	betaoxidation	[m]	h2o[m] + fad[m] + stcoa[m]  -> fadh2[m] + 3hodcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HOCDACBP	NA	intercompartmental	3hodcoa[m]  <=> 3hodcoa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	HOCTDECCRNe	NA	intercompartmental	3octdeccrn[c]  -> 3octdeccrn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	C162ACBP	NA	intercompartmental	3thexddcoa[m]  <=> 3thexddcoa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	C162OHc	carnitine shuttle	[c]	crn[c] + 3thexddcoa[c]  <=> coa[c] + 3thexddcoacrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	C162OHe	NA	intercompartmental	3thexddcoacrn[c]  -> 3thexddcoacrn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC162C162OHm	betaoxidation	[m]	h2o[m] + fad[m] + thexddcoa[m]  -> fadh2[m] + 3thexddcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3068	NA	[x]	nad[x] + CE2246[x]  -> h[x] + nadh[x] + CE2250[x] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC2251836m	betaoxidation	[m]	2 h2o[m] + 2 nad[m] + 2 coa[m] + dcsptn1coa[m]  -> 2 h[m] + 2 nadh[m] + 2 accoa[m] + lnlncgcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	C100CPT1	carnitine shuttle	[c]	crn[c] + dcacoa[c]  <=> coa[c] + c10crn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	C10CRNe	NA	intercompartmental	c10crn[c]  -> c10crn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	C141CPT1	carnitine shuttle	[c]	crn[c] + tetdece1coa[c]  <=> coa[c] + tetdece1crn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	sink_tetdece1coa[c]	NA	[c]	tetdece1coa[c]  <=> 
Fatty acid oxidation	MTA_BD_NR_abs	TETDECE1CRNe	NA	intercompartmental	tetdece1crn[c]  -> tetdece1crn[e] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC18480m	betaoxidation	intercompartmental	5 h2o[m] + 5 nad[m] + 5 coa[m] + fad[m] + strdnccoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + fadh2[m] + occoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC182806m	betaoxidation	[m]	5 h2o[m] + 5 nad[m] + 5 coa[m] + 3 fad[m] + lnlccoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + 3 fadh2[m] + occoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	EICOSTETCPT2	carnitine shuttle	[m]	coa[m] + eicostetcrn[m]  <=> crn[m] + eicostetcoa[m] 
Fatty acid oxidation	MTA_BD_NR_abs	EICOSTETCPT1	carnitine shuttle	[c]	crn[c] + eicostetcoa[c]  <=> coa[c] + eicostetcrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_0414	NA	[c]	h2o[c] + adrncoa[c]  -> h[c] + coa[c] + adrn[c] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_0342	NA	[c]	h2o[c] + hexccoa[c]  -> h[c] + coa[c] + hexc[c] 
Fatty acid oxidation	MTA_BD_NR_abs	FACOAL150	fatty acid activation, cytosol	[c]	atp[c] + coa[c] + ptdca[c]  -> amp[c] + ppi[c] + ptdcacoa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	FACOAL245_1	fatty acid activation, cytosol	[c]	atp[c] + coa[c] + tetpent6[c]  -> amp[c] + ppi[c] + tetpent6coa[c] 
Fatty acid oxidation	MTA_BD_NR_abs	r1259	NA	[r]	atp[r] + coa[r] + lnlnca[r]  -> amp[r] + ppi[r] + lnlncgcoa[r] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_2693	NA	[c]	crn[c] + M00101[c]  <=> coa[c] + M00100[c] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3414	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 6 fad[m] + M00101[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 6 fadh2[m] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3326	NA	[x]	o2[x] + M02112[x]  -> h2o2[x] + M03016[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3327	NA	[x]	h2o[x] + M03016[x]  -> M00715[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3328	NA	[x]	nad[x] + M00715[x]  -> h[x] + nadh[x] + M00879[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3342	NA	[x]	o2[x] + odecoa[x]  -> h2o2[x] + HC10856[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3344	NA	[x]	nad[x] + HC10857[x]  -> h[x] + nadh[x] + HC10858[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3346	NA	[x]	o2[x] + M01191[x]  -> h2o2[x] + M03019[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3349	NA	[x]	coa[x] + M00849[x]  -> accoa[x] + M01141[x] 
Fatty acid oxidation	MTA_BD_NR_abs	FAOXC121x	betaoxidation	[x]	dd3coa[x]  -> dd2coa[x] 
Fatty acid oxidation	MTA_BD_NR_abs	HMR_3353	NA	[x]	coa[x] + M00885[x]  -> accoa[x] + dd3coa[x] 
