SYMBOL	ENTREZID	HT.1	HT.4	HT.5	HT.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
CCDC59	29080	34.9302	33.6505	37.1051	32.1479	cerebral-cortex	glial-cells	Medium	Approved
CCDC6	8030	10.0609	12.2613	12.7992	16.0286	NA	NA	NA	NA
CCDC61	729440	2.25334	3.08507	1.97768	2.05936	NA	NA	NA	NA
CCDC62	84660	1.1993	0.890713	0.829653	0.972516	NA	NA	NA	NA
CCDC65	85478	9.29085	5.73658	5.37361	5.43115	NA	NA	NA	NA
CCDC66	285331	21.9924	26.4938	33.8299	28.3879	cerebral-cortex	glial-cells	Medium	Approved
CCDC68	80323	0.159162	0.129868	0.112301	0	cerebral-cortex	glial-cells	Low	Supported
CCDC69	26112	1.36402	0.608696	1.62659	0.360473	NA	NA	NA	NA
CCDC7	79741	20.3155	13.9115	11.3016	15.3068	NA	NA	NA	NA
CCDC71	64925	14.4992	11.0733	9.84798	7.7193	NA	NA	NA	NA
CCDC71L	168455	6.39454	5.19932	3.93733	7.18385	NA	NA	NA	NA
CCDC73	493860	0.856492	2.16999	1.45589	2.33462	NA	NA	NA	NA
CCDC74A	90557	3.39771	5.47967	3.79979	3.10218	NA	NA	NA	NA
CCDC74B	91409	0.966042	5.34104	4.04793	3.81275	NA	NA	NA	NA
CCDC77	84318	23.0779	18.3189	30.2548	25.6998	cerebral-cortex	glial-cells	Medium	Approved
CCDC78	124093	2.46665	3.29325	2.01376	3.43292	NA	NA	NA	NA
CCDC8	83987	19.966	14.8457	8.76804	8.29911	NA	NA	NA	NA
CCDC80	151887	24.6605	36.5226	14.7026	42.2073	NA	NA	NA	NA
CCDC81	60494	5.2178	3.01142	2.97973	2.31836	NA	NA	NA	NA
CCDC82	79780	37.1518	31.7039	47.7286	47.9019	NA	NA	NA	NA
CCDC85B	11007	20.0976	16.3996	12.6198	14.3373	NA	NA	NA	NA
CCDC85C	317762	5.53779	16.5576	8.01635	6.54932	NA	NA	NA	NA
CCDC86	79080	4.98535	5.38629	5.27661	3.22651	cerebral-cortex	glial-cells	Medium	Enhanced
CCDC87	55231	0.249413	0.188589	0.263746	0.204263	NA	NA	NA	NA
CCDC88A	55704	48.4453	53.1044	89.0004	43.1764	NA	NA	NA	NA
CCDC88B	283234	1.42166	1.78348	1.48014	2.08632	NA	NA	NA	NA
CCDC88C	440193	15.396	19.6708	22.8068	15.38	cerebral-cortex	glial-cells	High	Approved
CCDC89	220388	1.58378	0.355195	0.321424	0.701539	NA	NA	NA	NA
CCDC9	26093	11.8098	13.5854	14.6646	7.45198	cerebral-cortex	glial-cells	Low	Approved
CCDC90B	60492	86.5476	72.7971	52.7616	83.3949	cerebral-cortex	glial-cells	Low	Supported
CCDC91	55297	30.421	31.5313	29.0448	25.3049	cerebral-cortex	glial-cells	Medium	Approved
CCDC92	80212	12.4878	8.46317	12.2669	10.103	cerebral-cortex	glial-cells	Medium	Approved
CCDC93	54520	34.4165	31.3989	36.708	24.6733	NA	NA	NA	NA
CCDC96	257236	0.988746	0.930538	0.514009	0.828481	NA	NA	NA	NA
CCDC97	90324	7.98856	6.15952	8.48112	7.31813	cerebral-cortex	glial-cells	Low	Enhanced
CCER2	643669	0.0968263	0.163087	0.408333	0.94209	NA	NA	NA	NA
CCHCR1	54535	0.342856	2.14438	1.49527	0	NA	NA	NA	NA
CCKAR	886	0.234548	1.40912	0.0992105	0.199074	NA	NA	NA	NA
CCL2	6347	105.072	106.376	136.025	52.8486	NA	NA	NA	NA
CCL27	10850	0.804316	0.874731	0.218952	0.324551	NA	NA	NA	NA
CCM2	83605	40.7764	28.8818	26.303	23.6717	NA	NA	NA	NA
CCNA1	8900	1.6237	2.89287	1.52354	0.560067	NA	NA	NA	NA
CCNA2	890	8.3577	19.5994	33.4636	13.5302	NA	NA	NA	NA
CCNB1	891	22.8913	41.2429	47.9949	32.1728	NA	NA	NA	NA
CCNB1IP1	57820	25.9164	26.3699	24.9972	25.7704	NA	NA	NA	NA
CCNB2	9133	15.8437	22.4235	32.0372	14.094	NA	NA	NA	NA
CCNC	892	24.1853	27.1456	25.9946	27.9438	NA	NA	NA	NA
CCND1	595	12.9256	11.4191	3.28706	8.96667	NA	NA	NA	NA
CCND2	894	138.498	147.267	226.211	106.593	NA	NA	NA	NA
CCND2-AS1	103752584	6.02647	2.03368	9.94322	4.57367	NA	NA	NA	NA
CCND3	896	16.7324	13.2674	15.4569	15.0943	NA	NA	NA	NA
CCNDBP1	23582	11.8329	10.1826	9.1585	5.33693	cerebral-cortex	glial-cells	Medium	Supported
CCNE1	898	2.61816	4.41182	6.2094	2.73523	NA	NA	NA	NA
CCNE2	9134	3.82298	6.58872	27.2206	5.40936	cerebral-cortex	glial-cells	Medium	Enhanced
CCNF	899	4.78986	8.1157	13.0006	4.76418	NA	NA	NA	NA
CCNG1	900	77.713	76.42	50.6855	64.9446	cerebral-cortex	glial-cells	Medium	Supported
CCNG2	901	12.7117	18.7762	22.3078	17.6292	cerebral-cortex	glial-cells	Low	Approved
CCNH	902	56.6744	53.463	55.7571	52.7198	NA	NA	NA	NA
CCNI	10983	68.131	61.2278	87.2271	74.941	NA	NA	NA	NA
CCNI2	645121	6.88296	6.0761	5.01379	3.24855	NA	NA	NA	NA
CCNJ	54619	7.49072	8.45717	12.2574	7.19107	cerebral-cortex	glial-cells	Low	Approved
CCNJL	79616	5.74553	4.45375	6.80652	4.45702	NA	NA	NA	NA
CCNJP2	100418724	0.185184	0.29023	0.469981	0.52392	NA	NA	NA	NA
CCNK	8812	4.80992	4.69748	11.1572	10.4331	cerebral-cortex	glial-cells	High	Supported
CCNL1	57018	76.1882	64.7338	93.5217	72.8178	NA	NA	NA	NA
CCNL2	81669	69.7948	59.7574	71.9434	75.4678	cerebral-cortex	glial-cells	Medium	Supported
CCNT1	904	16.1955	14.9667	18.6859	14.846	NA	NA	NA	NA
CCNT2	905	29.5554	25.332	35.622	26.4354	cerebral-cortex	glial-cells	High	Supported
CCNT2-AS1	100129961	18.8376	9.67092	10.6662	12.315	NA	NA	NA	NA
CCNY	219771	39.3943	34.0848	31.9535	30.0209	cerebral-cortex	glial-cells	Low	Approved
CCNYL1	151195	6.49995	7.6419	18.0456	7.40487	NA	NA	NA	NA
CCP110	9738	8.0943	12.9348	18.0755	13.0864	cerebral-cortex	glial-cells	Medium	Approved
CCPG1	9236	23.0804	19.5286	18.6754	23.306	cerebral-cortex	glial-cells	Low	Approved
CCR10	2826	2.84321	1.15408	0.564841	1.28211	NA	NA	NA	NA
CCS	9973	7.0773	15.5743	21.1638	8.39783	NA	NA	NA	NA
CCSAP	126731	10.3281	39.0514	91.6317	23.9869	cerebral-cortex	glial-cells	High	Enhanced
CCSER1	401145	0.0286923	0.706539	3.07079	1.90417	NA	NA	NA	NA
CCSER2	54462	30.8952	30.1865	25.8676	27.3599	cerebral-cortex	glial-cells	Low	Approved
CCT2	10576	173.211	154.187	180.536	161.266	cerebral-cortex	glial-cells	Low	Enhanced
CCT3	7203	289.022	202.898	169.99	248.977	cerebral-cortex	glial-cells	High	Approved
CCT4	10575	85.3905	69.0847	62.7258	79.4548	NA	NA	NA	NA
CCT4P2	100131638	0.0529001	0.0690899	0.2797	0.299328	NA	NA	NA	NA
CCT5	22948	170.214	142.073	163.171	155.219	cerebral-cortex	glial-cells	Medium	Enhanced
CCT5P1	402226	1.00573	0.591089	0.850821	1.45827	NA	NA	NA	NA
CCT5P2	390415	0.250373	0.163499	0.26476	0.247923	NA	NA	NA	NA
CCT6A	908	91.5273	85.2318	95.2989	113.887	cerebral-cortex	glial-cells	Low	Supported
CCT6B	10693	1.20351	2.68908	1.22663	1.3945	NA	NA	NA	NA
CCT6P2	391739	0.460709	0.267425	0.216526	0.506889	NA	NA	NA	NA
CCT6P3	643180	0.747176	1.07891	1.66129	1.41335	NA	NA	NA	NA
CCT7	10574	297.035	249.381	235.98	203.191	cerebral-cortex	glial-cells	Medium	Approved
CCT7P1	442267	0.227413	0.132005	0.42753	0.107234	NA	NA	NA	NA
CCT8	10694	75.2729	67.5556	70.7704	83.1221	cerebral-cortex	glial-cells	Low	Enhanced
CCT8P1	644131	0.415986	0.415462	0.388139	0.380762	NA	NA	NA	NA
CCZ1	51622	8.04539	5.49867	7.52917	13.2739	NA	NA	NA	NA
CCZ1B	221960	15.547	13.0073	21.8264	12.43	NA	NA	NA	NA
CD101	9398	3.78197	5.16905	5.20926	3.0784	NA	NA	NA	NA
CD109	135228	1.04752	0.616919	0.504916	0.615201	NA	NA	NA	NA
CD14	929	0.100385	0.064313	0.105999	0.299109	NA	NA	NA	NA
CD151	977	69.6212	81.6711	61.9669	69.035	NA	NA	NA	NA
CD164	8763	62.3446	61.5806	43.201	57.6809	NA	NA	NA	NA
CD180	4064	0.0141096	0.331701	0.149204	0.0399187	NA	NA	NA	NA
CD200	4345	7.77234	7.39228	8.80323	10.0293	cerebral-cortex	glial-cells	Medium	Approved
CD226	10666	0.935001	0.703638	0.964389	1.90708	NA	NA	NA	NA
CD247	919	0.0407244	0.514082	0.160525	0.107378	NA	NA	NA	NA
CD248	57124	0.1965	0.157931	0.0799198	0.384877	NA	NA	NA	NA
CD24P4	938	9.4732	11.5476	12.6889	5.36028	NA	NA	NA	NA
CD27	939	0.144267	0.125868	0.210965	0.29848	NA	NA	NA	NA
CD27-AS1	678655	0.953932	1.48769	5.86054	3.08651	NA	NA	NA	NA
CD274	29126	0.141688	0.185044	0.0359711	0.223576	NA	NA	NA	NA
CD276	80381	80.1348	90.0639	63.9364	63.3772	cerebral-cortex	glial-cells	Low	Enhanced
CD2AP	23607	7.6085	6.94719	8.03002	4.90535	NA	NA	NA	NA
