SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
CCND2-AS1	103752584	4.34262	1.63287	1.29793	1.6585	NA	NA	NA	NA
CCND3	896	95.8243	14.0336	73.4063	19.4885	NA	NA	NA	NA
CCNDBP1	23582	15.4787	19.4579	12.3989	18.9735	cerebral-cortex	glial-cells	Medium	Supported
CCNE1	898	9.69097	15.8484	14.8478	9.56828	NA	NA	NA	NA
CCNE2	9134	4.10162	9.68357	7.84348	9.08924	cerebral-cortex	glial-cells	Medium	Enhanced
CCNF	899	13.6353	18.3553	16.2476	13.0411	NA	NA	NA	NA
CCNG1	900	294.625	118.202	173.588	120.036	cerebral-cortex	glial-cells	Medium	Supported
CCNG2	901	79.1442	45.135	72.3102	35.0178	cerebral-cortex	glial-cells	Low	Approved
CCNH	902	22.1355	18.6167	14.1967	16.7252	NA	NA	NA	NA
CCNI	10983	167.989	191.165	140.802	192.36	NA	NA	NA	NA
CCNI2	645121	0.84435	0.0928366	0.862713	0.540572	NA	NA	NA	NA
CCNJ	54619	11.0793	39.8135	14.6893	28.4941	cerebral-cortex	glial-cells	Low	Approved
CCNJL	79616	4.49621	15.8016	8.16809	15.4866	NA	NA	NA	NA
CCNK	8812	21.5868	37.1921	31.5389	30.484	cerebral-cortex	glial-cells	High	Supported
CCNL1	57018	46.6741	62.3222	36.1914	44.8062	NA	NA	NA	NA
CCNL2	81669	135.518	148.469	126.467	125.021	cerebral-cortex	glial-cells	Medium	Supported
CCNO	10309	0.0886978	0	0.0694041	0	NA	NA	NA	NA
CCNT1	904	9.0194	15.6054	12.3474	13.0678	NA	NA	NA	NA
CCNT2	905	17.295	33.7887	19.3456	23.88	cerebral-cortex	glial-cells	High	Supported
CCNT2-AS1	100129961	2.14776	3.87388	1.76113	2.3817	NA	NA	NA	NA
CCNY	219771	41.0696	22.543	38.7155	23.4448	cerebral-cortex	glial-cells	Low	Approved
CCNYL1	151195	12.9856	12.0923	14.6323	16.3637	NA	NA	NA	NA
CCP110	9738	9.64042	23.1346	16.7425	19.1086	cerebral-cortex	glial-cells	Medium	Approved
CCPG1	9236	8.63359	8.95602	15.3248	13.9419	cerebral-cortex	glial-cells	Low	Approved
CCR10	2826	1.26415	0.413094	1.53168	0.738009	NA	NA	NA	NA
CCS	9973	35.9458	6.52493	26.905	13.0789	NA	NA	NA	NA
CCSAP	126731	5.76443	5.81443	7.33521	5.91141	cerebral-cortex	glial-cells	High	Enhanced
CCSER1	401145	0.137058	0.218775	0.249901	0.269024	NA	NA	NA	NA
CCSER2	54462	7.14592	14.0415	11.8258	13.0694	cerebral-cortex	glial-cells	Low	Approved
CCT2	10576	194.38	195.265	170.522	167.013	cerebral-cortex	glial-cells	Low	Enhanced
CCT3	7203	181.774	137.049	176.328	146.986	cerebral-cortex	glial-cells	High	Approved
CCT4	10575	171.293	115.092	141.776	119.066	NA	NA	NA	NA
CCT4P2	100131638	0.243685	0.107118	0.0953083	0.403243	NA	NA	NA	NA
CCT5	22948	239.939	221.438	253.658	219.435	cerebral-cortex	glial-cells	Medium	Enhanced
CCT5P1	402226	0.502236	0.169704	0.0604297	0.0319446	NA	NA	NA	NA
CCT6A	908	175.319	159.725	149.456	145.753	cerebral-cortex	glial-cells	Low	Supported
CCT6B	10693	1.46174	3.2218	1.42401	3.06047	NA	NA	NA	NA
CCT6P1	643253	0.0562168	0.347905	1.54129	0.701227	NA	NA	NA	NA
CCT6P3	643180	1.72517	2.74426	1.84866	2.20887	NA	NA	NA	NA
CCT7	10574	256.972	224.84	244.433	211.719	cerebral-cortex	glial-cells	Medium	Approved
CCT8	10694	230.227	132.472	169.003	134.632	cerebral-cortex	glial-cells	Low	Enhanced
CCT8P1	644131	1.24118	0.462434	0.705911	0.404163	NA	NA	NA	NA
CCZ1	51622	30.3844	25.0635	16.5812	30.1639	NA	NA	NA	NA
CCZ1B	221960	20.0114	17.9126	17.3133	17.4683	NA	NA	NA	NA
CD101	9398	2.26702	1.10153	2.11276	2.36322	NA	NA	NA	NA
CD109	135228	3.16754	0.52026	3.35996	2.09804	NA	NA	NA	NA
CD14	929	0.302739	0.234867	0.266931	0.29553	NA	NA	NA	NA
CD151	977	118.486	52.1711	62.3074	55.3647	NA	NA	NA	NA
CD164	8763	136.498	25.4772	117.163	51.4214	NA	NA	NA	NA
CD200	4345	2.85292	35.709	5.88554	30.3041	cerebral-cortex	glial-cells	Medium	Approved
CD226	10666	0.531204	0.347696	0.316183	0.174883	NA	NA	NA	NA
CD247	919	0.49276	0.110015	0.749581	0.106097	NA	NA	NA	NA
CD248	57124	23.4152	3.01903	29.2464	13.1584	NA	NA	NA	NA
CD24P4	938	1.49186	23.5828	1.92343	6.81663	NA	NA	NA	NA
CD27	939	0.281295	0.2216	0.170357	0.144041	NA	NA	NA	NA
CD27-AS1	678655	16.2561	3.94376	16.5608	9.07348	NA	NA	NA	NA
CD274	29126	0.566023	0.0459007	0.53913	0.201758	NA	NA	NA	NA
CD276	80381	80.2353	90.5807	90.6351	129.681	cerebral-cortex	glial-cells	Low	Enhanced
CD2AP	23607	3.2873	9.53279	4.6137	8.66847	NA	NA	NA	NA
CD2BP2	10421	42.355	37.6826	43.2053	36.1997	NA	NA	NA	NA
CD302	9936	2.19373	0.473758	1.84708	2.13061	NA	NA	NA	NA
CD320	51293	37.6354	25.605	34.2836	29.8917	cerebral-cortex	glial-cells	Low	Approved
CD34	947	3.90669	2.19092	4.76825	6.8284	NA	NA	NA	NA
CD36	948	10.9194	0.0636553	1.62093	0.0651827	NA	NA	NA	NA
CD37	951	8.73797	12.7499	7.86326	7.72578	NA	NA	NA	NA
CD38	952	0.171858	0.0707808	0.609601	0.100959	NA	NA	NA	NA
CD3EAP	10849	3.26278	2.43787	3.51268	1.44878	cerebral-cortex	glial-cells	Low	Supported
CD4	920	0.275475	0	0.276102	0.12015	NA	NA	NA	NA
CD40	958	0.0769952	0.162248	0.0602148	0.742221	NA	NA	NA	NA
CD44	960	8.52572	2.80758	23.0301	11.0297	NA	NA	NA	NA
CD46	4179	48.0358	72.8296	51.9281	57.2409	NA	NA	NA	NA
CD47	961	10.7085	20.5983	12.6924	16.3699	NA	NA	NA	NA
CD55	1604	0.453265	0.752682	0.320248	0.389357	NA	NA	NA	NA
CD58	965	7.62841	5.59023	7.17571	9.26584	NA	NA	NA	NA
CD59	966	57.041	58.8468	51.68	59.4217	NA	NA	NA	NA
CD6	923	0.295657	0.0340752	0.0851474	0.127054	NA	NA	NA	NA
CD63	967	667.243	301.799	484.534	442.576	NA	NA	NA	NA
CD68	968	0.192935	0.250811	0.207853	0.557198	cerebral-cortex	glial-cells	Low	Enhanced
CD70	970	0.151851	0.20279	0.0623247	0.83591	NA	NA	NA	NA
CD72	971	1.07657	0.262743	0.744054	0.766599	NA	NA	NA	NA
CD74	972	1.0326	0.549553	1.30536	0.673527	cerebral-cortex	glial-cells	Low	Enhanced
CD81	975	232.357	97.3513	204.214	181.053	NA	NA	NA	NA
CD81-AS1	101927682	0.056106	0.198428	0.131849	0.186619	NA	NA	NA	NA
CD82	3732	35.0242	3.83937	25.201	5.0056	NA	NA	NA	NA
CD83	9308	6.56706	5.18935	4.8456	7.37977	NA	NA	NA	NA
CD9	928	11.028	1.17259	7.11778	2.29276	cerebral-cortex	glial-cells	Low	Supported
CD93	22918	0.0594867	0.552552	1.03126	0.813631	NA	NA	NA	NA
CD96	10225	0.427355	0.128588	0.113575	0.087863	NA	NA	NA	NA
CD99	4267	280.493	144.351	319.86	275.439	NA	NA	NA	NA
CD99L2	83692	2.56615	3.42283	9.70446	5.98847	cerebral-cortex	glial-cells	Low	Enhanced
CD99P1	401577	1.3253	0.831383	3.57908	1.81206	NA	NA	NA	NA
CDADC1	81602	8.60956	5.66334	7.42901	7.94406	NA	NA	NA	NA
CDAN1	146059	11.5611	9.60225	9.63074	9.19762	NA	NA	NA	NA
CDC123	8872	66.7827	73.9263	66.1712	65.9179	NA	NA	NA	NA
CDC14A	8556	1.99986	6.66335	2.30448	5.31134	cerebral-cortex	glial-cells	Low	Approved
CDC14B	8555	12.401	7.22976	8.08334	5.34612	cerebral-cortex	glial-cells	Low	Approved
CDC16	8881	51.7712	44.8857	50.8784	43.9064	cerebral-cortex	glial-cells	Medium	Approved
CDC20	991	82.6228	93.0826	70.3499	61.4037	NA	NA	NA	NA
CDC20P1	157956	1.97845	0.666476	2.04289	0.592355	NA	NA	NA	NA
CDC23	8697	25.1174	27.4542	28.5544	26.5655	cerebral-cortex	glial-cells	Low	Approved
CDC25A	993	11.8058	26.0927	16.3534	19.0313	NA	NA	NA	NA
CDC25B	994	61.3625	41.6954	35.2503	36.6913	NA	NA	NA	NA
CDC25C	995	17.2326	19.329	15.7562	13.7481	cerebral-cortex	glial-cells	Medium	Approved
CDC26	246184	28.9269	12.8228	23.5898	16.2273	cerebral-cortex	glial-cells	Medium	Approved
CDC27	996	40.5087	43.239	40.9521	33.3816	cerebral-cortex	glial-cells	Medium	Supported
CDC27P1	647696	0.624981	0.37475	0.32775	0.263912	NA	NA	NA	NA
CDC34	997	96.8796	72.1019	82.7819	77.672	cerebral-cortex	glial-cells	Medium	Approved
CDC37	11140	99.6932	84.2163	90.9024	95.3101	cerebral-cortex	glial-cells	Medium	Supported
CDC37L1	55664	6.08699	6.09484	5.3525	6.45759	cerebral-cortex	glial-cells	Low	Approved
CDC40	51362	7.18913	8.49697	8.78843	8.65221	NA	NA	NA	NA
CDC42	998	166.599	132.302	150.474	146.179	NA	NA	NA	NA
CDC42BPA	8476	9.71419	14.0566	14.8367	13.6218	NA	NA	NA	NA
CDC42BPB	9578	22.359	40.5784	33.6891	42.3222	cerebral-cortex	glial-cells	Medium	Approved
CDC42BPG	55561	0.294523	0.296088	0.458555	0.179804	NA	NA	NA	NA
CDC42EP1	11135	27.555	6.02265	32.5008	14.9082	NA	NA	NA	NA
CDC42EP2	10435	13.8003	3.03508	11.8682	8.55919	NA	NA	NA	NA
CDC42EP3	10602	9.42413	20.7945	11.6308	24.9675	cerebral-cortex	glial-cells	Medium	Approved
CDC42EP4	23580	20.2864	34.8135	25.7262	36.6241	cerebral-cortex	glial-cells	High	Approved
CDC42P1	170503	0.15171	0	0.119867	0.130141	NA	NA	NA	NA
CDC42P4	100131440	0.145743	0.133069	0.230172	0	NA	NA	NA	NA
CDC42P6	643751	11.134	9.37747	5.67324	7.95093	NA	NA	NA	NA
CDC42SE1	56882	26.9459	36.4609	33.5972	40.4019	NA	NA	NA	NA
CDC42SE2	56990	12.1483	20.6844	13.0921	17.1247	cerebral-cortex	glial-cells	Low	Enhanced
CDC45	8318	19.922	26.1576	24.8679	21.6478	NA	NA	NA	NA
CDC5L	988	16.0663	20.2326	16.234	17.3228	cerebral-cortex	glial-cells	High	Supported
CDC6	990	21.4204	27.5762	46.6107	28.1849	cerebral-cortex	glial-cells	Low	Approved
CDC7	8317	24.6082	38.11	25.2347	26.3813	NA	NA	NA	NA
CDC73	79577	17.6276	14.7362	12.5472	12.1475	cerebral-cortex	glial-cells	Low	Supported
CDCA2	157313	17.1744	17.4003	17.4824	11.9577	NA	NA	NA	NA
CDCA4	55038	26.773	22.5245	23.9423	19.5416	NA	NA	NA	NA
CDCA5	113130	30.2057	37.0227	40.4554	36.1457	NA	NA	NA	NA
CDCA7	83879	31.3043	26.1046	32.3792	21.4199	NA	NA	NA	NA
CDCA7L	55536	11.226	22.4824	16.7727	21.444	NA	NA	NA	NA
CDCA8	55143	27.0013	37.771	27.2337	25.8829	NA	NA	NA	NA
CDCP1	64866	0.00952254	0.00828038	0.341955	0.0755301	NA	NA	NA	NA
CDH10	1008	4.2587	8.00218	3.31804	8.87711	NA	NA	NA	NA
CDH11	1009	80.1099	12.6148	172.743	57.9801	NA	NA	NA	NA
