subSystem	disrupted_module	rxnList	MetabolicUnits	rxnFormula	rxnName	rxnECNumbers
Transport, extracellular	MTA_BD_R_abs	CYTDt2r	NA	h[e] + cytd[e]  <=> h[c] + cytd[c] 		
Transport, extracellular	MTA_BD_R_abs	THRPHEARGt	NA	h[e] + thrphearg[e]  <=> h[c] + thrphearg[c] 		
Transport, extracellular	MTA_BD_R_abs	ASPLYSGLUt	NA	h[e] + asplysglu[e]  <=> h[c] + asplysglu[c] 		
Transport, extracellular	MTA_BD_R_abs	r1106	NA	ribflv[e]  <=> ribflv[c] 		
Transport, extracellular	MTA_BD_R_abs	ADNCNT3tc	NA	h[e] + adn[e]  <=> h[c] + adn[c] 		
Transport, extracellular	MTA_BD_R_abs	HDCEAtr	NA	hdcea[e]  <=> hdcea[c] 		
Transport, extracellular	MTA_BD_R_abs	PHETRPLEUt	NA	h[e] + phetrpleu[e]  <=> h[c] + phetrpleu[c] 		
Transport, extracellular	MTA_BD_R_abs	HISGLYLYSt	NA	h[e] + hisglylys[e]  <=> h[c] + hisglylys[c] 		
Transport, extracellular	MTA_BD_R_abs	HMR_9191	NA	ser_D[e]  -> ser_D[c] 		
Transport, extracellular	MTA_BD_R_abs	TMNDNCt	NA	tmndnc[e]  <=> tmndnc[c] 		
Transport, extracellular	MTA_BD_R_abs	D_LACt2	MCT1 transporter	h[e] + lac_D[e]  <=> h[c] + lac_D[c] 		
Transport, extracellular	MTA_BD_R_abs	DCMPtr	NA	dcmp[e]  <=> dcmp[c] 		
Transport, extracellular	MTA_BD_R_abs	ASPPROLYSt	NA	h[e] + aspprolys[e]  <=> h[c] + aspprolys[c] 		
Transport, extracellular	MTA_BD_R_abs	INSTt4	NA	na1[e] + inost[e]  <=> na1[c] + inost[c] 		
Transport, extracellular	MTA_BD_R_abs	INSTt2r	NA	h[e] + inost[e]  <=> h[c] + inost[c] 		
Transport, extracellular	MTA_BD_R_abs	PCHOLOLE_HSABCt	NA	h2o[c] + atp[c] + pcholole_hs[c]  -> h[c] + adp[c] + pi[c] + pcholole_hs[e] 		
Transport, extracellular	MTA_BD_R_abs	PCHOLN19_HSABCt	NA	h2o[c] + atp[c] + pcholn19_hs[c]  -> h[c] + adp[c] + pi[c] + pcholn19_hs[e] 		
Transport, extracellular	MTA_BD_R_abs	TRPt4	NA	na1[e] + trp_L[e]  -> na1[c] + trp_L[c] 		
Transport, extracellular	MTA_BD_R_abs	TYRt4	NA	na1[e] + tyr_L[e]  -> na1[c] + tyr_L[c] 		
Transport, extracellular	MTA_BD_R_abs	METHISLYSt	NA	h[e] + methislys[e]  <=> h[c] + methislys[c] 		
Transport, extracellular	MTA_BD_R_abs	PALFATPtc	NA	atp[c] + coa[c] + hdca[e]  -> amp[c] + ppi[c] + pmtcoa[c] 		
Transport, extracellular	MTA_BD_R_abs	PHELYSALAt	NA	h[e] + phelysala[e]  <=> h[c] + phelysala[c] 		
Transport, extracellular	MTA_BD_R_abs	KCC2t	NA	nh4[e] + cl[e]  <=> nh4[c] + cl[c] 		
Transport, extracellular	MTA_BD_R_abs	HISLYSALAt	NA	h[e] + hislysala[e]  <=> h[c] + hislysala[c] 		
Transport, extracellular	MTA_BD_R_abs	r1116	NA	atp[c]  <=> atp[e] 		
Transport, extracellular	MTA_BD_R_abs	5AOPt	NA	2 h[c] + 5aop[c]  <=> 2 h[e] + 5aop[e] 		
Transport, extracellular	MTA_BD_R_abs	C04483t2	NA	hco3[e] + dchac[c]  <=> hco3[c] + dchac[e] 		
Transport, extracellular	MTA_BD_R_abs	ASNTYRTHRt	NA	h[e] + asntyrthr[e]  <=> h[c] + asntyrthr[c] 		
Transport, extracellular	MTA_BD_R_abs	RETINALt	NA	retinal[c]  <=> retinal[e] 		
Transport, extracellular	MTA_BD_R_abs	HISLYSILEt	NA	h[e] + hislysile[e]  <=> h[c] + hislysile[c] 		
Transport, extracellular	MTA_BD_R_abs	TRPLEUVALt	NA	h[e] + trpleuval[e]  <=> h[c] + trpleuval[c] 		
Transport, extracellular	MTA_BD_R_abs	PHELEUHISt	NA	h[e] + pheleuhis[e]  <=> h[c] + pheleuhis[c] 		
Transport, extracellular	MTA_BD_R_abs	ACETONEt2	NA	h[e] + acetone[e]  <=> h[c] + acetone[c] 		
Transport, extracellular	MTA_BD_R_abs	LYSCYSHISt	NA	h[e] + lyscyshis[e]  <=> h[c] + lyscyshis[c] 		
Transport, extracellular	MTA_BD_R_abs	GALt4	NA	na1[e] + gal[e]  <=> na1[c] + gal[c] 		
Transport, extracellular	MTA_BD_R_abs	ASPGLUPROt	NA	h[e] + aspglupro[e]  <=> h[c] + aspglupro[c] 		
Transport, extracellular	MTA_BD_R_abs	PTCRTD	NA	ptrc[e]  <=> ptrc[c] 		
Transport, extracellular	MTA_BD_R_abs	ARGPROTHRt	NA	h[e] + argprothr[e]  <=> h[c] + argprothr[c] 		
Transport, extracellular	MTA_BD_R_abs	PHPYRte	NA	h[e] + phpyr[e]  <=> h[c] + phpyr[c] 		
Transport, extracellular	MTA_BD_R_abs	PPBNGte	NA	ppbng[c]  <=> ppbng[e] 		
Transport, extracellular	MTA_BD_R_abs	r0879	NA	na1[e] + akg[e]  -> akg[c] + na1[c] 		
Transport, extracellular	MTA_BD_R_abs	2PGtr	NA	2pg[e]  <=> 2pg[c] 		
Transport, extracellular	MTA_BD_R_abs	C02356t	NA	C02356[c]  <=> C02356[e] 		
Transport, extracellular	MTA_BD_R_abs	4TMEABUTNt1	NA	na1[c] + 4tmeabutn[c]  <=> na1[e] + 4tmeabutn[e] 		
Transport, extracellular	MTA_BD_R_abs	4TMEABUTNt2	NA	h[c] + 4tmeabutn[c]  <=> h[e] + 4tmeabutn[e] 		
Transport, extracellular	MTA_BD_R_abs	3MHISt3	NA	phe_L[c] + 3mhis[e]  <=> phe_L[e] + 3mhis[c] 		
Transport, extracellular	MTA_BD_R_abs	PGLYCt	NA	pglyc_hs[e]  <=> pglyc_hs[c] 		
Transport, extracellular	MTA_BD_R_abs	r2130	NA	retn[c] + but[e]  <=> but[c] + retn[e] 		
Transport, extracellular	MTA_BD_R_abs	CE2513td	NA	nrvnc[c]  <=> nrvnc[e] 		
Transport, extracellular	MTA_BD_R_abs	URIt	NA	uri[e]  <=> uri[c] 		
Transport, extracellular	MTA_BD_R_abs	r2122	NA	but[c] + ppa[e]  <=> ppa[c] + but[e] 		
Transport, extracellular	MTA_BD_R_abs	3MOBte	NA	3mob[e]  <=> 3mob[c] 		
Transport, extracellular	MTA_BD_R_abs	2OBUTt	NA	h[e] + 2obut[e]  <=> h[c] + 2obut[c] 		
Transport, extracellular	MTA_BD_R_abs	r2112	NA	ac[e] + lac_L[c]  <=> ac[c] + lac_L[e] 		
Transport, extracellular	MTA_BD_R_abs	L_LACt2r	MCT1 transporter	h[e] + lac_L[e]  <=> h[c] + lac_L[c] 		
Transport, extracellular	MTA_BD_R_abs	GSNt2r	NA	h[e] + gsn[e]  <=> h[c] + gsn[c] 		
Transport, extracellular	MTA_BD_R_abs	NAHCO3_HCLt	NA	h[c] + hco3[e] + na1[e] + cl[c]  <=> h[e] + hco3[c] + na1[c] + cl[e] 		
Transport, extracellular	MTA_BD_R_abs	r1143	NA	na1[e] + asp_L[e]  -> na1[c] + asp_L[c] 		
Transport, extracellular	MTA_BD_R_abs	r2131	NA	bhb[c] + but[e]  <=> bhb[e] + but[c] 		
Transport, extracellular	MTA_BD_R_abs	ALAHISALAt	NA	h[e] + alahisala[e]  <=> h[c] + alahisala[c] 		
Transport, extracellular	MTA_BD_R_abs	r2116	NA	ppa[c] + for[e]  <=> for[c] + ppa[e] 		
Transport, extracellular	MTA_BD_R_abs	OROTGLUt	NA	glu_L[c] + orot[e]  <=> glu_L[e] + orot[c] 		
Transport, extracellular	MTA_BD_R_abs	CE4890te2	NA	CE4890[c]  <=> CE4890[e] 		
Transport, extracellular	MTA_BD_R_abs	CE4890te	NA	h[c] + CE4890[c]  <=> h[e] + CE4890[e] 		
Transport, extracellular	MTA_BD_R_abs	r1566	NA	ala_L[e] + pro_L[c]  <=> ala_L[c] + pro_L[e] 		
Transport, extracellular	MTA_BD_R_abs	r1579	NA	gln_L[e] + pro_L[c]  <=> gln_L[c] + pro_L[e] 		
Transport, extracellular	MTA_BD_R_abs	GABABGTtc	NA	na1[e] + 4abut[e] + cl[e]  <=> na1[c] + 4abut[c] + cl[c] 		
Transport, extracellular	MTA_BD_R_abs	ASCBt	NA	ascb_L[e]  <=> ascb_L[c] 		
Transport, extracellular	MTA_BD_R_abs	r2128	NA	retn[c] + lac_L[e]  <=> retn[e] + lac_L[c] 		
Transport, extracellular	MTA_BD_R_abs	ASCBt4	NA	na1[e] + ascb_L[e]  <=> na1[c] + ascb_L[c] 		
Transport, extracellular	MTA_BD_R_abs	r2123	NA	retn[c] + ppa[e]  <=> ppa[c] + retn[e] 		
Transport, extracellular	MTA_BD_R_abs	The	NA	h[e]  <=> h[c] 		
Transport, extracellular	MTA_BD_R_abs	ADNt	NA	adn[e]  <=> adn[c] 		
Transport, extracellular	MTA_BD_R_abs	URIt2r	NA	h[e] + uri[e]  <=> h[c] + uri[c] 		
Transport, extracellular	MTA_BD_R_abs	INSt	NA	ins[e]  <=> ins[c] 		
Transport, extracellular	MTA_BD_R_abs	DOPAENT4tc	NA	h[e] + dopa[e]  <=> h[c] + dopa[c] 		
Transport, extracellular	MTA_BD_R_abs	CYTDt	NA	cytd[e]  <=> cytd[c] 		
Transport, extracellular	MTA_BD_R_abs	r2309	NA	hco3[c] + gthrd[c] + nrpphr[e]  <=> hco3[e] + nrpphr[c] + gthrd[e] 		
Transport, extracellular	MTA_BD_R_abs	VALtec	NA	val_L[e]  <=> val_L[c] 		
Transport, extracellular	MTA_BD_R_abs	LEUtec	NA	leu_L[e]  <=> leu_L[c] 		
Transport, extracellular	MTA_BD_R_abs	r2534	NA	thr_L[e]  <=> thr_L[c] 		
Transport, extracellular	MTA_BD_R_abs	r2532	NA	asn_L[e]  <=> asn_L[c] 		
Transport, extracellular	MTA_BD_R_abs	GLYt7_211_r	NA	2 na1[e] + gly[e] + cl[e]  <=> 2 na1[c] + gly[c] + cl[c] 		
Transport, extracellular	MTA_BD_R_abs	r1423	NA	pi[c]  -> pi[e] 		
Transport, extracellular	MTA_BD_R_abs	PIt9	NA	2 na1[e] + pi[e]  <=> pi[c] + 2 na1[c] 		
Transport, extracellular	MTA_BD_R_abs	PROt4	NA	na1[e] + pro_L[e]  -> na1[c] + pro_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	SPHS1Pte	NA	sphs1p[c]  <=> sphs1p[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	13_CIS_RETNte	NA	13_cis_retn[c]  <=> 13_cis_retn[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	PPBNGte	NA	ppbng[c]  <=> ppbng[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	HMR_0388	NA	M00260[e]  -> M00260[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	GUDACtr2	NA	gudac[e]  <=> gudac[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	PCREATte	NA	pcreat[c]  <=> pcreat[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	C02356t	NA	C02356[c]  <=> C02356[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	NRPPHRt4_2_r	NA	2 na1[e] + nrpphr[e]  <=> 2 na1[c] + nrpphr[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	DOPAt4_2_r	NA	2 na1[e] + dopa[e]  <=> 2 na1[c] + dopa[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	GLCt2_2	NA	2 h[e] + glc_D[e]  <=> 2 h[c] + glc_D[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	GLYALDtr	NA	na1[e] + glyald[e]  <=> na1[c] + glyald[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	OAAt	NA	h[c] + oaa[c]  <=> h[e] + oaa[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	GALt2_2	NA	2 h[e] + gal[e]  <=> 2 h[c] + gal[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	MAGt	NA	mag_hs[e]  <=> mag_hs[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	PROt4	NA	na1[e] + pro_L[e]  -> na1[c] + pro_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	5HPETtd	NA	5HPET[c]  <=> 5HPET[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	34HPLte	NA	h[c] + 34hpl[c]  <=> h[e] + 34hpl[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	CE5304t	NA	lac_L[e] + CE5304[c]  <=> lac_L[c] + CE5304[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2095	NA	for[c] + pyr[e]  <=> pyr[c] + for[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1116	NA	atp[c]  <=> atp[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	C04805td	NA	C04805[c]  <=> C04805[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2089	NA	2hb[c] + ppa[e]  <=> 2hb[e] + ppa[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1579	NA	gln_L[e] + pro_L[c]  <=> gln_L[c] + pro_L[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2091	NA	2hb[c] + but[e]  <=> 2hb[e] + but[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	56DTHMt	NA	na1[c] + 56dthm[c]  <=> na1[e] + 56dthm[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	56DTHMtd	NA	56dthm[c]  <=> 56dthm[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1617	NA	ile_L[c] + trp_L[e]  <=> ile_L[e] + trp_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	C06439t	NA	lac_L[e] + HC02213[c]  <=> lac_L[c] + HC02213[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	D_LACt2	MCT1 transporter	h[e] + lac_D[e]  <=> h[c] + lac_D[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	L_LACt4r	NA	na1[e] + lac_L[e]  <=> na1[c] + lac_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1662	NA	hom_L[e] + ile_L[c]  <=> hom_L[c] + ile_L[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2097	NA	lac_L[c] + pyr[e]  <=> pyr[c] + lac_L[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2098	NA	but[c] + pyr[e]  <=> pyr[c] + but[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	CALAtr	NA	cala[e]  <=> cala[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	THMtrbc	NA	thm[e]  <=> thm[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	DHEASt	NA	hco3[c] + dheas[e]  <=> hco3[e] + dheas[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2343	NA	dheas[e]  <=> dheas[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2096	NA	ppa[c] + pyr[e]  <=> pyr[c] + ppa[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	HISt4	NA	na1[e] + his_L[e]  -> na1[c] + his_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	PPASMCT1	NA	na1[e] + ppa[e]  <=> na1[c] + ppa[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1604	NA	met_L[e] + val_L[c]  <=> met_L[c] + val_L[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	FATP8t	NA	na1[c] + lgnc[c]  <=> na1[e] + lgnc[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2122	NA	but[c] + ppa[e]  <=> ppa[c] + but[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	THMt3	NA	h[c] + thm[e]  <=> h[e] + thm[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	HMR_9652	NA	homoval[c]  -> homoval[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	NACUP	NA	nac[e]  -> nac[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	The	NA	h[e]  <=> h[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1650	NA	thr_L[c] + pro_L[e]  <=> thr_L[e] + pro_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	HOMOVALte	NA	homoval[c] + akg[e]  <=> akg[c] + homoval[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	FATP5t	NA	na1[c] + arachd[c]  <=> na1[e] + arachd[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	HCO3_CLt	NA	hco3[e] + cl[c]  <=> hco3[c] + cl[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	CRVNCtr	NA	crvnc[e]  <=> crvnc[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	FATP7t	NA	na1[c] + crvnc[c]  <=> na1[e] + crvnc[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1602	NA	met_L[e] + pro_L[c]  <=> met_L[c] + pro_L[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1088	NA	h[e] + cit[e]  <=> h[c] + cit[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2086	NA	2hb[c] + pyr[e]  <=> pyr[c] + 2hb[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	ARGt4	NA	na1[e] + arg_L[e]  -> na1[c] + arg_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	NACSMCTte	NA	na1[e] + nac[e]  <=> na1[c] + nac[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2344	NA	bildglcur[e]  <=> bildglcur[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	ABUTt4_2_r	NA	2 na1[e] + 4abut[e]  <=> 2 na1[c] + 4abut[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	TYRt4	NA	na1[e] + tyr_L[e]  -> na1[c] + tyr_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1566	NA	ala_L[e] + pro_L[c]  <=> ala_L[c] + pro_L[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r0974	NA	na1[e] + pnto_R[e]  <=> na1[c] + pnto_R[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2125	NA	but[c] + acac[e]  <=> acac[c] + but[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2353	NA	bilglcur[e]  <=> bilglcur[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	NAHCO3_HCLt	NA	h[c] + hco3[e] + na1[e] + cl[c]  <=> h[e] + hco3[c] + na1[c] + cl[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2117	NA	for[e] + lac_L[c]  <=> for[c] + lac_L[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1593	NA	ser_L[e] + val_L[c]  <=> ser_L[c] + val_L[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	LEUt4	NA	na1[e] + leu_L[e]  -> na1[c] + leu_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	GLYSNAT5tc	NA	h[c] + na1[e] + gly[e]  <=> h[e] + na1[c] + gly[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2079	NA	acac[c] + pyr[e]  <=> pyr[c] + acac[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2131	NA	bhb[c] + but[e]  <=> bhb[e] + but[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	VALt4	NA	na1[e] + val_L[e]  -> na1[c] + val_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	KHte	NA	h[c] + k[e]  <=> h[e] + k[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	56DURAtd	NA	56dura[c]  <=> 56dura[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2106	NA	akg[e] + but[c]  <=> akg[c] + but[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1554	NA	gly[e] + val_L[c]  <=> gly[c] + val_L[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	PYRSMCT1	NA	na1[e] + pyr[e]  <=> pyr[c] + na1[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	56DURAt	NA	na1[c] + 56dura[c]  <=> na1[e] + 56dura[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	LYStiDF	NA	lys_L[e]  -> lys_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	TCHOLAte	NA	tchola[e]  <=> tchola[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2129	NA	bhb[c] + lac_L[e]  <=> bhb[e] + lac_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2082	NA	acac[c] + ppa[e]  <=> ppa[c] + acac[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2090	NA	2hb[c] + lac_L[e]  <=> 2hb[e] + lac_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	BALAPAT1tc2	NA	2 na1[e] + cl[e] + cala[e]  <=> 2 na1[c] + cl[c] + cala[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2118	NA	but[c] + for[e]  <=> for[c] + but[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2112	NA	ac[e] + lac_L[c]  <=> ac[c] + lac_L[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	C05953t	NA	lac_L[e] + HC02203[c]  <=> lac_L[c] + HC02203[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	NH4t3r	NA	nh4[c] + h[e]  <=> h[c] + nh4[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r2368	NA	prostgh2[e]  <=> prostgh2[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	MMAt2e	NA	mma[c]  <=> mma[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	MMAte	NA	h[c] + mma[e]  <=> h[e] + mma[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	PROSTGE2t2	NA	prostge2[e]  <=> prostge2[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	3AIBSYMPt	NA	2 na1[e] + 3aib[e]  <=> 2 na1[c] + 3aib[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	3AIBt1	NA	h[e] + 3aib[e]  <=> h[c] + 3aib[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	ALADGLYexR	NA	ala_D[e] + gly[c]  <=> ala_D[c] + gly[e] 		
Transport, extracellular	MTA_BD_R_norm_t1	r1648	NA	asn_L[c] + pro_L[e]  <=> asn_L[e] + pro_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t1	PYRt2r	NA	h[e] + pyr[e]  <=> h[c] + pyr[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	HMR_7898	NA	itp[c]  <=> itp[e] 		
Transport, extracellular	MTA_BD_R_norm_t2	pac	NA	pac[c]  <=> pac[e] 		
Transport, extracellular	MTA_BD_R_norm_t2	XYLUDte	NA	xylu_D[c]  <=> xylu_D[e] 		
Transport, extracellular	MTA_BD_R_norm_t2	GLYALDtr	NA	na1[e] + glyald[e]  <=> na1[c] + glyald[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	ABT_Dt2	NA	h[e] + abt_D[e]  <=> h[c] + abt_D[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	BUTSMCT1	NA	na1[e] + but[e]  <=> na1[c] + but[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	HISGLUt	NA	h[e] + hisglu[e]  <=> h[c] + hisglu[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	GLNTYRLEUt	NA	h[e] + glntyrleu[e]  <=> h[c] + glntyrleu[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	HMR_0770	NA	gluside_hs[c]  <=> gluside_hs[e] 		
Transport, extracellular	MTA_BD_R_norm_t2	15KPROSTGF2t	NA	lac_L[e] + 15kprostgf2[c]  <=> lac_L[c] + 15kprostgf2[e] 		
Transport, extracellular	MTA_BD_R_norm_t2	ASPGLUTRPt	NA	h[e] + aspglutrp[e]  <=> h[c] + aspglutrp[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	ASPMETASPt	NA	h[e] + aspmetasp[e]  <=> h[c] + aspmetasp[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	2OXOADPt	NA	2oxoadp[c] + akg[e]  <=> akg[c] + 2oxoadp[e] 		
Transport, extracellular	MTA_BD_R_norm_t2	PROt4	NA	na1[e] + pro_L[e]  -> na1[c] + pro_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	HC00342te	NA	3 na1[c] + HC00342[c]  <=> 3 na1[e] + HC00342[e] 		
Transport, extracellular	MTA_BD_R_norm_t2	3HPPt	NA	3hpp[c]  <=> 3hpp[e] 		
Transport, extracellular	MTA_BD_R_norm_t2	r1143	NA	na1[e] + asp_L[e]  -> na1[c] + asp_L[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	ASPt6	NA	h[e] + 3 na1[e] + k[c] + asp_L[e]  -> h[c] + 3 na1[c] + asp_L[c] + k[e] 		
Transport, extracellular	MTA_BD_R_norm_t2	PIt9	NA	2 na1[e] + pi[e]  <=> pi[c] + 2 na1[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	D_LACt2	MCT1 transporter	h[e] + lac_D[e]  <=> h[c] + lac_D[c] 		
Transport, extracellular	MTA_BD_R_norm_t2	FATP9t	NA	na1[c] + nrvnc[c]  <=> na1[e] + nrvnc[e] 		
Transport, extracellular	MTA_BD_R_norm_t2	r1636	NA	cys_L[e] + pro_L[c]  <=> cys_L[c] + pro_L[e] 		
