	reactionIdentifier	lineWidth	color
354	r_HMR_2771	3	#0000FF
355	r_HMR_3424	3	#0000FF
356	r_HMR_3196	3	#0000FF
357	r_C161OHc	3	#0000FF
358	r_FAOXC161C161OHm	3	#0000FF
359	r_HDECEACBP	3	#0000FF
360	r_HEDCECRNe	3	#0000FF
376	r_r1448	3	#0000FF
377	r_PTDCACRNCPT2	3	#0000FF
381	r_r1450	3	#0000FF
382	r_HMR_3522	3	#0000FF
383	r_C182OHc	3	#0000FF
384	r_FAOXC182C182OHm	3	#0000FF
385	r_HOCTDEC2CRNe	3	#0000FF
386	r_OCTDEC2ACBP	3	#0000FF
387	r_HMR_3407	3	#0000FF
388	r_FAOXC182806m	3	#0000FF
390	r_HMR_0201	3	#0000FF
391	r_HMR_0290	3	#0000FF
392	r_DOCOSACTDr	3	#0000FF
394	r_HMR_3116	3	#0000FF
395	r_HMR_3117	3	#0000FF
396	r_HMR_3118	3	#0000FF
398	r_FAOXC16C14m	3	#0000FF
399	r_r1253	3	#0000FF
400	r_FAOXC101C102m	3	#0000FF
404	r_HMR_2733	3	#0000FF
405	r_HMR_3431	3	#0000FF
407	r_DCIm	3	#0000FF
408	r_HMR_3234	3	#0000FF
409	r_HMR_3235	3	#0000FF
410	r_HMR_3236	3	#0000FF
411	r_HMR_3237	3	#0000FF
