SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
EIF2B3	8891	30.4626	20.7774	cerebral-cortex	glial-cells	Medium	Supported
EIF2B4	8890	41.2648	34.5268	NA	NA	NA	NA
EIF2B5	8893	28.2973	26.2786	NA	NA	NA	NA
EIF2D	1939	0.355217	0.327434	NA	NA	NA	NA
EIF2S1	1965	113.192	109.273	cerebral-cortex	glial-cells	Low	Supported
EIF2S2	8894	92.8419	78.8981	cerebral-cortex	glial-cells	Medium	Approved
EIF2S2P3	283014	1.12399	0.991695	NA	NA	NA	NA
EIF2S2P4	728350	21.7563	17.3674	NA	NA	NA	NA
EIF2S3	1968	74.9223	75.0107	NA	NA	NA	NA
EIF3A	8661	78.7859	87.4547	NA	NA	NA	NA
EIF3B	8662	81.4253	78.5957	cerebral-cortex	glial-cells	Medium	Approved
EIF3C	8663	6.60317	9.2418	cerebral-cortex	glial-cells	High	Supported
EIF3CL	728689	3.89546	4.81824	cerebral-cortex	glial-cells	High	Supported
EIF3D	8664	124.872	95.8097	cerebral-cortex	glial-cells	Low	Approved
EIF3E	3646	400.184	205.672	cerebral-cortex	glial-cells	Low	Approved
EIF3EP1	3647	2.39747	2.41294	NA	NA	NA	NA
EIF3F	8665	234.848	162.653	NA	NA	NA	NA
EIF3FP3	339799	54.1532	43.7511	NA	NA	NA	NA
EIF3G	8666	150.511	100.304	cerebral-cortex	glial-cells	Medium	Approved
EIF3H	8667	171.839	122.768	cerebral-cortex	glial-cells	Medium	Approved
EIF3I	8668	139.895	114.084	cerebral-cortex	glial-cells	High	Enhanced
EIF3J	8669	85.493	82.2909	cerebral-cortex	glial-cells	Medium	Approved
EIF3K	27335	249.565	172.324	NA	NA	NA	NA
EIF3KP1	134505	0	0.184511	NA	NA	NA	NA
EIF3L	51386	662.545	332.141	NA	NA	NA	NA
EIF3LP2	143341	1.06578	0.418616	NA	NA	NA	NA
EIF3LP3	340947	1.12751	0.13624	NA	NA	NA	NA
EIF3M	10480	354.59	223.542	cerebral-cortex	glial-cells	Medium	Approved
EIF4A1	1973	474.871	452.845	NA	NA	NA	NA
EIF4A1P10	100421533	38.1542	26.4755	NA	NA	NA	NA
EIF4A1P2	359792	5.6983	2.84705	NA	NA	NA	NA
EIF4A1P7	341784	2.88661	0.460479	NA	NA	NA	NA
EIF4A2	1974	334.517	224.128	NA	NA	NA	NA
EIF4A2P2	100421579	0.124984	0.0980098	NA	NA	NA	NA
EIF4A3	9775	115.272	63.6904	cerebral-cortex	glial-cells	High	Supported
EIF4B	1975	166.207	144.47	NA	NA	NA	NA
EIF4BP2	100129337	0.103241	0.0538093	NA	NA	NA	NA
EIF4BP3	100128771	1.89571	1.19593	NA	NA	NA	NA
EIF4BP6	645579	10.8523	7.71969	NA	NA	NA	NA
EIF4BP7	643873	9.82969	8.4025	NA	NA	NA	NA
EIF4E	1977	33.8168	45.9645	cerebral-cortex	glial-cells	Medium	Supported
EIF4E2	9470	102.546	72.5126	NA	NA	NA	NA
EIF4E3	317649	1.12149	2.29839	NA	NA	NA	NA
EIF4EBP1	1978	71.3727	89.9305	cerebral-cortex	glial-cells	Low	Supported
EIF4EBP2	1979	32.9222	38.8663	NA	NA	NA	NA
EIF4EBP3	8637	4.79264	0.483086	NA	NA	NA	NA
EIF4ENIF1	56478	14.2813	15.4571	cerebral-cortex	glial-cells	High	Enhanced
EIF4G1	1981	125.739	117.824	cerebral-cortex	glial-cells	Low	Approved
EIF4G2	1982	439.887	467.217	cerebral-cortex	glial-cells	Low	Approved
EIF4G3	8672	23.6457	30.2228	cerebral-cortex	glial-cells	Medium	Enhanced
EIF4H	7458	9.70361	7.1831	cerebral-cortex	glial-cells	Medium	Approved
EIF4HP1	401316	44.4179	45.6016	NA	NA	NA	NA
EIF4HP2	100421545	2.33189	1.72629	NA	NA	NA	NA
EIF5	1983	133.78	196.315	cerebral-cortex	glial-cells	Low	Supported
EIF5A	1984	238.132	245.189	NA	NA	NA	NA
EIF5A2	56648	0.614967	1.543	cerebral-cortex	glial-cells	High	Approved
EIF5AL1	143244	3.52531	3.15466	NA	NA	NA	NA
EIF5AP3	1987	0.396091	0	NA	NA	NA	NA
EIF5AP4	642592	10.9741	8.86601	NA	NA	NA	NA
EIF5B	9669	66.6016	49.5731	cerebral-cortex	glial-cells	Low	Approved
EIF6	3692	78.0964	70.5547	cerebral-cortex	glial-cells	Low	Enhanced
ELAC1	55520	8.80769	9.97078	NA	NA	NA	NA
ELAC2	60528	17.71	21.6903	NA	NA	NA	NA
ELAVL1	1994	44.8397	56.6599	cerebral-cortex	glial-cells	Medium	Approved
ELAVL2	1993	9.78848	8.14632	cerebral-cortex	glial-cells	Low	Enhanced
ELAVL3	1995	1.3539	2.91259	cerebral-cortex	glial-cells	Low	Enhanced
ELAVL4	1996	0.476673	0.498316	cerebral-cortex	glial-cells	Medium	Enhanced
ELF1	1997	10.451	15.8816	NA	NA	NA	NA
ELF2	1998	17.3484	21.5364	cerebral-cortex	glial-cells	Medium	Enhanced
ELF3	1999	0.183947	0.13559	NA	NA	NA	NA
