SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
OLIG1	116448	0.0616134	0.182918	NA	NA	NA	NA
OLIG2	10215	0.06945	0.0542421	cerebral-cortex	glial-cells	Medium	Enhanced
OMA1	115209	8.84515	5.28502	NA	NA	NA	NA
OMG	4974	0.332819	0.191663	cerebral-cortex	glial-cells	High	Enhanced
ONECUT1	3175	0.0761529	0.178568	NA	NA	NA	NA
ONECUT2	9480	1.09596	0.488282	NA	NA	NA	NA
OPA1	4976	13.8979	22.3518	cerebral-cortex	glial-cells	Low	Supported
OPA3	80207	6.27787	5.59474	NA	NA	NA	NA
OPCML	4978	0.122686	0.769324	NA	NA	NA	NA
OPHN1	4983	1.61395	2.34405	NA	NA	NA	NA
OPN1SW	611	0.485704	0.285452	NA	NA	NA	NA
OPN3	23596	30.6385	20.3042	NA	NA	NA	NA
OPN5	221391	0.0659821	0.0260965	NA	NA	NA	NA
OPRK1	4986	0.527977	0.56418	cerebral-cortex	glial-cells	Low	Enhanced
OPRL1	4987	1.92684	1.62333	NA	NA	NA	NA
OPTN	10133	10.0284	11.2184	cerebral-cortex	glial-cells	Medium	Approved
OR13E1P	392308	0.525007	0.353074	NA	NA	NA	NA
OR1F1	4992	0	0.0573006	NA	NA	NA	NA
OR2B6	26212	0.292103	0.229144	NA	NA	NA	NA
OR2L13	284521	0	0	NA	NA	NA	NA
OR2W3	343171	0.0731095	0	NA	NA	NA	NA
OR5AK2	390181	0	0.0534598	NA	NA	NA	NA
OR6L2P	81356	0.149396	0.117252	NA	NA	NA	NA
OR7E126P	81176	1.33648	0.370212	NA	NA	NA	NA
OR7E128P	81175	0.856815	0.206682	NA	NA	NA	NA
OR7E14P	10819	0.200587	0.0524224	NA	NA	NA	NA
OR7E38P	389537	6.49654	3.41442	NA	NA	NA	NA
OR7E7P	392752	0.735484	0.262112	NA	NA	NA	NA
ORAI2	80228	10.0526	17.086	NA	NA	NA	NA
ORAI3	93129	9.65755	9.2077	NA	NA	NA	NA
ORC1	4998	6.43558	10.9615	cerebral-cortex	glial-cells	High	Approved
ORC2	4999	10.8512	14.5501	NA	NA	NA	NA
ORC3	23595	20.8449	18.48	cerebral-cortex	glial-cells	High	Enhanced
ORC4	5000	26.3466	21.9986	cerebral-cortex	glial-cells	High	Approved
ORC5	5001	13.4896	14.2185	cerebral-cortex	glial-cells	Medium	Approved
ORC6	23594	34.7259	46.8663	NA	NA	NA	NA
ORMDL1	94101	75.6136	53.2636	NA	NA	NA	NA
ORMDL2	29095	27.125	17.7334	NA	NA	NA	NA
ORMDL3	94103	32.5504	26.6397	NA	NA	NA	NA
OS9	10956	100.234	100.928	cerebral-cortex	glial-cells	Medium	Supported
OSBP	5007	19.0335	21.5099	cerebral-cortex	glial-cells	Medium	Enhanced
OSBP2	23762	1.41794	1.21575	NA	NA	NA	NA
OSBPL10	114884	4.31139	4.91005	NA	NA	NA	NA
OSBPL11	114885	8.34213	11.3576	NA	NA	NA	NA
OSBPL1A	114876	14.7808	17.6625	cerebral-cortex	glial-cells	Medium	Supported
OSBPL2	9885	8.88657	9.38197	NA	NA	NA	NA
OSBPL3	26031	2.41192	9.20708	NA	NA	NA	NA
OSBPL5	114879	7.23339	11.0768	NA	NA	NA	NA
OSBPL6	114880	4.15882	5.58047	NA	NA	NA	NA
OSBPL7	114881	4.79728	6.15876	NA	NA	NA	NA
OSBPL8	114882	10.1618	18.3928	NA	NA	NA	NA
OSBPL9	114883	52.1943	44.3344	cerebral-cortex	glial-cells	Medium	Supported
OSCP1	127700	5.33918	4.97752	cerebral-cortex	glial-cells	Medium	Approved
OSER1	51526	27.3801	24.6004	NA	NA	NA	NA
OSGEP	55644	26.3503	27.0955	NA	NA	NA	NA
OSGEPL1	64172	12.6913	9.14446	NA	NA	NA	NA
OSGEPL1-AS1	101409258	1.35358	0.931907	NA	NA	NA	NA
OSGIN1	29948	0.252431	3.49443	NA	NA	NA	NA
OSGIN2	734	5.33568	4.83089	cerebral-cortex	glial-cells	Medium	Approved
OSMR	9180	1.42675	3.9922	cerebral-cortex	glial-cells	Low	Approved
OSR1	130497	28.3098	9.9879	NA	NA	NA	NA
OSR2	116039	12.7934	4.48907	NA	NA	NA	NA
OST4	100128731	419.458	207.791	NA	NA	NA	NA
OSTC	58505	299.016	222.764	NA	NA	NA	NA
OSTCP1	202459	0.413631	0.0429005	NA	NA	NA	NA
OSTCP5	100874386	0.204552	0	NA	NA	NA	NA
OSTCP8	100874388	0	0.165601	NA	NA	NA	NA
OSTF1	26578	6.49023	7.60162	NA	NA	NA	NA
OSTM1	28962	10.9791	9.60881	NA	NA	NA	NA
OTOGL	283310	0.500517	0.196066	NA	NA	NA	NA
OTUB1	55611	56.6301	48.6073	NA	NA	NA	NA
OTUB2	78990	1.51262	1.98885	NA	NA	NA	NA
OTUD1	220213	1.40131	1.31582	NA	NA	NA	NA
OTUD3	23252	7.39067	9.48276	NA	NA	NA	NA
OTUD4	54726	15.5739	17.6871	NA	NA	NA	NA
OTUD6B	51633	7.12218	7.61336	cerebral-cortex	glial-cells	Low	Approved
OTUD7A	161725	0.0581573	0.0605443	NA	NA	NA	NA
OTX1	5013	0	0	NA	NA	NA	NA
OVCA2	124641	27.4528	21.9738	NA	NA	NA	NA
OVGP1	5016	1.25499	1.50069	NA	NA	NA	NA
OXA1L	5018	99.0746	72.838	NA	NA	NA	NA
OXCT1	5019	12.7569	18.8636	cerebral-cortex	glial-cells	Low	Enhanced
OXCT1-AS1	100874002	0.177702	0	NA	NA	NA	NA
OXER1	165140	2.70698	3.84809	NA	NA	NA	NA
OXLD1	339229	26.8658	17.3572	NA	NA	NA	NA
OXNAD1	92106	6.82332	7.1603	NA	NA	NA	NA
OXR1	55074	20.832	24.6087	cerebral-cortex	glial-cells	Low	Enhanced
OXSM	54995	8.42503	7.3971	cerebral-cortex	glial-cells	High	Enhanced
OXSR1	9943	17.7309	24.9667	cerebral-cortex	glial-cells	Low	Supported
OXTR	5021	2.42695	2.05187	NA	NA	NA	NA
P2RX3	5024	1.03496	1.17175	NA	NA	NA	NA
P2RX4	5025	4.12758	5.05865	cerebral-cortex	glial-cells	Low	Enhanced
P2RX5	5026	5.27789	1.86376	NA	NA	NA	NA
P2RX5-TAX1BP3	100533970	0.654932	0.536664	NA	NA	NA	NA
P2RX6	9127	3.98283	2.00752	NA	NA	NA	NA
P2RX6P	440799	0.581795	0.153893	NA	NA	NA	NA
P2RY1	5028	0.588038	0.622012	NA	NA	NA	NA
P2RY11	5032	6.47413	8.25028	NA	NA	NA	NA
P4HA1	5033	38.8318	60.9693	cerebral-cortex	glial-cells	Medium	Enhanced
P4HA2	8974	33.9951	33.252	NA	NA	NA	NA
P4HA3	283208	0.610223	1.87396	NA	NA	NA	NA
P4HB	5034	319.504	364.864	NA	NA	NA	NA
P4HTM	54681	5.98106	5.88955	cerebral-cortex	glial-cells	High	Supported
PA2G4	5036	85.4164	91.3492	cerebral-cortex	glial-cells	Medium	Supported
PA2G4P1	389884	0.273339	0.513786	NA	NA	NA	NA
PA2G4P2	170533	1.14464	0.853773	NA	NA	NA	NA
PA2G4P4	647033	8.54522	5.78035	NA	NA	NA	NA
PAAF1	80227	30.7404	14.5804	NA	NA	NA	NA
PABPC1	26986	580.776	500.168	NA	NA	NA	NA
PABPC1L	80336	15.1376	23.7494	NA	NA	NA	NA
PABPC1P1	26980	0	0.214218	NA	NA	NA	NA
PABPC1P3	26978	0.800675	0.47686	NA	NA	NA	NA
PABPC1P4	341315	0.819167	0.358585	NA	NA	NA	NA
PABPC3	5042	2.61305	0.908378	NA	NA	NA	NA
PABPC4	8761	138.102	81.8973	cerebral-cortex	glial-cells	Medium	Approved
PABPC4L	132430	1.44417	1.82649	NA	NA	NA	NA
PABPC5	140886	1.80685	2.68689	cerebral-cortex	glial-cells	Low	Approved
PABPN1	8106	149.56	130.759	cerebral-cortex	glial-cells	Medium	Supported
PACRG	135138	0.466113	0.323851	NA	NA	NA	NA
PACRGL	133015	10.3341	10.5703	NA	NA	NA	NA
PACS1	55690	14.0826	17.1167	cerebral-cortex	glial-cells	Medium	Approved
PACS2	23241	1.18176	4.40245	NA	NA	NA	NA
PACSIN2	11252	26.1884	28.3267	NA	NA	NA	NA
PACSIN3	29763	14.1149	19.5543	NA	NA	NA	NA
PADI2	11240	0.298649	0.219324	cerebral-cortex	glial-cells	High	Enhanced
PAF1	54623	34.7576	36.9449	cerebral-cortex	glial-cells	Medium	Approved
PAFAH1B1	5048	52.9518	70.0469	cerebral-cortex	glial-cells	Medium	Approved
PAFAH1B2	5049	28.3017	31.8046	NA	NA	NA	NA
PAFAH1B3	5050	77.098	66.5188	NA	NA	NA	NA
PAFAH2	5051	3.35404	3.41282	NA	NA	NA	NA
PAG1	55824	8.02813	6.91079	NA	NA	NA	NA
PAICS	10606	87.9221	113.354	NA	NA	NA	NA
PAICSP1	780814	0.214459	0.209919	NA	NA	NA	NA
PAICSP4	780813	1.03615	0.283957	NA	NA	NA	NA
PAIP1	10605	65.4882	59.4789	cerebral-cortex	glial-cells	Medium	Approved
PAIP2	51247	149.027	112.644	cerebral-cortex	glial-cells	Medium	Approved
PAIP2B	400961	0.372941	0.688267	NA	NA	NA	NA
PAK1	5058	11.7774	26.9376	NA	NA	NA	NA
PAK1IP1	55003	20.6745	14.9837	cerebral-cortex	glial-cells	High	Supported
PAK2	5062	17.2796	27.2319	NA	NA	NA	NA
PAK3	5063	1.57757	2.00913	NA	NA	NA	NA
PAK4	10298	12.9055	19.7193	NA	NA	NA	NA
PAK6	56924	0.0619912	0.0843124	NA	NA	NA	NA
PALB2	79728	10.8816	8.09865	cerebral-cortex	glial-cells	High	Approved
PALD1	27143	3.437	4.99767	NA	NA	NA	NA
PALLD	23022	107.284	111.934	NA	NA	NA	NA
PALM	5064	26.5718	24.9491	NA	NA	NA	NA
PALM3	342979	7.55481	20.3173	NA	NA	NA	NA
PALMD	54873	76.4711	20.891	NA	NA	NA	NA
PAM	5066	67.6194	108.172	NA	NA	NA	NA
PAM16	51025	33.3812	20.7079	NA	NA	NA	NA
PAMR1	25891	10.5217	13.0086	NA	NA	NA	NA
PAN2	9924	20.8506	20.7721	NA	NA	NA	NA
PAN3	255967	14.3378	16.7427	NA	NA	NA	NA
PAN3-AS1	100288730	2.8952	2.08032	NA	NA	NA	NA
PANK1	53354	10.9671	12.1798	NA	NA	NA	NA
PANK2	80025	17.3832	23.8351	NA	NA	NA	NA
PANK3	79646	20.5468	27.5028	NA	NA	NA	NA
PANK4	55229	11.5339	12.0033	NA	NA	NA	NA
PANX1	24145	8.98361	12.7415	NA	NA	NA	NA
PANX2	56666	0.42085	1.16226	cerebral-cortex	glial-cells	Low	Enhanced
PAOX	196743	2.8411	2.49916	NA	NA	NA	NA
PAPLN	89932	0.651199	0.862929	NA	NA	NA	NA
PAPOLA	10914	67.2941	73.3684	cerebral-cortex	glial-cells	Medium	Supported
PAPOLG	64895	7.80309	8.29442	cerebral-cortex	glial-cells	Medium	Approved
PAPPA	5069	0.918809	1.90431	NA	NA	NA	NA
PAPPA-AS1	493913	1.9211	1.09851	NA	NA	NA	NA
PAPPA2	60676	0.157565	1.40959	NA	NA	NA	NA
PAPSS1	9061	59.3584	52.7142	NA	NA	NA	NA
PAPSS2	9060	7.19978	14.9438	NA	NA	NA	NA
PAQR3	152559	13.2956	14.004	NA	NA	NA	NA
PAQR4	124222	24.3456	13.3788	NA	NA	NA	NA
PAQR5	54852	0.126451	0.321827	NA	NA	NA	NA
PAQR6	79957	5.63068	2.99238	NA	NA	NA	NA
PAQR7	164091	3.02696	5.04631	cerebral-cortex	glial-cells	Low	Approved
PAQR8	85315	3.64496	5.3199	NA	NA	NA	NA
PAQR9	344838	0.115506	0.361033	NA	NA	NA	NA
PARD3	56288	35.0107	24.6313	NA	NA	NA	NA
PARD3-AS1	100505601	0.882923	0.723971	NA	NA	NA	NA
PARD3B	117583	1.94191	2.00141	cerebral-cortex	glial-cells	Low	Approved
PARD6A	50855	2.13578	2.34487	cerebral-cortex	glial-cells	Low	Approved
PARD6B	84612	0.588016	0.859079	NA	NA	NA	NA
PARD6G	84552	11.2855	12.0311	NA	NA	NA	NA
PARG	8505	8.14946	7.39536	NA	NA	NA	NA
PARGP1	728407	0.114176	0.448649	NA	NA	NA	NA
PARK7	11315	345.5	254.909	cerebral-cortex	glial-cells	Medium	Supported
PARL	55486	66.0546	39.5631	cerebral-cortex	glial-cells	Low	Approved
PARM1	25849	24.0182	7.51693	cerebral-cortex	glial-cells	Medium	Approved
PARN	5073	9.64884	16.1442	cerebral-cortex	glial-cells	High	Supported
PARP1	142	108.284	89.8216	cerebral-cortex	glial-cells	Low	Supported
PARP10	84875	0.628832	0.291072	NA	NA	NA	NA
PARP11	57097	4.01375	5.00234	NA	NA	NA	NA
PARP12	64761	2.1133	4.62719	NA	NA	NA	NA
PARP14	54625	3.19636	6.93444	cerebral-cortex	glial-cells	Medium	Supported
PARP16	54956	8.27069	7.55221	NA	NA	NA	NA
PARP2	10038	39.1189	42.1812	NA	NA	NA	NA
PARP3	10039	2.4447	3.05289	cerebral-cortex	glial-cells	Low	Supported
PARP4	143	7.78875	14.0218	NA	NA	NA	NA
PARP6	56965	37.6216	35.9749	cerebral-cortex	glial-cells	Low	Approved
PARP8	79668	3.67311	6.51096	NA	NA	NA	NA
PARP9	83666	6.81293	3.3573	NA	NA	NA	NA
PARPBP	55010	14.5987	16.4101	cerebral-cortex	glial-cells	Medium	Approved
PARS2	25973	3.17701	3.12234	NA	NA	NA	NA
PARVA	55742	27.4625	42.8931	cerebral-cortex	glial-cells	Low	Approved
PARVB	29780	3.81001	3.3179	NA	NA	NA	NA
PASK	23178	6.26974	9.97911	NA	NA	NA	NA
PATL1	219988	11.5344	17.6639	NA	NA	NA	NA
PATL2	197135	0.397315	0.53356	NA	NA	NA	NA
PATZ1	23598	19.5265	21.5164	cerebral-cortex	glial-cells	High	Approved
PAWR	5074	9.33428	7.54425	cerebral-cortex	glial-cells	Medium	Approved
PAX2	5076	0	0.0389558	NA	NA	NA	NA
PAX3	5077	6.89554	10.1458	NA	NA	NA	NA
PAX5	5079	0	0.134609	NA	NA	NA	NA
PAX6	5080	1.37709	1.3013	NA	NA	NA	NA
PAX7	5081	9.1085	4.321	NA	NA	NA	NA
PAX8	7849	0.45059	0.929994	NA	NA	NA	NA
PAX8-AS1	654433	0.052123	0.419653	NA	NA	NA	NA
PAXBP1	94104	30.0629	28.6483	cerebral-cortex	glial-cells	Medium	Approved
PAXBP1-AS1	100506215	0.908388	1.04272	NA	NA	NA	NA
PAXIP1	22976	9.65264	9.96375	cerebral-cortex	glial-cells	Medium	Enhanced
PAXIP1-AS1	202781	4.57348	3.59403	NA	NA	NA	NA
PAXIP1-AS2	100132707	1.90171	1.9757	NA	NA	NA	NA
PBDC1	51260	0.97772	2.85761	NA	NA	NA	NA
PBK	55872	13.7996	21.3722	NA	NA	NA	NA
PBLD	64081	3.41746	2.9512	NA	NA	NA	NA
PBRM1	55193	19.4385	27.1366	NA	NA	NA	NA
PBX1	5087	16.7319	23.0048	cerebral-cortex	glial-cells	Medium	Supported
PBX2	5089	0.560773	0.506847	cerebral-cortex	glial-cells	Low	Supported
PBX2P1	5088	36.1998	39.4309	NA	NA	NA	NA
PBX3	5090	36.0371	30.4379	cerebral-cortex	glial-cells	Low	Supported
PBX4	80714	12.8064	6.28228	NA	NA	NA	NA
PBXIP1	57326	52.2794	35.7384	cerebral-cortex	glial-cells	Medium	Approved
PC	5091	43.3496	17.6244	cerebral-cortex	glial-cells	Low	Enhanced
PCAT6	100506696	3.27315	2.7283	NA	NA	NA	NA
PCAT7	101928099	1.81788	1.04769	NA	NA	NA	NA
PCBD1	5092	55.7047	32.1111	NA	NA	NA	NA
PCBD2	84105	6.16457	6.16327	NA	NA	NA	NA
PCBP1	5093	293.107	191.613	cerebral-cortex	glial-cells	Medium	Supported
PCBP1-AS1	400960	21.1768	13.8233	NA	NA	NA	NA
PCBP2	5094	451.778	369.64	NA	NA	NA	NA
PCBP2P1	101060045	0.0698082	0.218985	NA	NA	NA	NA
PCBP3	54039	3.0787	3.33038	cerebral-cortex	glial-cells	Low	Approved
PCBP4	57060	55.2712	38.7284	NA	NA	NA	NA
PCCA	5095	26.0892	18.3672	cerebral-cortex	glial-cells	Low	Enhanced
PCCB	5096	13.5508	16.1968	NA	NA	NA	NA
PCDH1	5097	1.09119	3.22155	NA	NA	NA	NA
PCDH10	57575	1.4277	0.804462	cerebral-cortex	glial-cells	High	Approved
PCDH11X	27328	0.0739227	0.194069	NA	NA	NA	NA
PCDH12	51294	0.347704	0.691613	NA	NA	NA	NA
PCDH15	65217	1.71405	1.56781	NA	NA	NA	NA
PCDH17	27253	4.03931	7.87037	NA	NA	NA	NA
PCDH18	54510	72.9675	60.0371	NA	NA	NA	NA
PCDH19	57526	4.96795	4.80928	NA	NA	NA	NA
PCDH20	64881	0.362016	0.348378	NA	NA	NA	NA
PCDH7	5099	27.7311	31.6772	NA	NA	NA	NA
PCDH8	5100	10.211	5.84039	NA	NA	NA	NA
PCDH9	5101	3.29408	4.69891	NA	NA	NA	NA
PCDHB3	56132	0.018544	0.0144774	NA	NA	NA	NA
PCDHGA1	56114	0.103403	0.084704	NA	NA	NA	NA
PCDHGA10	56106	0.375521	0.94596	NA	NA	NA	NA
PCDHGA11	56105	0.0512553	0.0390447	NA	NA	NA	NA
PCDHGA12	26025	0.0316221	0.0790816	NA	NA	NA	NA
PCDHGA2	56113	0.137599	0.232588	cerebral-cortex	glial-cells	Low	Approved
PCDHGA3	56112	0.0344329	0.190304	NA	NA	NA	NA
PCDHGA4	56111	0.27567	0.465871	NA	NA	NA	NA
PCDHGA5	56110	0.0344978	0.190584	NA	NA	NA	NA
PCDHGA6	56109	0.343933	0.359463	NA	NA	NA	NA
PCDHGA7	56108	0.206378	0.338318	NA	NA	NA	NA
PCDHGA8	9708	0.103211	0.126869	NA	NA	NA	NA
PCDHGA9	56107	0.584656	0.74007	NA	NA	NA	NA
PCDHGB1	56104	0.277746	0.298218	NA	NA	NA	NA
PCDHGB2	56103	0.310123	0.698807	NA	NA	NA	NA
PCDHGB3	56102	0.12789	0.25939	NA	NA	NA	NA
PCDHGB4	8641	1.15424	1.77853	NA	NA	NA	NA
PCDHGB6	56100	29.6851	32.15	NA	NA	NA	NA
PCDHGB7	56099	0.20754	0.785822	NA	NA	NA	NA
PCDHGB8P	56120	0	0.0484109	NA	NA	NA	NA
PCDHGC3	5098	12.3007	10.6036	cerebral-cortex	glial-cells	Low	Approved
PCDHGC4	56098	1.32638	1.97025	NA	NA	NA	NA
PCDHGC5	56097	0.302768	0.644137	cerebral-cortex	glial-cells	High	Supported
PCED1A	64773	23.2113	20.0303	cerebral-cortex	glial-cells	High	Approved
PCED1B	91523	0.354856	0.377302	NA	NA	NA	NA
PCF11	51585	14.1108	15.6079	NA	NA	NA	NA
PCGF1	84759	18.1549	10.7492	cerebral-cortex	glial-cells	High	Supported
PCGF2	7703	22.0383	25.2306	NA	NA	NA	NA
PCGF3	10336	33.4159	30.6476	NA	NA	NA	NA
PCGF5	84333	10.2765	9.76258	NA	NA	NA	NA
PCGF6	84108	10.7764	11.0408	NA	NA	NA	NA
PCID2	55795	42.6021	27.4436	NA	NA	NA	NA
PCIF1	63935	14.0686	14.3676	cerebral-cortex	glial-cells	Low	Enhanced
PCK2	5106	4.55588	10.9269	NA	NA	NA	NA
PCLO	27445	0.738687	0.52143	NA	NA	NA	NA
PCM1	5108	95.3082	70.7268	cerebral-cortex	glial-cells	Low	Enhanced
PCMT1	5110	60.5341	59.3333	NA	NA	NA	NA
PCMTD1	115294	11.6635	17.1722	NA	NA	NA	NA
PCMTD2	55251	28.5413	37.6466	cerebral-cortex	glial-cells	Low	Approved
PCNA	5111	208.62	266.203	NA	NA	NA	NA
PCNP	57092	106.167	93.3118	cerebral-cortex	glial-cells	Medium	Supported
PCNPP1	654427	1.01235	0.53415	NA	NA	NA	NA
PCNPP5	100507361	2.969	1.61834	NA	NA	NA	NA
PCNT	5116	16.1012	23.5705	NA	NA	NA	NA
PCOLCE	5118	173.428	133.801	NA	NA	NA	NA
PCOLCE-AS1	100129845	0.330633	0.268296	NA	NA	NA	NA
PCOLCE2	26577	9.01455	13.094	NA	NA	NA	NA
PCP4	5121	1.16162	0.823291	NA	NA	NA	NA
PCP4L1	654790	0.0446711	0.0349554	NA	NA	NA	NA
PCSK1	5122	0.127845	0.450004	cerebral-cortex	glial-cells	Low	Approved
PCSK1N	27344	0.511463	0	cerebral-cortex	glial-cells	Medium	Enhanced
PCSK2	5126	0.451901	0.869296	NA	NA	NA	NA
PCSK4	54760	2.43805	3.17905	NA	NA	NA	NA
PCSK5	5125	3.58476	3.43474	NA	NA	NA	NA
PCSK6	5046	0.462668	0.475073	NA	NA	NA	NA
PCSK7	9159	13.1415	14.8893	NA	NA	NA	NA
PCSK9	255738	7.06447	10.0135	NA	NA	NA	NA
PCTP	58488	11.1293	11.5774	NA	NA	NA	NA
PCYOX1	51449	25.1246	40.6208	cerebral-cortex	glial-cells	Low	Approved
PCYOX1L	78991	13.5795	10.4899	cerebral-cortex	glial-cells	Low	Approved
PCYT1A	5130	12.7813	21.7454	cerebral-cortex	glial-cells	Low	Approved
PCYT1B	9468	3.66946	4.29771	NA	NA	NA	NA
PCYT2	5833	22.3853	14.8199	cerebral-cortex	glial-cells	Low	Enhanced
PDAP1	11333	105.21	114.23	cerebral-cortex	glial-cells	Medium	Approved
PDC	5132	0	0.0409884	NA	NA	NA	NA
PDCD10	11235	32.0966	28.374	cerebral-cortex	glial-cells	Low	Approved
PDCD11	22984	14.7743	15.4275	NA	NA	NA	NA
PDCD1LG2	80380	0.0508661	0.0220446	NA	NA	NA	NA
PDCD2	5134	64.6652	45.1636	NA	NA	NA	NA
PDCD2L	84306	9.44467	6.0672	NA	NA	NA	NA
PDCD4	27250	45.2244	34.6916	cerebral-cortex	glial-cells	Medium	Enhanced
PDCD4-AS1	282997	4.28451	2.70825	NA	NA	NA	NA
PDCD5	9141	134.832	75.6529	NA	NA	NA	NA
PDCD6	10016	71.3659	64.3426	NA	NA	NA	NA
PDCD6IP	10015	26.7198	48.4908	NA	NA	NA	NA
PDCD7	10081	21.2432	15.3594	NA	NA	NA	NA
PDCL	5082	13.4303	15.3709	NA	NA	NA	NA
PDCL3	79031	32.556	24.0568	cerebral-cortex	glial-cells	Low	Approved
PDCL3P4	285359	1.96069	1.7857	NA	NA	NA	NA
PDCL3P5	644850	2.36467	0.970377	NA	NA	NA	NA
PDE10A	10846	4.83323	8.35388	NA	NA	NA	NA
PDE11A	50940	0.331796	0.724243	cerebral-cortex	glial-cells	Medium	Approved
PDE12	201626	4.11222	6.05366	cerebral-cortex	glial-cells	Medium	Approved
PDE1A	5136	0.765441	0.771524	cerebral-cortex	glial-cells	Medium	Approved
PDE1B	5153	0.0923909	0.419452	cerebral-cortex	glial-cells	Medium	Enhanced
PDE1C	5137	3.09756	2.38892	NA	NA	NA	NA
PDE2A	5138	0.10488	0.0983951	NA	NA	NA	NA
PDE3A	5139	5.22028	5.50481	NA	NA	NA	NA
PDE3B	5140	0.346291	0.357382	NA	NA	NA	NA
PDE4A	5141	2.19568	2.12865	NA	NA	NA	NA
PDE4B	5142	2.7793	4.97706	NA	NA	NA	NA
PDE4C	5143	2.16635	0.888946	NA	NA	NA	NA
PDE4D	5144	7.1766	6.32925	cerebral-cortex	glial-cells	Medium	Approved
PDE4DIP	9659	8.11688	2.05931	NA	NA	NA	NA
PDE5A	8654	5.21882	7.77318	NA	NA	NA	NA
PDE6B	5158	3.4485	1.22605	NA	NA	NA	NA
PDE6C	5146	0.159738	0.144174	NA	NA	NA	NA
PDE6D	5147	20.0177	20.3624	NA	NA	NA	NA
PDE6G	5148	0.179628	0.540113	NA	NA	NA	NA
PDE7A	5150	18.6742	27.2446	NA	NA	NA	NA
PDE7B	27115	1.61865	4.98481	NA	NA	NA	NA
PDE8A	5151	14.534	14.2829	cerebral-cortex	glial-cells	Medium	Approved
PDE8B	8622	1.35033	1.15167	NA	NA	NA	NA
PDE9A	5152	9.28904	11.2266	NA	NA	NA	NA
PDF	64146	12.6393	9.68466	NA	NA	NA	NA
PDGFA	5154	19.7524	8.71367	NA	NA	NA	NA
PDGFB	5155	1.03733	0.470181	cerebral-cortex	glial-cells	Low	Supported
PDGFC	56034	70.982	62.9372	NA	NA	NA	NA
PDGFD	80310	24.2752	10.3067	NA	NA	NA	NA
PDGFRA	5156	68.0355	28.907	NA	NA	NA	NA
PDGFRB	5159	28.7332	53.1291	NA	NA	NA	NA
PDGFRL	5157	9.08853	15.0458	NA	NA	NA	NA
PDHA1	5160	141.066	121.869	cerebral-cortex	glial-cells	Low	Approved
PDHB	5162	89.0763	55.8246	cerebral-cortex	glial-cells	Low	Enhanced
PDHX	8050	19.0584	18.3176	cerebral-cortex	glial-cells	Medium	Enhanced
PDIA2	64714	0.286183	0.0733204	NA	NA	NA	NA
PDIA3	2923	368.451	422.389	cerebral-cortex	glial-cells	Medium	Enhanced
PDIA4	9601	134.594	189.242	cerebral-cortex	glial-cells	Medium	Supported
PDIA5	10954	15.4996	26.524	NA	NA	NA	NA
PDIA6	10130	281.193	294.113	cerebral-cortex	glial-cells	Medium	Enhanced
PDIK1L	149420	4.19653	5.34623	NA	NA	NA	NA
PDK1	5163	5.65623	5.99758	cerebral-cortex	glial-cells	Low	Approved
PDK2	5164	17.6014	18.8123	NA	NA	NA	NA
PDK3	5165	1.81279	2.26002	NA	NA	NA	NA
PDK4	5166	0.931475	1.03333	cerebral-cortex	glial-cells	High	Approved
PDLIM1	9124	11.7636	25.0217	cerebral-cortex	glial-cells	Low	Approved
PDLIM1P4	100419185	0.0673907	0.105624	NA	NA	NA	NA
PDLIM2	64236	53.6921	37.5501	NA	NA	NA	NA
PDLIM3	27295	121.371	41.3434	NA	NA	NA	NA
PDLIM4	8572	83.2791	18.4753	NA	NA	NA	NA
PDLIM5	10611	62.3289	38.0636	NA	NA	NA	NA
PDLIM7	9260	207.154	157.419	cerebral-cortex	glial-cells	Low	Approved
PDP1	54704	6.53455	7.26633	NA	NA	NA	NA
PDP2	57546	2.39563	4.83991	NA	NA	NA	NA
PDPK1	5170	10.5532	14.8953	NA	NA	NA	NA
PDPN	10630	5.94832	9.09298	NA	NA	NA	NA
PDPR	55066	8.27706	17.5902	NA	NA	NA	NA
PDRG1	81572	28.6867	27.0342	NA	NA	NA	NA
PDS5A	23244	23.1245	26.5654	cerebral-cortex	glial-cells	Medium	Enhanced
PDS5B	23047	32.1316	34.853	cerebral-cortex	glial-cells	High	Supported
PDSS1	23590	9.93256	10.15	NA	NA	NA	NA
PDSS2	57107	3.28085	5.48218	NA	NA	NA	NA
PDXDC1	23042	23.6278	27.8038	NA	NA	NA	NA
PDXK	8566	18.3659	23.2064	cerebral-cortex	glial-cells	High	Enhanced
PDXP	57026	21.7605	18.9516	cerebral-cortex	glial-cells	Low	Approved
PDYN	5173	0.0726579	0.0189114	NA	NA	NA	NA
PDZD11	51248	41.7354	32.4201	NA	NA	NA	NA
PDZD2	23037	2.15231	6.21955	NA	NA	NA	NA
PDZD4	57595	0.280225	0.1387	cerebral-cortex	glial-cells	High	Enhanced
PDZD7	79955	0.410681	0.437892	NA	NA	NA	NA
PDZD8	118987	4.4705	8.45663	NA	NA	NA	NA
PDZD9	255762	0.125264	0.147263	NA	NA	NA	NA
PDZRN3	23024	53.936	25.3123	cerebral-cortex	glial-cells	Medium	Approved
PDZRN3-AS1	101927249	1.84652	1.17282	NA	NA	NA	NA
